word	Latin-la	emotion	emotion-intensity-score
martyrdom	martyrium	fear	0.562
martyr	Martyris;	fear	0.562
impending	portenderentur	fear	0.562
turbulence	tumultuosum	fear	0.562
risk	periculum	fear	0.562
polio	polio	fear	0.562
prisoner	captivus	fear	0.562
ulcer	ulceris	fear	0.562
worries	curarum	fear	0.562
powerless	robur multiplicat	fear	0.562
overpowering	meo frui liceret	fear	0.562
mange	NO TRANSLATION	fear	0.562
corrupting	putridis	fear	0.562
confine	obsides praeberet	fear	0.562
appalling	stupor	fear	0.562
eeek	NO TRANSLATION	fear	0.562
distressing	dolebat	fear	0.562
deterioration	depravatione	fear	0.562
duel	duellum	fear	0.562
banished	exilium	fear	0.562
syncope	syncope	fear	0.562
evasion	elabi	fear	0.562
grave	sepulcrum	fear	0.562
vanished	et ablata est	fear	0.562
purge	deiectionem	fear	0.562
hunter	venandi	fear	0.562
inflict	inferet	fear	0.562
thrash	serrantia triturabis	fear	0.562
afflict	IACTO	fear	0.562
masks	Larvas obtendant	fear	0.562
punishing	reddens iniquitatem	fear	0.562
incubus	adflixit:	fear	0.562
sacrifices	hostias	fear	0.562
freak	lusus naturae	fear	0.562
jitters	jitters	fear	0.562
incrimination	criminationi ianua	fear	0.562
gunpowder	pulvere tormentario	fear	0.562
degrading	sordidum traxisse	fear	0.562
pitfall	laqueus	fear	0.562
lawsuit	iudicium	fear	0.562
misfortune	infortunii	fear	0.562
apprehend	me comprehenderet:	fear	0.562
risky	massa	fear	0.562
travesty	deridicula	fear	0.562
unsafe	statio male fida	fear	0.561
perpetrator	tacendi	fear	0.560
worstfeeling	NO TRANSLATION	fear	0.560
sin	NO TRANSLATION	fear	0.560
intimidation	si metus,	fear	0.559
occult	occultarum	fear	0.559
disable	disable	fear	0.558
decay	interitus	fear	0.557
affliction	post miseriam	fear	0.557
autopsy	autopsia declarentur	fear	0.557
vulnerability	vulnerability	fear	0.548
outburst	iracundia	fear	0.547
deformity	turpitudinem	fear	0.547
defenseless	indefensa	fear	0.547
appendicitis	appendicis	fear	0.547
siren	siren	fear	0.547
ailing	infirmi essemus	fear	0.547
brigade	LEGIO	fear	0.547
scandal	flagitium	fear	0.547
talons	NO TRANSLATION	fear	0.547
mad	ad insaniam convertunt	fear	0.547
outcry	clamor	fear	0.547
needles	cuspides acus	fear	0.547
expulsion	urbe regnoque Tarquinios	fear	0.547
scorpion	scorpionem	fear	0.547
cannon	tormentum	fear	0.547
overthrow	in exemplum subversionis	fear	0.547
communism	communismi	fear	0.547
enmity	inimicitias veteres	fear	0.547
flood	inundatio	fear	0.547
beware	cave	fear	0.547
bondage	eramus servientes	fear	0.547
asylum	asylum	fear	0.547
coercion	coactio	fear	0.547
plunge	mersis	fear	0.547
apparition	spectrum	fear	0.547
thief	fur	fear	0.547
growling	comminus	fear	0.547
noxious	noxium	fear	0.547
insanity	insaniam	fear	0.547
derogation	derogationem	fear	0.547
samurai	samurai	fear	0.547
abhor	abhorrent,	fear	0.547
gonorrhea	gonorrhoea	fear	0.547
neuralgia	Herpesvirus	fear	0.547
precarious	instabilemque ingressum praebebat	fear	0.547
senile	'Senex dictus,	fear	0.547
jeopardize	periclitari	fear	0.547
adder	regulus venena diffundet	fear	0.547
retribution	retributionem	fear	0.545
uprising	motus	fear	0.545
cemetery	caemeterium	fear	0.541
badness	quod pessimae sint	fear	0.539
phantom	tenuem	fear	0.538
fled	aufugit	fear	0.534
abandoned	relicta	fear	0.534
rejection	repudium	fear	0.533
theft	furta	fear	0.531
hopelessness	desperatio	fear	0.531
frenzied	Respicit insano ferientem	fear	0.531
buried	buried	fear	0.531
eek	eek	fear	0.531
subjugation	subjugatio	fear	0.531
wrangling	altercationem vertisset	fear	0.531
bacterium	bacterium	fear	0.531
cowardly	inertia	fear	0.531
stalk	caulis	fear	0.531
helpless	inops	fear	0.531
incursion	coactique uendere	fear	0.531
stressed	illustraverat	fear	0.531
deserted	desertum	fear	0.531
manifestation	manifestationem	fear	0.531
abandon	relinquere	fear	0.531
slave	servus	fear	0.531
failing	minus	fear	0.531
freakout	Freakout	fear	0.531
saber	NO TRANSLATION	fear	0.531
leeches	hirudines	fear	0.531
manipulation	manipulation	fear	0.531
impotence	impotentia	fear	0.531
broken	contritum	fear	0.531
atherosclerosis	ATHEROSCLEROSIS	fear	0.531
lawlessness	iniquitatem	fear	0.531
swastika	swastika	fear	0.531
captor	captivatori	fear	0.531
penetration	subtiliusque intuenti	fear	0.531
harbinger	destinarat purgandis mentibus praepositam	fear	0.531
jarring	murmurantibus diversimode	fear	0.531
rebellion	rebellionis	fear	0.531
distrust	diffidentiae	fear	0.531
endocarditis	eNDOCARDITIS	fear	0.531
carnivorous	poterant	fear	0.531
punish	punire	fear	0.531
disembodied	piorum	fear	0.531
superstitious	superstitionis	fear	0.531
stormy	Notus hibernas	fear	0.531
shaking	tremulique quassa	fear	0.531
unstable	Pellicientes	fear	0.531
suspense	suspendit	fear	0.529
blood	sanguis	fear	0.525
hiding	hiding	fear	0.524
bear	Ursa	fear	0.524
unlawful	illicitam	fear	0.519
crazy	insanis	fear	0.519
cult	cultum	fear	0.518
anxious	sollicitus	fear	0.518
deportation	Ceterum transportati	fear	0.517
captive	captivus	fear	0.517
shriek	raucisonos efflabant cornua	fear	0.516
sorcery	maleficis artibus	fear	0.516
grievous	gravissimum	fear	0.516
chased	urbem conpulit cecideruntque	fear	0.516
detainee	detainee	fear	0.516
palsy	paralyticus	fear	0.516
intolerance	pornographia, intolerantia	fear	0.516
growl	vox leaenae	fear	0.516
sting	mors stimulus tuus	fear	0.516
plunder	praedam	fear	0.516
fang	NO TRANSLATION	fear	0.516
unthinkable	cogitare	fear	0.516
smite	percutiat	fear	0.516
suspect	suspicio	fear	0.516
pernicious	perniciosa	fear	0.516
enforce	imperatorium exeat,	fear	0.516
embolism	Embolia	fear	0.516
helplessness	inopiae subvenisset	fear	0.516
harshness	asperitas	fear	0.516
oppress	vi opprimes	fear	0.516
exile	exsilium	fear	0.516
foreboding	arcebant aegram	fear	0.516
relapse	relapsus	fear	0.516
robber	praedo	fear	0.516
biopsy	biopsy	fear	0.516
emaciated	macie	fear	0.516
incite	instigare	fear	0.516
troublesome	molestam	fear	0.516
busted	busted	fear	0.516
darkness	tenebris	fear	0.516
insidious	insidiosa	fear	0.516
plight	rebus	fear	0.516
exacerbation	exacerbation	fear	0.516
revulsion	noua uocato senatu	fear	0.516
badfeeling	NO TRANSLATION	fear	0.516
conspirator	e coniuratis,	fear	0.516
depression	exanimationes incidamus	fear	0.508
confinement	alligatum,	fear	0.507
downfall	casum	fear	0.500
alcoholism	Diuturno alcoholismo	fear	0.500
towering	alta ferentis	fear	0.500
blob	STILLA	fear	0.500
eeeek	NO TRANSLATION	fear	0.500
instability	instabilitatem	fear	0.500
prohibited	prohibitus	fear	0.500
brute	muta	fear	0.500
suppress	iniustitiam detinent	fear	0.500
infarct	infarct	fear	0.500
snowmageddon	snowmageddon	fear	0.500
hunting	venandi	fear	0.500
wasp	vespa	fear	0.500
cliff	praeceps	fear	0.500
frenetic	phreneticis	fear	0.500
squeamish	dissipate	fear	0.500
mistrust	omnia suspecta criminumque	fear	0.500
raving	insani	fear	0.500
premeditated	assultu	fear	0.500
intolerant	impatientes	fear	0.500
subvert	LAMED	fear	0.500
illegal	contra legem	fear	0.500
scalpel	scalpellus demittitur	fear	0.500
vertigo	vertigine	fear	0.500
madden	madden	fear	0.500
odious	odiosa	fear	0.500
ruined	Perii	fear	0.500
constraint	adductus	fear	0.500
suppression	earumque oppres	fear	0.500
defiance	PROVOCATIO	fear	0.500
prayforme	prayforme	fear	0.500
surrender	deditionem	fear	0.500
sinful	peccatum	fear	0.500
woe	vae	fear	0.491
perjury	peierantibus fingantur	fear	0.484
worse	pejus	fear	0.484
syringe	humani corporis	fear	0.484
canthandleit	NO TRANSLATION	fear	0.484
defamation	destructione fulcitur	fear	0.484
cutting	amputatis testiculis	fear	0.484
warrior	bellator	fear	0.484
restriction	restrictiones praestituere	fear	0.484
indefensible	indefensible	fear	0.484
palpitations	palpitations	fear	0.484
retard	retardant	fear	0.484
lash	verberum notas exprobrant	fear	0.484
flinch	stant obnixi	fear	0.484
lion	leo	fear	0.484
ravine	vallis	fear	0.484
cracked	vinarios scissos	fear	0.484
shiver	tremere	fear	0.484
insecurity	PERICULUM	fear	0.484
rat	rat	fear	0.484
ohno	ohno	fear	0.484
fiend	pe fende	fear	0.484
jumpy	jumpy	fear	0.484
hallucination	phantasiae	fear	0.484
poaching	si assa	fear	0.484
dishonor	in contumeliam	fear	0.484
dismay	angustia	fear	0.484
accusing	accusantium	fear	0.484
ambulance	ambulance	fear	0.484
sonervous	NO TRANSLATION	fear	0.484
divorce	repudium	fear	0.484
ravenous	omnique volatili	fear	0.484
disgusting	deformia meditari;	fear	0.484
rabble	turba	fear	0.484
slam	slam	fear	0.484
hospital	hospitium	fear	0.484
coerce	coercere	fear	0.484
endemic	endemicae	fear	0.484
prejudiced	praeiudicium	fear	0.484
blackness	tractus	fear	0.484
armor	armis	fear	0.484
worrying	EXERCITUS	fear	0.484
indictment	qui judicat,	fear	0.484
hate	odium	fear	0.484
freakish	ipsaque iusto	fear	0.484
hearse	hearse	fear	0.484
intrusion	p intrusionem	fear	0.484
inspection	inspectionem	fear	0.483
sinner	peccator	fear	0.483
averse	abhorrere	fear	0.483
missing	missing	fear	0.474
despairing	adflicti	fear	0.474
darken	obscurent	fear	0.471
austere	austerus sum	fear	0.470
animosity	animositate defendunt,	fear	0.469
fret	noli contendere	fear	0.469
fever	febricitantem	fear	0.469
illegality	illegitimitate	fear	0.469
accused	accusatus	fear	0.469
criticize	detrahere	fear	0.469
scrapie	scrapie	fear	0.469
jaws	ora	fear	0.469
depressed	depressus	fear	0.469
armored	loricatorum	fear	0.469
indict	Manes accersere	fear	0.469
aftermath	EPICINIUM	fear	0.469
precipice	praecipitium	fear	0.469
regime	regimen immutata	fear	0.469
fierce	ferox	fear	0.469
breakdown	naufragii	fear	0.469
quiver	pharetra	fear	0.469
admonition	correptionem devita	fear	0.469
foreclose	Spi	fear	0.469
revoke	novis	fear	0.469
superstition	superstitionis	fear	0.469
overwhelmed	maerens	fear	0.469
subversion	instituta convulsa	fear	0.469
idolatry	idolatriae nolle adquiescere	fear	0.469
asteroid	Etiam	fear	0.469
toothache	dolore dentium	fear	0.469
inmate	deversari	fear	0.469
decomposition	corrumpuntur	fear	0.469
sinking	mergerentur	fear	0.469
intrusive	MOLESTUS	fear	0.469
soulless	'tentoria'	fear	0.469
infidelity	infidelitatis	fear	0.469
nervous	nervous	fear	0.469
thresh	triturabis	fear	0.469
startle	startle	fear	0.469
unhealthy	incuratus	fear	0.469
spear	hastam	fear	0.468
nasty	phaulius	fear	0.466
worried	sollicitus	fear	0.466
puma	pausa	fear	0.465
thirteenth	tertius decimus	fear	0.465
contraband	ILLICITUS	fear	0.464
insecure	insecure	fear	0.461
disturbance	commotio	fear	0.459
denunciation	accusatio	fear	0.456
stigma	stigma	fear	0.455
destitute	indigeant	fear	0.455
powerfully	valde	fear	0.454
penalty	supplicium	fear	0.453
derogatory	noxium	fear	0.453
spasm	nervorum distentione consumitur	fear	0.453
illicit	illicit	fear	0.453
dinosaur	dinosaurum	fear	0.453
disruption	discidium	fear	0.453
lockup	sero	fear	0.453
restrain	coercere	fear	0.453
rifle	diripiat	fear	0.453
disreputable	ac turpitudinis pertinebit	fear	0.453
omgomgomg	NO TRANSLATION	fear	0.453
ohgod	NO TRANSLATION	fear	0.453
warn	moneo	fear	0.453
quandary	angustia positus	fear	0.453
resisting	resistentem	fear	0.453
rigor	adfligebant inludentes eis	fear	0.453
stranger	sive peregrinus	fear	0.453
penal	poenalis	fear	0.453
grope	sic palpabunt	fear	0.453
scold	obiurgare solere,	fear	0.453
orphan	deprædantes pupillos	fear	0.453
resign	relinquo	fear	0.453
hydrocephalus	hydrocephalus	fear	0.453
shrill	argutae lammina	fear	0.453
howl	ululate	fear	0.453
unspeakable	infandum	fear	0.453
wail	cane lugubre	fear	0.453
straits	fretum	fear	0.453
indoctrination	indoctrination	fear	0.453
apprehension	captum	fear	0.453
batter	COMMETO	fear	0.453
arraignment	accusationem	fear	0.450
urgent	urgente	fear	0.450
tramp	migra!	fear	0.440
stress	accentus	fear	0.439
behemoth	behemoth,	fear	0.439
dominate	imperare	fear	0.438
targeting	targeting	fear	0.438
broke	fregit	fear	0.438
looming	et foedam glomerant	fear	0.438
tribunal	tribunalis	fear	0.438
debacle	debacle	fear	0.438
forfeiture	forisfacturam	fear	0.438
dislocated	priorem	fear	0.438
infirmity	infirmitas presserit	fear	0.438
impermeable	impermeable	fear	0.438
predicament	praedicamentum	fear	0.438
falter	saepe morata	fear	0.438
displaced	recti abdominis	fear	0.438
concealed	celantur	fear	0.438
illegitimate	illegitimus	fear	0.438
unprepared	inparatos erubescamus	fear	0.438
scarcity	inopiæ	fear	0.438
wince	wince	fear	0.438
mace	clavam	fear	0.438
expel	geniti forent pelli	fear	0.438
aghhh	NO TRANSLATION	fear	0.438
obstruct	intercludere	fear	0.438
coldsweat	NO TRANSLATION	fear	0.438
stripped	Nam expoliavit	fear	0.438
dentists	dentists	fear	0.438
irreconcilable	dissociabilis miscuerit	fear	0.438
bewildered	incertus	fear	0.438
indomitable	invicta	fear	0.438
rheumatism	RHEUMATISMUS	fear	0.438
accidental	per accidens,	fear	0.438
prick	idest	fear	0.438
entangled	Involutæ	fear	0.438
atrophy	ATROPHIA	fear	0.438
asp	aspidis	fear	0.438
perverse	perversæ:	fear	0.438
cabal	conjurationem fecerant:	fear	0.438
yell	clamo	fear	0.438
gasping	percutiens	fear	0.438
probation	probationis	fear	0.438
accuser	accusatorem	fear	0.438
insulting	contumeliosa	fear	0.435
mysterious	arcanum	fear	0.435
halting	latus	fear	0.435
rebels	rebellium	fear	0.435
repulsion	repulsu reiectae	fear	0.431
glare	fulgor	fear	0.430
punitive	poenae expetitae	fear	0.425
sordid	cupido sordidus	fear	0.425
stake	agitur	fear	0.423
tempest	tempestas	fear	0.423
ultimatum	ultimatum	fear	0.422
reticent	reticere	fear	0.422
bayonet	bayonet	fear	0.422
depresson	NO TRANSLATION	fear	0.422
suspension	suspensionis	fear	0.422
lament	cane lugubre	fear	0.422
burdensome	occupationem pessimam	fear	0.422
bier	NO TRANSLATION	fear	0.422
thumping	verberem	fear	0.422
coyote	coyote	fear	0.422
deleterious	multiplicior	fear	0.422
dissident	dissidens	fear	0.422
varicella	varicella	fear	0.422
wilderness	deserto	fear	0.422
delusion	error	fear	0.422
bigot	bigot	fear	0.422
unsteady	cor pravum	fear	0.422
stresses	passiones	fear	0.422
offense	offendiculo	fear	0.422
heathen	gentes	fear	0.422
prowl	pontumque moueri	fear	0.422
troll	Troglodytarum	fear	0.422
infamous	turpissimum	fear	0.422
disappear	evanescet	fear	0.422
depress	naturali incisus oleastro	fear	0.422
publicspeaking	NO TRANSLATION	fear	0.422
unnatural	contra naturam	fear	0.422
usurped	usurpaverit?	fear	0.422
steal	furantur	fear	0.422
anathema	AS	fear	0.422
fainting	Confer medelam	fear	0.422
alien	aliena	fear	0.422
extrajudicial	extra iudicium facta;	fear	0.422
stressin	NO TRANSLATION	fear	0.422
hydra	ceterum	fear	0.422
adversity	angustia	fear	0.418
ineptitude	laudandis ineptiarum	fear	0.417
outsider	externus	fear	0.413
ugliness	turpitudinem	fear	0.410
vulture	et alietum	fear	0.410
immoral	et fornicatoribus	fear	0.410
scar	cicatrice orta est	fear	0.406
stressful	stressful	fear	0.406
screech	infaustae strigis	fear	0.406
wary	tune cautum illud	fear	0.406
disgust	fastidiosum	fear	0.406
stressing	proferens	fear	0.406
deport	deportaturum	fear	0.406
nausea	nauseam	fear	0.406
resection	Tumor	fear	0.406
blackout	niger	fear	0.406
disallowed	obnoxia tenebitur sponsioni	fear	0.406
insolvent	solvendo,	fear	0.406
dismissal	emittitur	fear	0.406
omnipotence	omnipotentia	fear	0.406
possession	possessionem	fear	0.406
tearful	lacrimas, Phylli relicta	fear	0.406
disorder	inordinationem	fear	0.406
squall	LESSUS	fear	0.406
dominant	dominatur,	fear	0.406
disabled	disabled	fear	0.406
drones	ignavom fucos pecus	fear	0.406
recklessness	temeritas	fear	0.406
escape	effugium	fear	0.406
distressed	contristatus	fear	0.406
claw	pes	fear	0.406
stretcher	grabato	fear	0.406
ohdear	NO TRANSLATION	fear	0.406
penance	poenitentiae	fear	0.406
weakly	debiliter	fear	0.406
rubble	redactae	fear	0.406
whimper	whimper	fear	0.406
ghetto	Gloria	fear	0.406
socialism	socialismi	fear	0.405
conspiracy	conspiratio	fear	0.400
toughness	fortitudo	fear	0.400
defection	defectionis	fear	0.398
absence	absentia,	fear	0.396
moan	mone	fear	0.394
crusade	Peregrinus	fear	0.392
radon	Radon	fear	0.391
lose	perdet	fear	0.391
exigent	NO TRANSLATION	fear	0.391
dubious	dubium	fear	0.391
unemployed	lorum, cessare	fear	0.391
reject	repellam	fear	0.391
excitation	excitatio	fear	0.391
xanax	phentermine	fear	0.391
stifled	suffocatus est	fear	0.391
scarecrow	cucumerario formido	fear	0.391
concealment	latebra	fear	0.391
conquer	vincere,	fear	0.391
discrimination	discrimen,	fear	0.391
diagnosis	Diagnose	fear	0.391
whatdoido	NO TRANSLATION	fear	0.391
snare	laqueum diaboli	fear	0.391
separation	discidium	fear	0.391
overt	apertus	fear	0.391
urgency	urgentem	fear	0.391
musket	musket	fear	0.391
unrest	fluctuationem iusto	fear	0.391
descent	descensus	fear	0.391
avoiding	avoiding	fear	0.391
cyst	CYSTA	fear	0.391
gulp	HAUSTUS	fear	0.391
procedure	procedure	fear	0.391
submission	submission	fear	0.391
hardened	Induravitque	fear	0.391
refutation	Confutatio	fear	0.391
repellent	odiose confabricatus	fear	0.391
cleave	adhaereat visceribus	fear	0.391
suspicion	suspicionis	fear	0.391
poverty	paupertās	fear	0.391
nervy	NO TRANSLATION	fear	0.391
insolvency	insolvency	fear	0.391
mental	mentis	fear	0.391
theocratic	theocraticam	fear	0.391
spaz	spaz	fear	0.391
brimstone	sulphure:	fear	0.391
throb	saliunt temptatae	fear	0.388
outcast	deorsum fluens	fear	0.388
orc	orc	fear	0.388
disapprove	displicent,	fear	0.380
dontpanic	dontpanic	fear	0.378
plea	causa	fear	0.377
withdrawals	abstractiones	fear	0.377
pressure	pressura	fear	0.375
grieve	nolite contristare	fear	0.375
frigate	frigate	fear	0.375
kerosene	kerosene	fear	0.375
nauseous	nidores tetri	fear	0.375
khan	khan	fear	0.375
expose	revelabo stultitiam	fear	0.375
ocd	OCD	fear	0.375
sneaking	PUSILLUS	fear	0.375
embarrassment	pudore dormiret	fear	0.375
bankrupt	conturbare existimarent	fear	0.375
dissolution	resolutionis	fear	0.375
dentistry	dentistry	fear	0.375
edict	edicto	fear	0.375
bunker	testudine munitum	fear	0.375
antsy	TURBATUS	fear	0.375
chasm	vorago	fear	0.375
escaped	fugit	fear	0.375
whirlpool	gurgitem abripuit	fear	0.375
interrogate	interrogemus	fear	0.375
psychological	animi	fear	0.375
obligor	obligor	fear	0.375
misconception	deceptae	fear	0.375
military	militum	fear	0.375
suspected	suspected	fear	0.375
locust	et locusta,	fear	0.375
mentalhealth	NO TRANSLATION	fear	0.375
bad	malus	fear	0.375
coldness	frigidum	fear	0.375
taunt	parabolam istam	fear	0.375
obi	obi	fear	0.375
flu	flu	fear	0.375
barricade	saepem coici	fear	0.375
chimera	chimaeram	fear	0.375
sultan	Imperatoris	fear	0.375
repellant	repellant	fear	0.373
unknown	incognita	fear	0.369
pare	NO TRANSLATION	fear	0.367
jealousy	invidia	fear	0.365
mug	mug	fear	0.359
consternation	ubi perterritis	fear	0.359
rebel	rebel	fear	0.359
conquest	victorum	fear	0.359
mournful	et cantabitur	fear	0.359
concerned	sollicitus	fear	0.359
mandamus	mandamus	fear	0.359
onedge	onedge	fear	0.359
recurring	frequentissima	fear	0.359
jaundice	regium extenuant	fear	0.359
sectarian	factiosi	fear	0.359
desert	solitudinem	fear	0.359
cur	cur	fear	0.359
difficult	difficilis	fear	0.359
stint	nimbi culminibus	fear	0.359
sortie	NO TRANSLATION	fear	0.359
dart	iaculum	fear	0.359
spike	spica	fear	0.359
timid	timidis	fear	0.359
wasting	vastantes	fear	0.359
bottomless	profunda vorago	fear	0.359
warned	monuit	fear	0.359
protestant	protestant	fear	0.359
contempt	semper	fear	0.359
exam	nito	fear	0.359
depreciation	imminutiones	fear	0.359
anomaly	anomaliae	fear	0.359
rejects	respuit	fear	0.359
pessimism	mentem omnia in deterius	fear	0.359
revolution	revolution	fear	0.359
formidable	atrox coalescerent	fear	0.359
burke	burke	fear	0.359
cautionary	cautionem	fear	0.359
headaches	capitis doloribus	fear	0.359
bankruptcy	conturbauit	fear	0.359
government	imperium	fear	0.359
measles	rubellam	fear	0.359
languishing	languidus	fear	0.358
constrain	compellet	fear	0.358
bane	perniciosa	fear	0.356
impeach	arguunt:	fear	0.354
warden	his Cossus praefuit	fear	0.354
adverse	adversa	fear	0.352
lawyer	advocatus	fear	0.349
libel	libellus	fear	0.348
retrenchment	questi modum	fear	0.345
imminent	imminenti	fear	0.345
unjustifiable	nunc inritas	fear	0.344
knell	knell	fear	0.344
contentious	ex contentione,	fear	0.344
opposed	opposuit	fear	0.344
shame	verecundiam	fear	0.344
avoidance	fuga	fear	0.344
resistant	adversus	fear	0.344
discipline	disciplinam	fear	0.344
defy	qua ratione detester	fear	0.344
belittle	abice elevaque	fear	0.344
fanaticism	Fanatismo	fear	0.344
bearish	conquerimur	fear	0.344
opium	opium	fear	0.344
sorrow	dolorem	fear	0.344
mri	mri	fear	0.344
shaky	instabilitate	fear	0.344
hiss	minentur sibila suspensum	fear	0.344
loneliness	solitudinem	fear	0.344
swerve	humanitátis offícii constántiam	fear	0.344
taboo	uiolare et frangere morsu	fear	0.344
reckless	praecipitem	fear	0.344
obstacle	impedimentum	fear	0.344
launches	launches	fear	0.344
aaaaaaah	aaaaaaah	fear	0.344
verdict	iudicium	fear	0.344
servile	servilis	fear	0.344
hesitation	incunctanter	fear	0.344
evade	evadere	fear	0.344
recession	recessus,	fear	0.344
eel	eel	fear	0.344
shortage	shortage	fear	0.344
pest	pestis	fear	0.344
cutter	circumdatos	fear	0.344
psych	psych	fear	0.344
parachute	parachute	fear	0.344
disrespectful	despiciens censenda est adnumerari	fear	0.343
phalanx	explicaretur agmen,	fear	0.342
creature	creatura	fear	0.340
mortgage	hypotheca	fear	0.331
specter	laruam	fear	0.331
enigmatic	aenigmata	fear	0.329
caution	Caute	fear	0.328
police	magistratus	fear	0.328
shank	scapus	fear	0.328
undesirable	undesirable	fear	0.328
shutdown	shutdown	fear	0.328
dike	fossato levato	fear	0.328
subordinate	ordinatis	fear	0.328
gametime	GameTime	fear	0.328
remove	remove	fear	0.328
smut	smut	fear	0.328
spillin	NO TRANSLATION	fear	0.328
mishap	Additur saeuo	fear	0.328
loom	vastae	fear	0.328
supremacy	imperium	fear	0.328
unlucky	infelicis	fear	0.328
quash	pertulisse fatentur,	fear	0.328
hives	alvos	fear	0.328
wimp	wimp	fear	0.328
gladiator	gladiator	fear	0.328
feeling	sensum	fear	0.328
dominion	imperium	fear	0.328
encumbrance	Eae serviebant	fear	0.328
adrift	supervenit navigantibus nobis	fear	0.328
defendant	reus	fear	0.328
outpost	praesidium	fear	0.328
uhoh	NO TRANSLATION	fear	0.328
senseless	juméntis insipiéntibus	fear	0.328
wrongly	perperam	fear	0.328
bugaboo	bugaboo	fear	0.328
weirdo	weirdo	fear	0.328
ethereal	relinquit aetherium	fear	0.328
scarce	haud	fear	0.327
unsettled	instabiles	fear	0.327
antisocial	antisocial	fear	0.324
astray	errorem mittentes	fear	0.320
vigilant	vigilanti	fear	0.319
socialist	Socialās	fear	0.318
halter	suspendit	fear	0.318
pessimist	pessimist	fear	0.317
pacing	pacing	fear	0.316
opponent	adversarius	fear	0.312
discontinuity	discontinuatur	fear	0.312
conspire	consilium	fear	0.312
trickery	nequitia	fear	0.312
obsessing	obsessing	fear	0.312
seclusion	derexi Hense	fear	0.312
whirlwind	impetus tempestatis	fear	0.312
unexpected	inopinatum	fear	0.312
ahhhhhhhh	NO TRANSLATION	fear	0.312
cram	INCULCO	fear	0.312
collusion	collusionem	fear	0.312
muzzle	stringit	fear	0.312
blight	rubigine vastante	fear	0.312
foreigner	peregrino	fear	0.312
chargeable	gravaremus	fear	0.312
laxative	refrigerat	fear	0.312
clinical	orci	fear	0.312
dentist	dentist	fear	0.312
therapist	CLINICUS	fear	0.312
deadline	fatalibus	fear	0.312
bewilderment	et mente confusa	fear	0.312
litigate	litigare	fear	0.312
nether	neque	fear	0.312
thorny	externauit spinosas Erycina	fear	0.312
valium	valium valium	fear	0.312
powerful	potens	fear	0.312
uneasy	turbat	fear	0.312
unkind	aequus	fear	0.312
ordnance	tormentisque bellicis munitae	fear	0.312
wimpy	wimpy	fear	0.312
overthinking	overthinking	fear	0.309
doubts	dubium	fear	0.308
seriousness	grauitatem	fear	0.305
irrational	irrationali	fear	0.305
erase	delens	fear	0.303
teasing	irrideri facetiis	fear	0.303
razor	abominabiles facti sunt	fear	0.303
sweating	exercitatione sudorem,	fear	0.298
reluctant	minus	fear	0.297
mage	magum	fear	0.297
crouching	peccatum aderit?	fear	0.297
warning	monitum	fear	0.297
endless	sine fine	fear	0.297
adjudicate	advocet,	fear	0.297
bale	bale	fear	0.297
inflation	inflatio	fear	0.297
giant	giant	fear	0.297
auditor	diligit auditoris animus	fear	0.297
medical	medicorum	fear	0.297
swamp	palus	fear	0.297
bitch	bitch	fear	0.297
mislead	errorem inducantur	fear	0.297
weighty	graves sunt	fear	0.297
avoid	ne	fear	0.297
depreciated	exsufflari	fear	0.297
flounder	passeres	fear	0.297
deflation	deflation	fear	0.297
unsurpassed	Novella sub hiis	fear	0.297
dashed	adlisa	fear	0.297
hide	abscondam	fear	0.297
timidity	timidum effecit	fear	0.297
deluge	inundatio	fear	0.287
disinformation	falsas informationes	fear	0.286
court	atrium	fear	0.284
aversion	odium	fear	0.283
hurryup	NO TRANSLATION	fear	0.281
unfriendly	inimica	fear	0.281
remains	permanet	fear	0.281
discourage	deterrere	fear	0.281
cautious	circumspectus	fear	0.281
oncoming	venientesque obvius	fear	0.281
flying	volantes	fear	0.281
mistaken	fallitur	fear	0.281
swelling	Superba	fear	0.281
dwarfed	cauda amputatis,	fear	0.281
surveillance	custodia circumdant	fear	0.281
apache	Apache	fear	0.281
rush	refrenantem	fear	0.281
yelp	seruasse	fear	0.281
cartridge	cartridge	fear	0.281
fortress	castellum	fear	0.281
bigoted	bigoted	fear	0.281
notready	non est paratum	fear	0.281
challenge	challenge	fear	0.281
submitting	obsequium	fear	0.281
wan	NO TRANSLATION	fear	0.281
confusion	confusione	fear	0.281
unruly	non subditos	fear	0.281
intense	summa	fear	0.279
noncompliance	noncompliance	fear	0.276
alerts	In summis montibus	fear	0.276
planes	plana	fear	0.274
displeased	indigne tulit,	fear	0.273
cop	cop	fear	0.273
unbridled	infreni cingunt	fear	0.271
regiment	aciei	fear	0.266
crowds	conveniebant turbae multae	fear	0.266
sentence	damnationem	fear	0.266
blindfold	opertis	fear	0.266
crouch	oretur	fear	0.266
belt	balteum	fear	0.266
hooded	cucullatus	fear	0.266
uncanny	saltim de infausto	fear	0.266
cupping	cucurbitulae cute incisa	fear	0.266
sneak	REPO	fear	0.266
cloak	pallio zeli	fear	0.266
banger	banger	fear	0.266
affront	enim contumeliam sustinuerant	fear	0.266
confession	confessio	fear	0.266
blemish	macula	fear	0.266
posse	posse	fear	0.266
auditions	auditions	fear	0.266
forgotten	oblivioni traditæ	fear	0.266
immerse	baptizabit	fear	0.266
operation	operatio	fear	0.266
