word	Tagalog (Filipino)-tl	emotion	emotion-intensity-score
dismay	pagkabalisa	fear	0.484
accusing	akusasyon	fear	0.484
ambulance	ambulansya	fear	0.484
sonervous	NO TRANSLATION	fear	0.484
divorce	diborsyo	fear	0.484
ravenous	gutom na gutom	fear	0.484
disgusting	nakasusuklam	fear	0.484
rabble	galit na galit	fear	0.484
slam	slam	fear	0.484
hospital	ospital	fear	0.484
coerce	kumilos	fear	0.484
endemic	katutubo	fear	0.484
prejudiced	pinipili	fear	0.484
blackness	itim	fear	0.484
armor	nakasuot	fear	0.484
worrying	nababahala	fear	0.484
indictment	indictment	fear	0.484
hate	galit	fear	0.484
freakish	nakakatakot	fear	0.484
hearse	hearse	fear	0.484
intrusion	panghihimasok	fear	0.484
inspection	inspeksyon	fear	0.483
sinner	makasalanan	fear	0.483
averse	ayaw	fear	0.483
missing	nawawala	fear	0.474
despairing	walang pag-asa	fear	0.474
darken	magpapadilim	fear	0.471
austere	mabagsik	fear	0.470
animosity	kalupitan	fear	0.469
fret	mabalisa	fear	0.469
fever	lagnat	fear	0.469
illegality	ilegalidad	fear	0.469
accused	inakusahan	fear	0.469
criticize	pumuna	fear	0.469
scrapie	scrapie	fear	0.469
jaws	jaws	fear	0.469
depressed	nalulumbay	fear	0.469
armored	nakabaluti	fear	0.469
indict	indict	fear	0.469
aftermath	resulta	fear	0.469
precipice	bangin	fear	0.469
regime	rehimen	fear	0.469
fierce	mabangis	fear	0.469
breakdown	pagkasira	fear	0.469
quiver	umikot	fear	0.469
admonition	paalala	fear	0.469
foreclose	foreclose	fear	0.469
revoke	bawiin	fear	0.469
superstition	pamahiin	fear	0.469
overwhelmed	nalulumbay	fear	0.469
subversion	pagbabagsak	fear	0.469
idolatry	idolatrya	fear	0.469
asteroid	asteroid	fear	0.469
toothache	sakit ng ngipin	fear	0.469
inmate	bilanggo	fear	0.469
decomposition	agnas	fear	0.469
sinking	Paglubog	fear	0.469
intrusive	mapanghimasok	fear	0.469
soulless	walang kaluluwa	fear	0.469
infidelity	pagtataksil	fear	0.469
nervous	kinakabahan	fear	0.469
thresh	thresh	fear	0.469
startle	magulat ka	fear	0.469
unhealthy	hindi malusog	fear	0.469
spear	sibat	fear	0.468
nasty	pangit	fear	0.466
worried	nag-aalala	fear	0.466
puma	puma	fear	0.465
thirteenth	ikalabintatlo	fear	0.465
contraband	kontrabando	fear	0.464
insecure	walang katiyakan	fear	0.461
disturbance	gulo	fear	0.459
denunciation	pagbigkas	fear	0.456
stigma	mantsa	fear	0.455
destitute	dukha	fear	0.455
powerfully	malakas	fear	0.454
penalty	parusa	fear	0.453
derogatory	derogatory	fear	0.453
spasm	kalungkutan	fear	0.453
illicit	ipinagbabawal	fear	0.453
dinosaur	dinosauro	fear	0.453
disruption	pagkagambala	fear	0.453
lockup	lockup	fear	0.453
restrain	pigilan	fear	0.453
rifle	rifle	fear	0.453
disreputable	disreputable	fear	0.453
omgomgomg	NO TRANSLATION	fear	0.453
ohgod	NO TRANSLATION	fear	0.453
warn	balaan	fear	0.453
quandary	pag-alala	fear	0.453
resisting	resisting	fear	0.453
rigor	hirap	fear	0.453
stranger	estranghero	fear	0.453
penal	penal	fear	0.453
grope	hapuhap	fear	0.453
scold	pagalitan	fear	0.453
orphan	ulila	fear	0.453
resign	magbitiw	fear	0.453
hydrocephalus	hydrocephalus	fear	0.453
shrill	matunaw	fear	0.453
howl	alulong	fear	0.453
unspeakable	hindi masabi	fear	0.453
wail	panaghoy	fear	0.453
straits	straits	fear	0.453
indoctrination	indoctrination	fear	0.453
apprehension	pagkaunawa	fear	0.453
batter	humampas	fear	0.453
arraignment	arraignment	fear	0.450
urgent	kagyat na	fear	0.450
tramp	maingay	fear	0.440
stress	stress	fear	0.439
behemoth	behemoth	fear	0.439
dominate	dominahin	fear	0.438
targeting	pag-target	fear	0.438
broke	sinira	fear	0.438
looming	umuunlad	fear	0.438
tribunal	hukuman	fear	0.438
debacle	debacle	fear	0.438
forfeiture	pagkawalang-sala	fear	0.438
dislocated	napawalang-bisa	fear	0.438
infirmity	sakit	fear	0.438
impermeable	impermeable	fear	0.438
predicament	mabigat na suliranin	fear	0.438
falter	pagkawasak	fear	0.438
displaced	displaced	fear	0.438
concealed	lingid	fear	0.438
illegitimate	hindi naaayon sa batas	fear	0.438
unprepared	hindi nakahanda	fear	0.438
scarcity	kakulangan	fear	0.438
wince	wince	fear	0.438
mace	tungkod	fear	0.438
expel	paalisin	fear	0.438
aghhh	NO TRANSLATION	fear	0.438
obstruct	humadlang	fear	0.438
coldsweat	NO TRANSLATION	fear	0.438
stripped	Nakuha	fear	0.438
dentists	dentista	fear	0.438
irreconcilable	irreconcilable	fear	0.438
bewildered	bewildered	fear	0.438
indomitable	matigas	fear	0.438
rheumatism	rayuma	fear	0.438
accidental	hindi sinasadya	fear	0.438
prick	tipak	fear	0.438
entangled	gusot	fear	0.438
atrophy	pagkasayang	fear	0.438
asp	asp	fear	0.438
perverse	masama	fear	0.438
cabal	takbo	fear	0.438
yell	sumigaw	fear	0.438
gasping	hininga	fear	0.438
probation	probasyon	fear	0.438
accuser	akusador	fear	0.438
insulting	mapanlinlang	fear	0.435
mysterious	mahiwaga	fear	0.435
halting	paghinto	fear	0.435
rebels	rebelde	fear	0.435
repulsion	pagtanggi	fear	0.431
glare	matinding liwanag	fear	0.430
punitive	punitive	fear	0.425
sordid	sordid	fear	0.425
stake	taya	fear	0.423
tempest	bagyo	fear	0.423
ultimatum	ultimatum	fear	0.422
reticent	reticent	fear	0.422
bayonet	bayonet	fear	0.422
depresson	NO TRANSLATION	fear	0.422
suspension	suspensyon	fear	0.422
lament	panaghoy	fear	0.422
burdensome	mabigat	fear	0.422
bier	NO TRANSLATION	fear	0.422
thumping	humahampas	fear	0.422
coyote	koyote	fear	0.422
deleterious	mapaminsala	fear	0.422
dissident	dissident	fear	0.422
varicella	varicella	fear	0.422
wilderness	ilang	fear	0.422
delusion	maling akala	fear	0.422
bigot	bigot	fear	0.422
unsteady	hindi matatag	fear	0.422
stresses	stresses	fear	0.422
offense	pagkakasala	fear	0.422
heathen	mga pagano	fear	0.422
prowl	prowl	fear	0.422
troll	awitin	fear	0.422
infamous	kasumpa-sumpa	fear	0.422
disappear	mawala	fear	0.422
depress	malungkot	fear	0.422
publicspeaking	NO TRANSLATION	fear	0.422
unnatural	hindi natural	fear	0.422
usurped	umagaw	fear	0.422
steal	magnakaw	fear	0.422
anathema	anathema	fear	0.422
fainting	mahina	fear	0.422
alien	dayuhan	fear	0.422
extrajudicial	ekstrahudisyal	fear	0.422
stressin	NO TRANSLATION	fear	0.422
hydra	hydra	fear	0.422
adversity	kahirapan	fear	0.418
ineptitude	kawalang kabuluhan	fear	0.417
outsider	tagalabas	fear	0.413
ugliness	kapangitan	fear	0.410
vulture	buwitre	fear	0.410
immoral	imoral	fear	0.410
scar	peklat	fear	0.406
stressful	nakababahalang	fear	0.406
screech	screech	fear	0.406
wary	maingat	fear	0.406
disgust	pagkasuya	fear	0.406
stressing	stressing	fear	0.406
deport	deport	fear	0.406
nausea	pagduduwal	fear	0.406
resection	pagputol	fear	0.406
blackout	blackout	fear	0.406
disallowed	hindi pinayagan	fear	0.406
insolvent	walang kasalanan	fear	0.406
dismissal	pagpapaalis	fear	0.406
omnipotence	makapangyarihan sa lahat	fear	0.406
possession	pag-aari	fear	0.406
tearful	lumuha	fear	0.406
disorder	disorder	fear	0.406
squall	squall	fear	0.406
dominant	nangingibabaw	fear	0.406
disabled	hindi pinagana	fear	0.406
drones	drones	fear	0.406
recklessness	kawalang-ingat	fear	0.406
escape	makatakas	fear	0.406
distressed	namimighati	fear	0.406
claw	kuko	fear	0.406
stretcher	stretcher	fear	0.406
ohdear	NO TRANSLATION	fear	0.406
penance	penitensiya	fear	0.406
weakly	mahina	fear	0.406
rubble	rubble	fear	0.406
whimper	umuungal	fear	0.406
ghetto	ghetto	fear	0.406
socialism	sosyalismo	fear	0.405
conspiracy	pagsasabwatan	fear	0.400
toughness	kayamutan	fear	0.400
defection	pagtalikod	fear	0.398
absence	kawalan	fear	0.396
moan	halinghing	fear	0.394
crusade	krusada	fear	0.392
radon	radon	fear	0.391
lose	mawala	fear	0.391
exigent	NO TRANSLATION	fear	0.391
dubious	kahina-hinala	fear	0.391
unemployed	walang trabaho	fear	0.391
reject	tanggihan	fear	0.391
excitation	paggulo	fear	0.391
xanax	xanax	fear	0.391
stifled	stifled	fear	0.391
scarecrow	panakot	fear	0.391
concealment	pagkatago	fear	0.391
conquer	lupigin	fear	0.391
discrimination	diskriminasyon	fear	0.391
diagnosis	diyagnosis	fear	0.391
whatdoido	NO TRANSLATION	fear	0.391
snare	silo	fear	0.391
separation	paghihiwalay	fear	0.391
overt	hayag	fear	0.391
urgency	kagalingan	fear	0.391
musket	musket	fear	0.391
unrest	pagkabagabag	fear	0.391
descent	paglapag	fear	0.391
avoiding	pag-iwas	fear	0.391
cyst	kato	fear	0.391
gulp	gulp	fear	0.391
procedure	pamamaraan	fear	0.391
submission	pagsumite	fear	0.391
hardened	matigas ang ulo	fear	0.391
refutation	pagtanggi	fear	0.391
repellent	repellent	fear	0.391
cleave	kumilos	fear	0.391
suspicion	hinala	fear	0.391
poverty	kahirapan	fear	0.391
nervy	NO TRANSLATION	fear	0.391
insolvency	kawalan ng kakayahan	fear	0.391
mental	mental	fear	0.391
theocratic	teokratiko	fear	0.391
spaz	spaz	fear	0.391
brimstone	asupre	fear	0.391
throb	pintig	fear	0.388
outcast	pinalayas	fear	0.388
orc	orc	fear	0.388
disapprove	hindi sumasang-ayon	fear	0.380
dontpanic	dontpanic	fear	0.378
plea	pakiusap	fear	0.377
withdrawals	withdrawals	fear	0.377
pressure	presyon	fear	0.375
grieve	magdalamhati	fear	0.375
frigate	frigate	fear	0.375
kerosene	gas	fear	0.375
nauseous	nasusuka	fear	0.375
khan	khan	fear	0.375
expose	ilantad	fear	0.375
ocd	ocd	fear	0.375
sneaking	lumilipad	fear	0.375
embarrassment	kahihiyan	fear	0.375
bankrupt	bangkarote	fear	0.375
dissolution	paglusaw	fear	0.375
dentistry	pagpapagaling ng ngipin	fear	0.375
edict	utos	fear	0.375
bunker	bunker	fear	0.375
antsy	antsy	fear	0.375
chasm	bangayan	fear	0.375
escaped	nakatakas	fear	0.375
whirlpool	whirlpool	fear	0.375
interrogate	tanungin	fear	0.375
psychological	sikolohikal	fear	0.375
obligor	obligor	fear	0.375
misconception	maling kuru-kuro	fear	0.375
military	militar	fear	0.375
suspected	pinaghihinalaan	fear	0.375
locust	balang	fear	0.375
mentalhealth	NO TRANSLATION	fear	0.375
bad	masama	fear	0.375
coldness	lamig	fear	0.375
taunt	pag-uyam	fear	0.375
obi	obi	fear	0.375
flu	trangkaso	fear	0.375
barricade	barikada	fear	0.375
chimera	chimera	fear	0.375
sultan	sultan	fear	0.375
repellant	repellant	fear	0.373
unknown	hindi alam	fear	0.369
pare	NO TRANSLATION	fear	0.367
jealousy	paninibugho	fear	0.365
mug	saro	fear	0.359
consternation	katahimikan	fear	0.359
rebel	maghimagsik	fear	0.359
conquest	pananakop	fear	0.359
mournful	malungkot	fear	0.359
concerned	nababahala	fear	0.359
mandamus	mandamus	fear	0.359
onedge	onedge	fear	0.359
recurring	umuulit	fear	0.359
jaundice	jaundice	fear	0.359
sectarian	pangkatin	fear	0.359
desert	disyerto	fear	0.359
cur	cur	fear	0.359
difficult	mahirap	fear	0.359
stint	stint	fear	0.359
sortie	NO TRANSLATION	fear	0.359
dart	dart	fear	0.359
spike	maglakas-loob	fear	0.359
timid	mahiyain	fear	0.359
wasting	pag-aaksaya	fear	0.359
bottomless	napakalalim	fear	0.359
warned	binigyan ng babala	fear	0.359
protestant	protestante	fear	0.359
contempt	paghamak	fear	0.359
exam	pagsusulit	fear	0.359
depreciation	pamumura	fear	0.359
anomaly	anomalya	fear	0.359
rejects	tumatanggi	fear	0.359
pessimism	pesimismo	fear	0.359
revolution	rebolusyon	fear	0.359
formidable	kakila-kilabot	fear	0.359
burke	burke	fear	0.359
cautionary	mag-ingat	fear	0.359
headaches	sakit ng ulo	fear	0.359
bankruptcy	bangkarota	fear	0.359
government	pamahalaan	fear	0.359
measles	tigdas	fear	0.359
languishing	nagagalit	fear	0.358
constrain	pigilan	fear	0.358
bane	bane	fear	0.356
impeach	impeach	fear	0.354
warden	warden	fear	0.354
adverse	salungat	fear	0.352
lawyer	abogado	fear	0.349
libel	libel	fear	0.348
retrenchment	pagbabawas	fear	0.345
imminent	malapit na	fear	0.345
unjustifiable	hindi makatwiran	fear	0.344
knell	knell	fear	0.344
contentious	mapamintas	fear	0.344
opposed	taliwas	fear	0.344
shame	kahihiyan	fear	0.344
avoidance	pag-iwas	fear	0.344
resistant	lumalaban	fear	0.344
discipline	disiplina	fear	0.344
defy	lumaban	fear	0.344
belittle	lumiit	fear	0.344
fanaticism	panatismo	fear	0.344
bearish	bearish	fear	0.344
opium	opyo	fear	0.344
sorrow	kalungkutan	fear	0.344
mri	mri	fear	0.344
shaky	nanginginig	fear	0.344
hiss	kumusta	fear	0.344
loneliness	kalungkutan	fear	0.344
swerve	lumayo	fear	0.344
taboo	bawal	fear	0.344
reckless	walang ingat	fear	0.344
obstacle	balakid	fear	0.344
launches	naglulunsad	fear	0.344
aaaaaaah	aaaaaaah	fear	0.344
verdict	hatol	fear	0.344
servile	alipin	fear	0.344
hesitation	pag-aatubili	fear	0.344
evade	umiwas	fear	0.344
recession	pag-urong	fear	0.344
eel	igat	fear	0.344
shortage	kakulangan	fear	0.344
pest	peste	fear	0.344
cutter	pamutol	fear	0.344
psych	psych	fear	0.344
parachute	parasyut	fear	0.344
disrespectful	walang galang	fear	0.343
phalanx	phalanx	fear	0.342
creature	nilalang	fear	0.340
mortgage	mortgage	fear	0.331
specter	multo	fear	0.331
enigmatic	misteryoso	fear	0.329
caution	mag-ingat	fear	0.328
police	pulisya	fear	0.328
shank	paa	fear	0.328
undesirable	hindi kanais-nais	fear	0.328
shutdown	shutdown	fear	0.328
dike	NO TRANSLATION	fear	0.328
subordinate	subordinate	fear	0.328
gametime	gametime	fear	0.328
remove	alisin	fear	0.328
smut	smut	fear	0.328
spillin	NO TRANSLATION	fear	0.328
mishap	mishap	fear	0.328
loom	habihan	fear	0.328
supremacy	supremacy	fear	0.328
unlucky	malaswa	fear	0.328
quash	itumba	fear	0.328
hives	mga pantal	fear	0.328
wimp	wimp	fear	0.328
gladiator	manlalaban	fear	0.328
feeling	pakiramdam	fear	0.328
dominion	kapangyarihan	fear	0.328
encumbrance	kabaligtaran	fear	0.328
adrift	lumayo ka	fear	0.328
defendant	nasasakdal	fear	0.328
outpost	guwardya	fear	0.328
uhoh	NO TRANSLATION	fear	0.328
senseless	walang saysay	fear	0.328
wrongly	mali	fear	0.328
bugaboo	bugaboo	fear	0.328
weirdo	weirdo	fear	0.328
ethereal	kalangitan	fear	0.328
scarce	kakulangan	fear	0.327
unsettled	hindi mapakali	fear	0.327
antisocial	antisosyal	fear	0.324
astray	mali	fear	0.320
vigilant	mapagbantay	fear	0.319
socialist	sosyalista	fear	0.318
halter	halter	fear	0.318
pessimist	pesimista	fear	0.317
pacing	pacing	fear	0.316
opponent	kalaban	fear	0.312
discontinuity	pagpigil	fear	0.312
conspire	makipagkumpetensya	fear	0.312
trickery	panlilinlang	fear	0.312
obsessing	obsessing	fear	0.312
seclusion	pag-iisa	fear	0.312
whirlwind	ipoipo	fear	0.312
unexpected	hindi inaasahang	fear	0.312
ahhhhhhhh	NO TRANSLATION	fear	0.312
cram	cram	fear	0.312
collusion	pagsalungat	fear	0.312
muzzle	busalan	fear	0.312
blight	magwasak	fear	0.312
foreigner	dayuhan	fear	0.312
chargeable	chargeable	fear	0.312
laxative	panunaw	fear	0.312
clinical	klinikal	fear	0.312
dentist	Dentista	fear	0.312
therapist	therapist	fear	0.312
deadline	deadline	fear	0.312
bewilderment	pagkalito	fear	0.312
litigate	litigate	fear	0.312
nether	nether	fear	0.312
thorny	mahirap	fear	0.312
valium	valium	fear	0.312
powerful	malakas	fear	0.312
uneasy	hindi mapakali	fear	0.312
unkind	hindi mabait	fear	0.312
ordnance	ordnance	fear	0.312
wimpy	wimpy	fear	0.312
overthinking	masyadong nag-iisip	fear	0.309
doubts	mga pagdududa	fear	0.308
seriousness	kabigatan	fear	0.305
irrational	hindi makatwiran	fear	0.305
erase	burahin	fear	0.303
teasing	panunukso	fear	0.303
razor	pang-ahit	fear	0.303
sweating	pagpapawis	fear	0.298
reluctant	nag-aatubili	fear	0.297
mage	salamangkero	fear	0.297
crouching	yumuko	fear	0.297
warning	babala	fear	0.297
endless	walang hanggan	fear	0.297
adjudicate	magpatibay	fear	0.297
bale	Bale	fear	0.297
inflation	pagpintog	fear	0.297
giant	higante	fear	0.297
auditor	auditor	fear	0.297
medical	medikal	fear	0.297
swamp	lumubog	fear	0.297
bitch	asong babae	fear	0.297
mislead	iligaw	fear	0.297
weighty	mabigat	fear	0.297
avoid	iwasan	fear	0.297
depreciated	depreciated	fear	0.297
flounder	lumutang	fear	0.297
deflation	deplasyon	fear	0.297
unsurpassed	hindi maunahan	fear	0.297
dashed	dashed	fear	0.297
hide	tago	fear	0.297
timidity	pagkamahiyain	fear	0.297
deluge	delubyo	fear	0.287
disinformation	disinformation	fear	0.286
court	hukuman	fear	0.284
aversion	pag-ayaw	fear	0.283
hurryup	NO TRANSLATION	fear	0.281
unfriendly	hindi magiliw	fear	0.281
remains	labi	fear	0.281
discourage	pahinain ang loob	fear	0.281
cautious	maingat	fear	0.281
oncoming	palapit	fear	0.281
flying	lumilipad	fear	0.281
mistaken	nagkakamali	fear	0.281
swelling	pamamaga	fear	0.281
dwarfed	dwarfed	fear	0.281
surveillance	pagmamatyag	fear	0.281
apache	Apache	fear	0.281
rush	sumugod	fear	0.281
yelp	yelp	fear	0.281
cartridge	kartutso	fear	0.281
fortress	kuta	fear	0.281
bigoted	bigoted	fear	0.281
notready	Hindi pa handa	fear	0.281
challenge	hamon	fear	0.281
submitting	pagsusumite	fear	0.281
wan	NO TRANSLATION	fear	0.281
confusion	pagkalito	fear	0.281
unruly	malupit	fear	0.281
intense	matindi	fear	0.279
noncompliance	hindi pagsunod	fear	0.276
alerts	mga alerto	fear	0.276
planes	mga eroplano	fear	0.274
displeased	hindi nasisiyahan	fear	0.273
cop	pulis	fear	0.273
unbridled	walang pigil	fear	0.271
regiment	rehimyento	fear	0.266
crowds	mga pulutong	fear	0.266
sentence	pangungusap	fear	0.266
blindfold	nakapiring	fear	0.266
crouch	sumukot	fear	0.266
belt	sinturon	fear	0.266
hooded	nakatalukbong	fear	0.266
uncanny	mahiwaga	fear	0.266
cupping	tasa	fear	0.266
sneak	lumabas	fear	0.266
cloak	balabal	fear	0.266
banger	banger	fear	0.266
affront	apront	fear	0.266
confession	pag-amin	fear	0.266
blemish	dungis	fear	0.266
posse	posse	fear	0.266
auditions	audition	fear	0.266
forgotten	nakalimutan	fear	0.266
immerse	isawsaw	fear	0.266
operation	operasyon	fear	0.266
elevation	elevation	fear	0.266
shanghai	shanghai	fear	0.266
hood	hood	fear	0.266
problem	problema	fear	0.266
skid	gumalaw	fear	0.266
insomnia	hindi pagkakatulog	fear	0.266
newjob	NO TRANSLATION	fear	0.266
acrobat	acrobat	fear	0.266
flurries	flurries	fear	0.266
force	lakas	fear	0.266
spur	mag-udyok	fear	0.262
defense	pagtatanggol	fear	0.258
mortgagor	mortgagor	fear	0.258
impatiently	NO TRANSLATION	fear	0.250
run	tumakbo	fear	0.250
rascal	masamang tao	fear	0.250
standstill	tumigil	fear	0.250
doubt	pagdududa	fear	0.250
cataract	katarata	fear	0.250
repent	magsisi	fear	0.250
unfamiliar	hindi pamilyar	fear	0.250
delusional	delusional	fear	0.250
obliging	mapagbigay	fear	0.250
hag	hag	fear	0.250
defend	ipagtanggol	fear	0.250
guard	bantay	fear	0.250
scapegoat	kanselado	fear	0.250
swampy	lumubog	fear	0.250
react	gumanti	fear	0.250
breakingnews	nagbabagang balita	fear	0.250
foul	napakarumi	fear	0.250
spinster	spinster	fear	0.250
indifference	pagwawalang-bahala	fear	0.250
sunk	mas mababa	fear	0.250
picket	piket	fear	0.250
insect	insekto	fear	0.250
rating	marka	fear	0.250
forewarned	forewarned	fear	0.250
indecisive	walang katiyakan	fear	0.250
stealthy	pailalim	fear	0.250
jobinterview	NO TRANSLATION	fear	0.250
grounded	pinagbabatayan	fear	0.242
badhabit	NO TRANSLATION	fear	0.242
highest	pinakamataas	fear	0.236
inequality	hindi pagkakapantay-pantay	fear	0.234
rekindle	rekindle	fear	0.234
shrink	pag-urong	fear	0.234
scaffold	scaffold	fear	0.234
discontent	kawalang-kasiyahan	fear	0.234
verge	verge	fear	0.234
psychiatrist	saykayatrista	fear	0.234
overdrive	labis-labis na magtrabaho	fear	0.234
thatmoment	NO TRANSLATION	fear	0.234
intercede	mamagitan	fear	0.234
pinion	pinion	fear	0.234
finalized	tinatapos	fear	0.234
shelters	Tirahan	fear	0.234
sleepless	walang tulog	fear	0.234
dependence	pagtitiwala	fear	0.234
chicken	manok	fear	0.234
instinctive	katutubo	fear	0.234
buzz	buzz	fear	0.234
difficulty	kahirapan	fear	0.234
bee	pukyutan	fear	0.234
insomniac	insomniac	fear	0.234
aaaah	NO TRANSLATION	fear	0.234
buck	usang lalaki	fear	0.234
rushing	nagmamadali	fear	0.233
overslept	overslept	fear	0.226
default	default	fear	0.226
confessional	kumpisalan	fear	0.225
impatient	walang pasensya	fear	0.224
immigrant	imigrante	fear	0.219
heft	heft	fear	0.219
sweat	pawis	fear	0.219
waver	Nag-aalinlangan	fear	0.219
fingerscrossed	NO TRANSLATION	fear	0.219
stingy	kuripot	fear	0.219
thrill	kiligin	fear	0.219
cane	tungkod	fear	0.219
aga	NO TRANSLATION	fear	0.219
whatif	Paano kung	fear	0.219
tactics	taktika	fear	0.219
veer	magkasala	fear	0.219
unequal	hindi pantay	fear	0.219
lastminute	huling minuto	fear	0.219
jungle	gubat	fear	0.219
bait	pain	fear	0.219
revelations	mga paghahayag	fear	0.219
blues	blues	fear	0.219
overtired	overtired	fear	0.218
prognosis	pagbabala	fear	0.217
alertness	alerto	fear	0.216
hyped	hyped	fear	0.214
somuchtodo	NO TRANSLATION	fear	0.212
toomuchtodo	NO TRANSLATION	fear	0.212
wishmeluck	wishmeluck	fear	0.212
tryouts	tryouts	fear	0.210
clowns	clowns	fear	0.207
fluctuation	pagbabagu-bago	fear	0.204
restless	hindi mapakali	fear	0.204
examination	pagsusuri	fear	0.204
intimacy	pagpapalagayang-loob	fear	0.203
phew	Phew	fear	0.203
quail	pugo	fear	0.203
hurry	magmadali	fear	0.203
uphill	pataas	fear	0.203
mighty	makapangyarihan	fear	0.203
birth	kapanganakan	fear	0.203
cross	krus	fear	0.203
help	tulungan	fear	0.203
overcome	magtagumpay	fear	0.203
recesses	recesses	fear	0.203
acceptances	mga pagtanggap	fear	0.203
fearless	walang takot	fear	0.200
ware	ware	fear	0.198
change	pagbabago	fear	0.198
withstand	makatiis	fear	0.197
asap	ASAP	fear	0.191
owing	utang	fear	0.188
gnome	gnome	fear	0.188
cautiously	maingat	fear	0.188
tract	tract	fear	0.188
deadlines	deadline	fear	0.188
heighten	pahabain	fear	0.188
attorney	abogado	fear	0.188
bug	bug	fear	0.188
knots	buhol	fear	0.188
fragile	marupok	fear	0.188
rule	panuntunan	fear	0.188
advance	isulong	fear	0.188
intrigue	intriga	fear	0.188
overcoming	overcoming	fear	0.188
stillness	katahimikan	fear	0.188
waitinggame	NO TRANSLATION	fear	0.188
watch	panoorin	fear	0.188
unorganised	di-organisado	fear	0.188
elf	maliit na	fear	0.185
stillwaiting	NO TRANSLATION	fear	0.184
lonely	nag-iisa	fear	0.183
slippery	madulas	fear	0.181
interview	pakikipanayam	fear	0.180
everyman	bawat lalaki	fear	0.178
speculation	haka-haka	fear	0.176
needtoknow	kailangan malaman	fear	0.173
assessment	pagtatasa	fear	0.172
competition	kumpetisyon	fear	0.172
settlor	settlor	fear	0.172
rod	pamalo	fear	0.172
checkpoint	tsekpoint	fear	0.172
regulatory	regulasyon	fear	0.172
worship	pagsamba	fear	0.172
shell	shell	fear	0.172
readytogo	nakahanda nang umalis	fear	0.172
uncertain	hindi tiyak	fear	0.172
unsure	hindi sigurado	fear	0.172
birch	Birch	fear	0.172
surprise	sorpresa	fear	0.172
humanrights	NO TRANSLATION	fear	0.172
chaff	ipa	fear	0.172
composure	pagpipigil	fear	0.172
interviewer	tagapakinayam	fear	0.172
less	mas mababa	fear	0.167
coy	coy	fear	0.162
iris	iris	fear	0.160
audition	audition	fear	0.156
sly	palihim	fear	0.156
legalized	legalize	fear	0.156
intimately	intimately	fear	0.156
needit	NO TRANSLATION	fear	0.156
countdown	countdown	fear	0.156
hearing	pagdinig	fear	0.156
bases	base	fear	0.156
medication	gamot	fear	0.156
ceasefire	tigil-putukan	fear	0.156
retirement	pagreretiro	fear	0.156
courageous	matapang	fear	0.154
overthinker	overthinker	fear	0.153
backtrack	pag-urong	fear	0.151
dawned	dawned	fear	0.150
censor	censor	fear	0.149
bailiff	Tagapagtanggol	fear	0.147
syllabus	syllabus	fear	0.147
gent	gent	fear	0.141
caricature	karikatura	fear	0.141
rationality	pagkamaykatwiran	fear	0.141
cove	cove	fear	0.141
newcomer	bagong dating	fear	0.141
eventuality	parati	fear	0.141
imagination	imahinasyon	fear	0.141
validity	bisa	fear	0.141
waiting	naghihintay	fear	0.141
delay	pagkaantala	fear	0.141
shy	mahiyain	fear	0.140
alreadyyyyy	alreadyyyyy	fear	0.140
symptom	sintomas	fear	0.133
excite	gumising	fear	0.132
raccoon	raccoon	fear	0.127
prevent	pigilan	fear	0.125
needtorelax	NO TRANSLATION	fear	0.125
clown	clown	fear	0.125
ahhh	ahhh	fear	0.125
hawk	hawk	fear	0.125
campaigning	kampanya	fear	0.125
soready	sakitady	fear	0.125
tryout	tryout	fear	0.125
marry	mag-asawa	fear	0.125
sprite	engkanto	fear	0.125
swim	lumangoy	fear	0.125
gameday	araw ng laro	fear	0.125
sag	sag	fear	0.123
pharmacy	parmasya	fear	0.123
policeman	pulis	fear	0.121
lace	puntas	fear	0.111
dreamt	napanaginipan	fear	0.111
holiness	kabanalan	fear	0.109
pray	manalangin	fear	0.109
weight	timbang	fear	0.109
incase	kung sakali	fear	0.109
knot	buhol	fear	0.109
confidence	kumpiyansa	fear	0.109
notoriety	katanyagan	fear	0.109
homework	takdang aralin	fear	0.109
destination	patutunguhan	fear	0.109
bigday	mahalagang araw	fear	0.109
slender	payat	fear	0.100
undecided	nag-aalinlangan	fear	0.098
sympathetic	nagkakasundo	fear	0.097
god	diyos	fear	0.094
grades	grado	fear	0.094
loyal	tapat	fear	0.094
poise	maayos	fear	0.094
treat	gamutin	fear	0.094
confident	tiwala	fear	0.094
counsellor	tagapayo	fear	0.094
helmet	helmet	fear	0.094
case	kaso	fear	0.094
locate	hanapin	fear	0.094
northeast	hilagang-silangan	fear	0.088
compassion	habag	fear	0.078
nurture	mag-alaga	fear	0.078
graduation	pagtatapos	fear	0.078
graded	namarkahan	fear	0.075
mum	mama	fear	0.070
infant	sanggol	fear	0.067
civilians	mga sibilyan	fear	0.062
soulmate	soulmate	fear	0.062
civilian	sibilyan	fear	0.062
cloudiness	cloudiness	fear	0.062
gradschool	NO TRANSLATION	fear	0.062
parade	parada	fear	0.062
cash	cash	fear	0.062
journey	paglalakbay	fear	0.062
guidelines	mga patnubay	fear	0.062
youth	kabataan	fear	0.062
opera	opera	fear	0.057
synonymous	magkasingkahulugan	fear	0.056
praying	pagdarasal	fear	0.047
honest	tapat	fear	0.047
intelligence	katalinuhan	fear	0.038
