word	Igbo-ig	emotion	emotion-intensity-score
overslept	overslept	fear	0.226
default	ndabara	fear	0.226
confessional	nkwupụta	fear	0.225
impatient	enweghị ndidi	fear	0.224
immigrant	kwabata	fear	0.219
heft	na-agba	fear	0.219
sweat	ọsụsọ	fear	0.219
waver	ike	fear	0.219
fingerscrossed	NO TRANSLATION	fear	0.219
stingy	aghara	fear	0.219
thrill	obi ụtọ	fear	0.219
cane	ike	fear	0.219
aga	NO TRANSLATION	fear	0.219
whatif	ọ bụrụ na	fear	0.219
tactics	usoro	fear	0.219
veer	ike	fear	0.219
unequal	ezighi ezi	fear	0.219
lastminute	ikpeazụ	fear	0.219
jungle	ọhịa	fear	0.219
bait	nri	fear	0.219
revelations	mkpughe	fear	0.219
blues	blues	fear	0.219
overtired	overtired	fear	0.218
prognosis	nyocha	fear	0.217
alertness	anya	fear	0.216
hyped	hyped	fear	0.214
somuchtodo	NO TRANSLATION	fear	0.212
toomuchtodo	NO TRANSLATION	fear	0.212
wishmeluck	wishmeluck	fear	0.212
tryouts	tryouts	fear	0.210
clowns	clowns	fear	0.207
fluctuation	mmụgharị	fear	0.204
restless	ezumike	fear	0.204
examination	nyocha	fear	0.204
intimacy	mmekọrịta chiri anya	fear	0.203
phew	phew	fear	0.203
quail	quail	fear	0.203
hurry	me ngwa	fear	0.203
uphill	elu	fear	0.203
mighty	dike	fear	0.203
birth	amụ nwa	fear	0.203
cross	obe	fear	0.203
help	Enyemaka	fear	0.203
overcome	merie	fear	0.203
recesses	ezumike	fear	0.203
acceptances	anabata	fear	0.203
fearless	enweghị atụ	fear	0.200
ware	nchekwa	fear	0.198
change	gbanwee	fear	0.198
withstand	eguzogide	fear	0.197
asap	wepụ	fear	0.191
owing	n'ihi ya	fear	0.188
gnome	gnome	fear	0.188
cautiously	eji nlezianya	fear	0.188
tract	tract	fear	0.188
deadlines	oge igbu	fear	0.188
heighten	elu	fear	0.188
attorney	onye ọka iwu	fear	0.188
bug	ahụhụ	fear	0.188
knots	akpụkpọ ụkwụ	fear	0.188
fragile	na-emebi emebi	fear	0.188
rule	ọchịchị	fear	0.188
advance	aga n'ihu	fear	0.188
intrigue	atụmatụ	fear	0.188
overcoming	na-emeri	fear	0.188
stillness	ịdị jụụ	fear	0.188
waitinggame	NO TRANSLATION	fear	0.188
watch	nche	fear	0.188
unorganised	unorganized	fear	0.188
elf	elf	fear	0.185
stillwaiting	NO TRANSLATION	fear	0.184
lonely	owu	fear	0.183
slippery	na-amị amị	fear	0.181
interview	nyocha	fear	0.180
everyman	onye obula	fear	0.178
speculation	ntule	fear	0.176
needtoknow	achọrọ	fear	0.173
assessment	nyocha	fear	0.172
competition	asọmpi	fear	0.172
settlor	edozi	fear	0.172
rod	mkpara	fear	0.172
checkpoint	nyocha	fear	0.172
regulatory	iwu	fear	0.172
worship	efe ofufe	fear	0.172
shell	shea	fear	0.172
readytogo	njikere	fear	0.172
uncertain	ejighị n'aka	fear	0.172
unsure	amaghị	fear	0.172
birch	birch	fear	0.172
surprise	anya	fear	0.172
humanrights	NO TRANSLATION	fear	0.172
chaff	chaff	fear	0.172
composure	dị mma	fear	0.172
interviewer	onye nyocha	fear	0.172
less	Mpekarị	fear	0.167
coy	coy	fear	0.162
iris	iris	fear	0.160
audition	nyocha	fear	0.156
sly	sly	fear	0.156
legalized	iwu akwadoro	fear	0.156
intimately	nke ọma	fear	0.156
needit	NO TRANSLATION	fear	0.156
countdown	ọnụ ọgụgụ	fear	0.156
hearing	anụ	fear	0.156
bases	ntọala	fear	0.156
medication	ọgwụ	fear	0.156
ceasefire	ceasefire	fear	0.156
retirement	ezumike nká	fear	0.156
courageous	obi ike	fear	0.154
overthinker	kwatuo	fear	0.153
backtrack	backtrack	fear	0.151
dawned	malitere	fear	0.150
censor	censor	fear	0.149
bailiff	kotima	fear	0.147
syllabus	syllabus	fear	0.147
gent	gent	fear	0.141
caricature	caricature	fear	0.141
rationality	ezi uche	fear	0.141
cove	anya	fear	0.141
newcomer	onye ohuru	fear	0.141
eventuality	ọdachi	fear	0.141
imagination	eche echiche	fear	0.141
validity	ezi	fear	0.141
waiting	echere	fear	0.141
delay	egbu oge	fear	0.141
shy	ihere	fear	0.140
alreadyyyyy	amayyyy	fear	0.140
symptom	mgbaàmà	fear	0.133
excite	kpalie	fear	0.132
raccoon	raccoon	fear	0.127
prevent	gbochie	fear	0.125
needtorelax	NO TRANSLATION	fear	0.125
clown	ncha	fear	0.125
ahhh	ahhh	fear	0.125
hawk	ike	fear	0.125
campaigning	agha	fear	0.125
soready	soready	fear	0.125
tryout	nwalee	fear	0.125
marry	lụọ	fear	0.125
sprite	sprite	fear	0.125
swim	igwu mmiri	fear	0.125
gameday	ọ dị mma	fear	0.125
sag	sag	fear	0.123
pharmacy	ahịa ọgwụ	fear	0.123
policeman	onye uweojii	fear	0.121
lace	lace	fear	0.111
dreamt	nrọ	fear	0.111
holiness	ịdị nsọ	fear	0.109
pray	kpee ekpere	fear	0.109
weight	arọ	fear	0.109
incase	adịghị ama ama	fear	0.109
knot	eriri	fear	0.109
confidence	obi ike	fear	0.109
notoriety	ama ama	fear	0.109
homework	ihe omume ulo oru	fear	0.109
destination	ebe	fear	0.109
bigday	nnukwu ụbọchị	fear	0.109
slender	obere ala	fear	0.100
undecided	undecided	fear	0.098
sympathetic	enwe ọmịiko	fear	0.097
god	chi	fear	0.094
grades	akara ule	fear	0.094
loyal	eguzosi ike n'ihe	fear	0.094
poise	poise	fear	0.094
treat	emeso	fear	0.094
confident	obi ike	fear	0.094
counsellor	onye ndụmọdụ	fear	0.094
helmet	okpu agha	fear	0.094
case	ikpe	fear	0.094
locate	chọta	fear	0.094
northeast	n'ebe ugwu	fear	0.088
compassion	ọmịiko	fear	0.078
nurture	zụlite	fear	0.078
graduation	ngụsị akwụkwọ	fear	0.078
graded	atụle	fear	0.075
mum	mama	fear	0.070
infant	nwa	fear	0.067
civilians	ndị nkịtị	fear	0.062
soulmate	na-anwụ anwụ	fear	0.062
civilian	ndị nkịtị	fear	0.062
cloudiness	igwe ojii	fear	0.062
gradschool	NO TRANSLATION	fear	0.062
parade	Nme	fear	0.062
cash	ego	fear	0.062
journey	njem	fear	0.062
guidelines	nduzi	fear	0.062
youth	eto eto	fear	0.062
opera	opera	fear	0.057
synonymous	dika okwu	fear	0.056
praying	na-ekpe ekpere	fear	0.047
honest	eme ihe n'eziokwu	fear	0.047
intelligence	ọgụgụ isi	fear	0.038
romance	romance	fear	0.031
lines	ahịrị	fear	0.031
volunteer	wepụtara onwe ya	fear	0.031
obey	rube isi	fear	0.016
happiest	obi ụtọ	joy	0.986
happiness	obi ụtọ	joy	0.984
bliss	obi ụtọ	joy	0.971
celebrating	eme ememe	joy	0.970
jubilant	jubilant	joy	0.969
ecstatic	obi ụtọ	joy	0.954
elation	elation	joy	0.944
bestdayever	bestdayever	joy	0.938
beaming	na-egbuke egbuke	joy	0.938
loveee	loveee	joy	0.932
celebration	ememe	joy	0.929
awesomeness	ọhụụ	joy	0.926
joy	ọṅụ	joy	0.924
happily	obi ụtọ	joy	0.922
excitement	obi ụtọ	joy	0.922
euphoria	euphoria	joy	0.922
fabulous	ama ama	joy	0.922
joyous	ọṅụ	joy	0.922
exuberance	obi ụtọ	joy	0.922
makesmehappy	NO TRANSLATION	joy	0.922
lovee	ịhụnanya	joy	0.920
gratitude	ekele	joy	0.914
spectacular	ihe ngosi	joy	0.912
merriment	obi ụtọ	joy	0.912
happydance	obi ụtọ	joy	0.912
purebliss	NO TRANSLATION	joy	0.909
overjoyed	ṅụrịrị ọṅụ	joy	0.909
triumphant	mmeri	joy	0.907
lovelovelove	NO TRANSLATION	joy	0.906
ecstasy	okpu	joy	0.906
cheerful	obi ụtọ	joy	0.906
cheer	obi ụtọ	joy	0.897
elated	obi ụtọ	joy	0.894
lovethis	ịhụnanya	joy	0.891
laugh	ịchị ọchị	joy	0.891
jolly	jolly	joy	0.891
pleasures	ihe ụtọ	joy	0.891
excitation	obi ụtọ	joy	0.891
peaceofmind	NO TRANSLATION	joy	0.891
delighted	Obi Ụtọ	joy	0.891
exhilaration	ume	joy	0.891
marvelously	magburu onwe ya	joy	0.881
loving	ịhụnanya	joy	0.879
joyful	ọṅụ	joy	0.879
outstanding	dị ịrịba ama	joy	0.879
blissful	obi ụtọ	joy	0.879
pleasurable	ihe na-atọ ụtọ	joy	0.877
iloveher	NO TRANSLATION	joy	0.875
enthusiastic	obi ụtọ	joy	0.875
lovinglife	ịhụnanya ịhụnanya	joy	0.875
glee	gbanye	joy	0.875
happyplace	NO TRANSLATION	joy	0.875
overthemoon	NO TRANSLATION	joy	0.875
yaaaay	NO TRANSLATION	joy	0.875
sohappy	obi ụtọ	joy	0.868
woohoo	woohoo	joy	0.864
laughing	na-achị ọchị	joy	0.864
superb	nnukwu	joy	0.864
wonderful	ebube	joy	0.863
brilliant	brilliant	joy	0.859
tearsofjoy	NO TRANSLATION	joy	0.859
cheering	na-agba ume	joy	0.859
hooray	agba	joy	0.859
glory	ebube	joy	0.859
celebrated	eme ememe	joy	0.859
loved	hụrụ n'anya	joy	0.859
magnificent	ebube	joy	0.859
ilovechristmas	NO TRANSLATION	joy	0.859
yayyyy	NO TRANSLATION	joy	0.859
hallelujah	Hallelujah	joy	0.859
exciting	na-akpali akpali	joy	0.853
heavenly	eluigwe	joy	0.853
thrilled	obi ụtọ	joy	0.851
mademyday	ụda ụbọchị	joy	0.848
hohoho	NO TRANSLATION	joy	0.845
celebrate	eme ememe	joy	0.844
favoriteholiday	NO TRANSLATION	joy	0.844
blessing	ngọzi	joy	0.844
wonderfully	ebube	joy	0.844
sweetness	ụtọ	joy	0.833
marvellous	magburu onwe ya	joy	0.833
festive	ememe	joy	0.833
blessed	gọzie	joy	0.833
paradise	paradaịs	joy	0.833
celebrations	ememe	joy	0.833
compliment	NO TRANSLATION	joy	0.831
smiling	na-amụmụ ọnụ ọchị	joy	0.828
enchanting	enchanting	joy	0.828
love	ịhụnanya	joy	0.828
allsmiles	NO TRANSLATION	joy	0.828
homesweethome	ụlọ ọmarịcha ụlọ	joy	0.826
thankyougod	NO TRANSLATION	joy	0.824
laughter	ịchị ọchị	joy	0.824
marvelous	magburu onwe ya	joy	0.824
goodmood	NO TRANSLATION	joy	0.819
celebratory	ememe	joy	0.818
sensational	ihe mgbagwoju anya	joy	0.818
delightful	obi ụtọ	joy	0.818
happyheart	obi obi	joy	0.818
rejoicing	ọṅụ	joy	0.818
joys	ọṅụ	joy	0.818
goodness	ịdị mma	joy	0.818
excited	obi ụtọ	joy	0.818
excellence	mma	joy	0.818
greatful	NO TRANSLATION	joy	0.816
jovial	jovial	joy	0.814
glorious	ebube	joy	0.812
lovemaking	ịhụnanya	joy	0.812
rejoice	na-aṅụrị ọṅụ	joy	0.812
victorious	mmeri	joy	0.812
excellent	magburu onwe ya	joy	0.812
bonanza	bonanza	joy	0.812
smiley	ọchị	joy	0.812
enjoy	enwe obi ụtọ	joy	0.812
splendid	mara mma	joy	0.812
greatday	NO TRANSLATION	joy	0.812
goodtimes	ezi mma	joy	0.811
whatmakesmesmile	NO TRANSLATION	joy	0.811
happyday	obi ụtọ	joy	0.809
myfavorite	ọkacha mmasị m	joy	0.804
yeahhhh	NO TRANSLATION	joy	0.803
pleasure	obi ụtọ	joy	0.803
thankyoulord	NO TRANSLATION	joy	0.803
yayyy	NO TRANSLATION	joy	0.803
gladness	obi ụtọ	joy	0.803
giggle	giggle	joy	0.802
yesss	yesss	joy	0.797
happytweet	NO TRANSLATION	joy	0.797
success	ọganihu	joy	0.797
happier	obi ụtọ	joy	0.797
dancing	agba egwú	joy	0.797
lovinlife	Owuwu	joy	0.797
magnificence	ebube	joy	0.797
lovemylife	NO TRANSLATION	joy	0.797
grateful	ekele	joy	0.789
splendor	ịma mma	joy	0.788
amuse	ọchị	joy	0.788
fun	ọchị	joy	0.788
happy	obi ụtọ	joy	0.788
enchanted	enchanted	joy	0.781
glorify	otuto	joy	0.781
glad	obi ụtọ	joy	0.781
beautiful	mara mma	joy	0.781
solucky	solucky	joy	0.781
giggling	ọchị	joy	0.781
sothankful	NO TRANSLATION	joy	0.781
radiant	na-egbuke egbuke	joy	0.781
heavens	eluigwe	joy	0.779
perfection	zuru okè	joy	0.779
christmassy	christmassy	joy	0.779
romance	romance	joy	0.779
thrilling	na-akpali akpali	joy	0.776
miraculous	ọrụ ebube	joy	0.773
fiesta	ọkụ	joy	0.773
entertain	enwe obi ụtọ	joy	0.773
congrats	ekele	joy	0.773
cheers	cheers	joy	0.773
happyvalentinesday	NO TRANSLATION	joy	0.773
positivity	positivity	joy	0.773
lovable	na-ahụ n'anya	joy	0.773
cheered	chegharịrị	joy	0.773
funday	ego	joy	0.772
enjoying	na-ekpori ndụ	joy	0.771
cuddling	cuddling	joy	0.766
christmasspirit	NO TRANSLATION	joy	0.766
goodfeeling	NO TRANSLATION	joy	0.766
amused	amused	joy	0.766
lifeisgood	ndụisgood	joy	0.766
thebest	nke kacha mma	joy	0.766
sosweet	dị oke ụtọ	joy	0.766
smiles	ọchị	joy	0.766
delight	obi ụtọ	joy	0.765
orgasm	orgasm	joy	0.765
party	otu	joy	0.765
positive	mma	joy	0.761
cheerfulness	obi ụtọ	joy	0.758
miracles	ọrụ ebube	joy	0.758
sweetheart	obi	joy	0.758
enlighten	mara	joy	0.758
christmastime	Krismas	joy	0.757
giddy	giddy	joy	0.757
romantic	ịhụnanya ịhụnanya	joy	0.750
gratify	na-enye obi ụtọ	joy	0.750
friendliness	enyi	joy	0.750
laughs	achị ọchị	joy	0.750
greatness	ịdị ukwuu	joy	0.750
happyholidays	NO TRANSLATION	joy	0.750
pleasing	obi ụtọ	joy	0.750
blessings	ngọzi	joy	0.750
smile	ọchị	joy	0.750
tistheseason	NO TRANSLATION	joy	0.750
frolic	chi fro	joy	0.748
jubilee	jubilii	joy	0.742
enthusiasm	ịnụ ọkụ n'obi	joy	0.742
triumph	mmeri	joy	0.742
positiveenergy	NO TRANSLATION	joy	0.742
magical	kpakpando	joy	0.742
goodvibes	NO TRANSLATION	joy	0.742
selflove	NO TRANSLATION	joy	0.742
miracle	ọrụ ebube	joy	0.742
rewarding	akwụ ụgwọ	joy	0.742
feelgood	enwe mmetụta	joy	0.736
prosperity	ọganihu	joy	0.735
luxurious	mara mma	joy	0.734
behappy	NO TRANSLATION	joy	0.734
greatnight	NO TRANSLATION	joy	0.734
vivacious	dị egwu	joy	0.734
goodday	ehihie ọma	joy	0.734
passionate	obi ụtọ	joy	0.734
feelinggood	NO TRANSLATION	joy	0.734
enchant	enchant	joy	0.734
victory	mmeri	joy	0.734
admiration	obi ụtọ	joy	0.734
tgif	tgif	joy	0.734
glorification	ebube	joy	0.733
sing	na-abụ abụ	joy	0.729
glowing	na-enwu gbaa	joy	0.729
breathtaking	na-egbuke egbuke	joy	0.728
fulfillment	mmezu	joy	0.728
yessss	yessss	joy	0.728
cheery	obi ụtọ	joy	0.727
thankful	ekele	joy	0.727
hurrah	iwe	joy	0.727
christmasbreak	NO TRANSLATION	joy	0.727
santa	mara	joy	0.727
award	award	joy	0.727
atpeace	mba	joy	0.727
win	merie	joy	0.727
merry	obi ụtọ	joy	0.727
pleased	obi ụtọ	joy	0.725
radiance	radiance	joy	0.725
inspiration	n'ike mmụọ nsọ	joy	0.725
uplift	elu	joy	0.723
optimistic	optimistic	joy	0.723
heaven	eluigwe	joy	0.721
lucky	enwe obi ụtọ	joy	0.721
thrill	obi ụtọ	joy	0.721
godisgreat	NO TRANSLATION	joy	0.721
holidays	ememe	joy	0.721
harmony	nkwekọrịta	joy	0.719
brighten	na-enwu	joy	0.719
lover	hụrụ n'anya	joy	0.719
heartfelt	obi	joy	0.719
utopian	utopian	joy	0.719
xmas	klas	joy	0.719
lovely	mara mma	joy	0.719
amusement	ntụrụndụ	joy	0.719
congratulatory	ekele	joy	0.719
praising	eto eto	joy	0.719
thriving	na-eto eto	joy	0.719
perfect	zuru okè	joy	0.719
magic	anwansi	joy	0.712
luckiest	ihe kachasị mma	joy	0.712
merrychristmas	NO TRANSLATION	joy	0.712
luxury	okomoko	joy	0.712
bestfeeling	bestfeeling	joy	0.712
treasures	akụ	joy	0.712
achievement	mmezu	joy	0.712
yay	Ee	joy	0.712
holiday	ezumike	joy	0.712
intimate	akpachi anya	joy	0.710
soblessed	NO TRANSLATION	joy	0.706
yaaay	NO TRANSLATION	joy	0.706
chuckle	chuckle	joy	0.706
rave	eme	joy	0.706
proud	mpako	joy	0.704
truelove	ezigbo ịhụnanya	joy	0.703
fuckyeah	fuckyeah	joy	0.703
lovelife	NO TRANSLATION	joy	0.703
amazingly	ịtụnanya	joy	0.703
goodnews	mma	joy	0.703
optimism	nchekwube	joy	0.703
satisfying	afọ ojuju	joy	0.703
gooood	gooood	joy	0.703
sweetest	ụtọ	joy	0.703
cherish	akpọrọ	joy	0.703
goodlife	ezi ndụ	joy	0.703
beautification	mma	joy	0.703
appreciates	nwere ekele	joy	0.703
winning	emeri	joy	0.703
cuddled	cuddled	joy	0.703
yaay	NO TRANSLATION	joy	0.700
entertained	enwe obi ụtọ	joy	0.700
excite	kpalie	joy	0.697
newbeginnings	NO TRANSLATION	joy	0.693
praisejesus	NO TRANSLATION	joy	0.691
birthday	ụbọchị ọmụmụ	joy	0.691
metime	oge	joy	0.688
favorite	ọkacha mmasị	joy	0.688
honored	akwanyere ùgwù	joy	0.688
content	ọdịnaya	joy	0.688
godsend	godend	joy	0.688
entertaining	ụtọ	joy	0.688
angelic	mmụọ ozi	joy	0.688
holidayseason	NO TRANSLATION	joy	0.688
adoration	eme ihe	joy	0.688
exquisite	ọmarịcha	joy	0.688
thankyoujesus	NO TRANSLATION	joy	0.688
greatfriends	NO TRANSLATION	joy	0.688
precious	dị oké ọnụ ahịa	joy	0.682
majestic	ebube	joy	0.682
appreciated	nwere ekele	joy	0.682
luscious	obi ụtọ	joy	0.682
memoriesiwontforget	NO TRANSLATION	joy	0.682
smiled	chịrị ọchị	joy	0.682
bestfriends	ezi enyi	joy	0.682
exaltation	ebuli elu	joy	0.682
goodhealth	NO TRANSLATION	joy	0.682
brightens	brightens	joy	0.682
tranquility	obi iru ala	joy	0.679
marry	lụọ	joy	0.676
embrace	nabata	joy	0.676
positively	n'ezie	joy	0.676
dearest	dearest	joy	0.672
relaxation	ezumike	joy	0.672
accomplished	mezuru	joy	0.672
hug	hug	joy	0.672
weeeee	NO TRANSLATION	joy	0.672
bday	bday	joy	0.672
grin	egwu	joy	0.672
enliven	enliven	joy	0.672
contentment	obi ụtọ	joy	0.672
hilarious	egwu	joy	0.672
giggles	giggles	joy	0.672
bountiful	bountiful	joy	0.667
victor	mmeri	joy	0.667
adore	na-asọpụrụ	joy	0.667
boisterous	na-egwu	joy	0.667
fulfilled	mezuru	joy	0.667
fulfill	mezuo	joy	0.664
cuddles	ugbo	joy	0.662
prosperous	enwe ọganihu	joy	0.660
romanticism	romanticism	joy	0.656
humor	ọchị	joy	0.656
glow	enwu	joy	0.656
happynewyear	NO TRANSLATION	joy	0.656
pleasant	obi ụtọ	joy	0.656
appreciation	ekele	joy	0.656
encouraged	gbara ume	joy	0.656
satisfy	mejuo	joy	0.656
serenity	obi iru ala	joy	0.656
captivate	adọta	joy	0.656
besties	besties	joy	0.656
christmaseve	NO TRANSLATION	joy	0.656
innerpeace	NO TRANSLATION	joy	0.656
satisfaction	afọ ojuju	joy	0.652
treasure	akụ	joy	0.652
engaged	gbaa aka	joy	0.652
praises	otuto	joy	0.652
abundance	ụba	joy	0.652
fortunes	ọgaranya	joy	0.652
relaxing	ezumike	joy	0.652
praised	otuto	joy	0.652
nothingbetter	NO TRANSLATION	joy	0.647
complement	kwadoro	joy	0.647
affection	ịhụnanya	joy	0.647
relieved	kwụsịrị	joy	0.647
carnival	ndụ	joy	0.643
divine	Chineke	joy	0.641
saintly	saintly	joy	0.641
harmoniously	kwekọrọ	joy	0.641
achieve	mezuo	joy	0.641
thanksgiving	ekele	joy	0.641
jackpot	jackpot	joy	0.641
priceless	abaghị uru	joy	0.641
sensuality	ezi uche	joy	0.641
champion	onye mmeri	joy	0.641
wedding	agbamakwụkwọ	joy	0.641
uplifting	akpali elu	joy	0.641
climax	oke	joy	0.636
yayy	NO TRANSLATION	joy	0.636
peaceful	udo	joy	0.636
twinkle	twinkle	joy	0.636
reverie	na-agbanye	joy	0.636
exalt	ebuli elu	joy	0.636
winner	mmeri	joy	0.636
felicity	obi ụtọ	joy	0.636
cuddle	na-egwu	joy	0.636
comforting	nkasi obi	joy	0.636
honeymoon	ezumike nwa	joy	0.636
xoxo	xoxo	joy	0.634
amusing	na-atọ ọchị	joy	0.625
reward	ụgwọ ọrụ	joy	0.625
fondness	obi ụtọ	joy	0.625
hearts	obi	joy	0.625
brighter	na-enwu gbaa	joy	0.625
sweet	ụtọ	joy	0.625
stargazing	kpakpando	joy	0.625
festival	ememe	joy	0.625
snuggling	ncha	joy	0.625
generosity	mmesapụ aka	joy	0.625
gorgeous	ọmarịcha	joy	0.625
praisegod	NO TRANSLATION	joy	0.625
sex	mmekọahụ	joy	0.622
parade	Nme	joy	0.621
applause	na-akụ	joy	0.621
genial	genial	joy	0.621
beauty	mma	joy	0.621
kind	ụdị	joy	0.621
newlife	ọhụrụ ndụ	joy	0.618
aspiring	achọ	joy	0.618
fulfilling	mmezu	joy	0.618
godbless	NO TRANSLATION	joy	0.616
virtuous	ezi omume	joy	0.613
kiss	nsusu	joy	0.610
winnings	mmeri	joy	0.609
praiseworthy	otuto	joy	0.609
rainbows	rainbows	joy	0.609
generous	mmesapụ aka	joy	0.609
enlightenment	nghọta	joy	0.609
playful	egwu egwu	joy	0.609
christmas	Krismas	joy	0.609
super	nnukwu	joy	0.609
elegance	dị mma	joy	0.609
rekindle	nụgharị	joy	0.609
awards	onyinye	joy	0.609
adorable	mara mma	joy	0.609
amour	NO TRANSLATION	joy	0.607
independence	nnwere onwe	joy	0.607
successful	ihe ịga nke ọma	joy	0.606
onelove	otu ịhụnanya	joy	0.606
kindness	obiọma	joy	0.606
freely	n'efu	joy	0.606
surprises	ihe ijuanya	joy	0.606
inspired	n'ike mmụọ nsọ	joy	0.606
hilarity	mkpu	joy	0.606
wonder	na-eche	joy	0.606
heheh	NO TRANSLATION	joy	0.606
entertainment	ntụrụndụ	joy	0.603
whimsical	whimsical	joy	0.603
passion	agụụ	joy	0.603
beautify	chọọ mma	joy	0.601
stressfree	NO TRANSLATION	joy	0.601
sunrise	ọwụwa anyanwụ	joy	0.600
godisgood	godisgood	joy	0.597
whoo	onye	joy	0.594
angel	mmụọ ozi	joy	0.594
thankgod	Chukwu Daalụ	joy	0.594
accomplishment	mmezu	joy	0.594
flirt	na-achụpụ	joy	0.594
goodmusic	goodmusic	joy	0.594
snuggled	snuggled	joy	0.594
revere	asọpụrụ	joy	0.594
inspire	kpalie	joy	0.594
fanfare	ofufe	joy	0.594
peacefully	n'udo	joy	0.594
jesus	jesus	joy	0.594
goodies	goodies	joy	0.594
heroic	dike	joy	0.591
fortune	uba	joy	0.591
friendship	enyi	joy	0.591
singing	abụ abụ	joy	0.591
exalted	ebuli elu	joy	0.591
summer	okpomọkụ	joy	0.591
highest	elu	joy	0.591
overflowing	juputa	joy	0.588
contented	enwe obi ụtọ	joy	0.588
woot	mkpu	joy	0.588
rollicking	egwu egwu	joy	0.588
hope	olileanya	joy	0.586
accolade	adalata	joy	0.586
cozy	mma	joy	0.583
delicious	ụtọ	joy	0.579
friendly	enyi na enyi	joy	0.578
sensuous	sensuous	joy	0.578
darling	na-ahụ n'anya	joy	0.578
picturesque	ihe mara mma	joy	0.578
raving	raving	joy	0.578
praise	otuto	joy	0.578
everlasting	ruo mgbe ebighị ebi	joy	0.578
ambition	ọchịchọ	joy	0.578
thelife	na ndụ	joy	0.578
sparkle	sparkle	joy	0.577
yeahhh	yeahhh	joy	0.576
luckygirl	luckygirl	joy	0.576
flattering	nkwuwa okwu	joy	0.576
sensual	anụ ahụ	joy	0.576
heroism	heroism	joy	0.576
succeeding	na-aga nke ọma	joy	0.576
grace	amara	joy	0.576
peace	udo	joy	0.576
livelife	ndụ ndụ	joy	0.574
special	pụrụ iche	joy	0.574
tantalizing	na-arụ ọrụ	joy	0.572
pumped	kụrụ	joy	0.567
worthwhile	bara uru	joy	0.562
revels	ihe oriri	joy	0.562
prevail	merie	joy	0.562
liking	amasị	joy	0.562
sunny	anwụ na-acha	joy	0.562
relax	Zuo ike	joy	0.562
surprise	anya	joy	0.562
hugs	nkwụsị	joy	0.562
admirable	adọrọ mmasị	joy	0.562
hero	dike	joy	0.562
yey	NO TRANSLATION	joy	0.562
humorous	ọchị	joy	0.562
sweets	sweets	joy	0.562
prosper	enwe ọganihu	joy	0.562
superstar	nnukwu mma	joy	0.562
favorable	mma	joy	0.561
bless	gọzie	joy	0.561
tenderness	ima ima	joy	0.561
freedom	nnwere onwe	joy	0.561
masterpiece	ihe omimi	joy	0.561
newyear	NO TRANSLATION	joy	0.561
dreams	nrọ	joy	0.559
hopeful	olileanya	joy	0.559
home	ulo	joy	0.559
cruising	ụgbọ mmiri	joy	0.556
gracias	NO TRANSLATION	joy	0.554
faithfulness	ikwesị ntụkwasị obi	joy	0.553
closeness	nsochi	joy	0.552
eagerness	ịnụ ọkụ n'obi	joy	0.552
comfy	comfy	joy	0.551
sunshine	anwụ	joy	0.551
confidence	obi ike	joy	0.547
mistletoe	mistletoe	joy	0.547
elite	elu	joy	0.547
celestial	eluigwe	joy	0.547
heart	obi	joy	0.547
completion	mmecha	joy	0.547
good	mma	joy	0.547
daughter	nwa	joy	0.547
gifts	onyinye	joy	0.547
astonishment	ihe ijuanya	joy	0.547
bonus	ego	joy	0.547
goodmorning	ụtụtụ ọma	joy	0.547
lifted	ebuli	joy	0.547
zeal	ịnụ ọkụ n'obi	joy	0.547
illuminate	na-enwu	joy	0.547
gift	onyinye	joy	0.547
vacation	ezumike	joy	0.547
charmed	Ịmekwasị anwansị	joy	0.546
recreation	ntụrụndụ	joy	0.545
encouragement	agbamume	joy	0.545
gush	gush	joy	0.545
sublime	dị mma	joy	0.545
dance	agba egwú	joy	0.545
god	chi	joy	0.545
free	free	joy	0.544
freshstart	freshstart	joy	0.544
savior	onye nzọpụta	joy	0.543
sanctuary	ebe nsọ	joy	0.541
grandchildren	ụmụ ụmụ	joy	0.540
wellness	ọma	joy	0.537
revel	obi ụtọ	joy	0.534
inspirational	na-akpali akpali	joy	0.531
savor	esi ísì ụtọ	joy	0.531
matrimony	alụmdi na nwunye	joy	0.531
money	ego	joy	0.531
rainbow	egwurugwu	joy	0.531
confident	obi ike	joy	0.531
bridal	alụmdi na nwunye	joy	0.531
music	egwu	joy	0.531
fab	fab	joy	0.531
serene	serene	joy	0.531
alive	ndụ	joy	0.531
holiness	ịdị nsọ	joy	0.531
vitality	ike	joy	0.531
liberation	nnwere onwe	joy	0.531
dayoff	NO TRANSLATION	joy	0.531
soothing	dị jụụ	joy	0.531
soar	gbanye	joy	0.531
firstborn	ọkpara	joy	0.531
elegant	mara mma	joy	0.530
mastery	ike	joy	0.530
illumination	ìhè	joy	0.530
welcomed	nabatara	joy	0.530
warmth	ọkụ	joy	0.530
blossom	okooko osisi	joy	0.530
glimmer	glimmer	joy	0.530
faithful	kwesịrị ntụkwasị obi	joy	0.529
treat	emeso	joy	0.529
snuggles	snuggles	joy	0.522
laurels	laurels	joy	0.521
commendable	ezi mma	joy	0.519
powerful	ike	joy	0.516
silly	nzuzu	joy	0.516
zest	zest	joy	0.516
presents	onyinye	joy	0.516
succeed	ihe ịga nke ọma	joy	0.516
jingle	jingle	joy	0.516
remarkable	dị ịrịba ama	joy	0.516
