word	Maori-mi	emotion	emotion-intensity-score
restless	korekore	fear	0.204
examination	whakamātautau	fear	0.204
intimacy	whanaungatanga	fear	0.203
phew	phew	fear	0.203
quail	koitareke	fear	0.203
hurry	tere	fear	0.203
uphill	piki	fear	0.203
mighty	kaha	fear	0.203
birth	whanau	fear	0.203
cross	ripeka	fear	0.203
help	awhina	fear	0.203
overcome	ka hinga	fear	0.203
recesses	Tuhinga o mua	fear	0.203
acceptances	whakaaetanga	fear	0.203
fearless	kore wehi	fear	0.200
ware	wareware	fear	0.198
change	huringa	fear	0.198
withstand	tu	fear	0.197
asap	Tuhinga	fear	0.191
owing	no te mea	fear	0.188
gnome	Tuhinga	fear	0.188
cautiously	āta whakaaro	fear	0.188
tract	waahi	fear	0.188
deadlines	waahi	fear	0.188
heighten	teitei ake	fear	0.188
attorney	kaitohutohu	fear	0.188
bug	bug	fear	0.188
knots	putea	fear	0.188
fragile	haurangi	fear	0.188
rule	ture	fear	0.188
advance	Tuhinga	fear	0.188
intrigue	Tuhinga	fear	0.188
overcoming	ka hinga	fear	0.188
stillness	Tuhinga o mua	fear	0.188
waitinggame	NO TRANSLATION	fear	0.188
watch	mataara	fear	0.188
unorganised	unorganized	fear	0.188
elf	Tuhinga o mua	fear	0.185
stillwaiting	NO TRANSLATION	fear	0.184
lonely	mokemoke	fear	0.183
slippery	pahekeheke	fear	0.181
interview	uiui	fear	0.180
everyman	Tuhinga o mua	fear	0.178
speculation	whakapae	fear	0.176
needtoknow	needtoknow	fear	0.173
assessment	aromatawai	fear	0.172
competition	whakataetae	fear	0.172
settlor	Tuhinga	fear	0.172
rod	rakau	fear	0.172
checkpoint	waahi	fear	0.172
regulatory	ture	fear	0.172
worship	koropiko	fear	0.172
shell	anga	fear	0.172
readytogo	Tuhinga o mua	fear	0.172
uncertain	kāore i te mōhio	fear	0.172
unsure	kore rawa	fear	0.172
birch	birch	fear	0.172
surprise	miharo	fear	0.172
humanrights	NO TRANSLATION	fear	0.172
chaff	Tuhinga o mua	fear	0.172
composure	Tuhinga	fear	0.172
interviewer	uiui	fear	0.172
less	iti iho	fear	0.167
coy	Tuhinga	fear	0.162
iris	iris	fear	0.160
audition	whakaari	fear	0.156
sly	kae	fear	0.156
legalized	kua whakamanahia	fear	0.156
intimately	i roto i te waa	fear	0.156
needit	NO TRANSLATION	fear	0.156
countdown	tatauranga	fear	0.156
hearing	whakarongo	fear	0.156
bases	turanga	fear	0.156
medication	rongoā	fear	0.156
ceasefire	mutu te ahi	fear	0.156
retirement	Tuhinga o mua	fear	0.156
courageous	maia	fear	0.154
overthinker	Tuhinga o mua	fear	0.153
backtrack	Tuhinga	fear	0.151
dawned	ka puta	fear	0.150
censor	pene	fear	0.149
bailiff	kaituku hāmene	fear	0.147
syllabus	porotaka	fear	0.147
gent	gent	fear	0.141
caricature	caricature	fear	0.141
rationality	whakautu	fear	0.141
cove	haurangi	fear	0.141
newcomer	newcomer	fear	0.141
eventuality	Tuhinga	fear	0.141
imagination	whakaaro	fear	0.141
validity	whaimana	fear	0.141
waiting	tatari	fear	0.141
delay	roa	fear	0.141
shy	mataku	fear	0.140
alreadyyyyy	Tuhinga o mua	fear	0.140
symptom	tohu	fear	0.133
excite	whakaihiihi	fear	0.132
raccoon	raccoon	fear	0.127
prevent	ārai	fear	0.125
needtorelax	NO TRANSLATION	fear	0.125
clown	Tuhinga o mua	fear	0.125
ahhh	ahhh	fear	0.125
hawk	hawk	fear	0.125
campaigning	whakaeke	fear	0.125
soready	nui	fear	0.125
tryout	Tuhinga	fear	0.125
marry	marena	fear	0.125
sprite	sprite	fear	0.125
swim	kaukau	fear	0.125
gameday	Tuhinga o mua	fear	0.125
sag	Tuhinga	fear	0.123
pharmacy	rongoā	fear	0.123
policeman	pirihimana	fear	0.121
lace	Tuhinga o mua	fear	0.111
dreamt	moemoea	fear	0.111
holiness	tapu	fear	0.109
pray	inoi	fear	0.109
weight	te taimaha	fear	0.109
incase	kore he	fear	0.109
knot	here	fear	0.109
confidence	te maia	fear	0.109
notoriety	Tuhinga o mua	fear	0.109
homework	mahi kāinga	fear	0.109
destination	ūnga	fear	0.109
bigday	nui	fear	0.109
slender	Tuhinga o mua	fear	0.100
undecided	Tuhinga o mua	fear	0.098
sympathetic	aroha	fear	0.097
god	atua	fear	0.094
grades	tohu	fear	0.094
loyal	pono	fear	0.094
poise	poise	fear	0.094
treat	hamani	fear	0.094
confident	māia	fear	0.094
counsellor	kaitohutohu	fear	0.094
helmet	potae	fear	0.094
case	Tuhinga	fear	0.094
locate	kimi	fear	0.094
northeast	raki	fear	0.088
compassion	aroha	fear	0.078
nurture	whakanui	fear	0.078
graduation	whakangungu	fear	0.078
graded	ka tohua	fear	0.075
mum	mama	fear	0.070
infant	tamaiti	fear	0.067
civilians	iwi	fear	0.062
soulmate	mate	fear	0.062
civilian	manene	fear	0.062
cloudiness	kapuarangi	fear	0.062
gradschool	NO TRANSLATION	fear	0.062
parade	paraka	fear	0.062
cash	moni	fear	0.062
journey	haere	fear	0.062
guidelines	aratohu	fear	0.062
youth	taitamariki	fear	0.062
opera	opera	fear	0.057
synonymous	ano	fear	0.056
praying	inoi	fear	0.047
honest	pono	fear	0.047
intelligence	matauranga	fear	0.038
romance	aroha	fear	0.031
lines	raina	fear	0.031
volunteer	kaimahi	fear	0.031
obey	whakarongo	fear	0.016
happiest	hari	joy	0.986
happiness	hari	joy	0.984
bliss	Tuhinga o mua	joy	0.971
celebrating	whakanui	joy	0.970
jubilant	Tuhinga o mua	joy	0.969
ecstatic	Tuhinga o mua	joy	0.954
elation	Tuhinga	joy	0.944
bestdayever	bestdayever	joy	0.938
beaming	whakahua	joy	0.938
loveee	loveee	joy	0.932
celebration	whakanui	joy	0.929
awesomeness	awesomeness	joy	0.926
joy	koa	joy	0.924
happily	koa	joy	0.922
excitement	te hihiri	joy	0.922
euphoria	euphoria	joy	0.922
fabulous	maere	joy	0.922
joyous	koa	joy	0.922
exuberance	Tuhinga o mua	joy	0.922
makesmehappy	NO TRANSLATION	joy	0.922
lovee	aroha	joy	0.920
gratitude	mihi	joy	0.914
spectacular	whakaari	joy	0.912
merriment	Tuhinga o mua	joy	0.912
happydance	hari	joy	0.912
purebliss	NO TRANSLATION	joy	0.909
overjoyed	ka hari	joy	0.909
triumphant	ka angitu	joy	0.907
lovelovelove	NO TRANSLATION	joy	0.906
ecstasy	Tuhinga o mua	joy	0.906
cheerful	koa	joy	0.906
cheer	koa	joy	0.897
elated	koa	joy	0.894
lovethis	aroha	joy	0.891
laugh	kata	joy	0.891
jolly	koa	joy	0.891
pleasures	nga ahuareka	joy	0.891
excitation	hihiri	joy	0.891
peaceofmind	NO TRANSLATION	joy	0.891
delighted	koa	joy	0.891
exhilaration	whakatairanga	joy	0.891
marvelously	maere	joy	0.881
loving	aroha	joy	0.879
joyful	koa	joy	0.879
outstanding	nui	joy	0.879
blissful	koa	joy	0.879
pleasurable	he ahuareka	joy	0.877
iloveher	NO TRANSLATION	joy	0.875
enthusiastic	hihiri	joy	0.875
lovinglife	te aroha	joy	0.875
glee	Tuhinga o mua	joy	0.875
happyplace	NO TRANSLATION	joy	0.875
overthemoon	NO TRANSLATION	joy	0.875
yaaaay	NO TRANSLATION	joy	0.875
sohappy	ka hari	joy	0.868
woohoo	woohoo	joy	0.864
laughing	kata	joy	0.864
superb	nui	joy	0.864
wonderful	whakamiharo	joy	0.863
brilliant	maama	joy	0.859
tearsofjoy	NO TRANSLATION	joy	0.859
cheering	whakanui	joy	0.859
hooray	Tuhinga o mua	joy	0.859
glory	kororia	joy	0.859
celebrated	whakanui	joy	0.859
loved	arohahia	joy	0.859
magnificent	nui	joy	0.859
ilovechristmas	NO TRANSLATION	joy	0.859
yayyyy	NO TRANSLATION	joy	0.859
hallelujah	Hareluia	joy	0.859
exciting	whakaongaonga	joy	0.853
heavenly	rangi	joy	0.853
thrilled	koa	joy	0.851
mademyday	haurangi	joy	0.848
hohoho	NO TRANSLATION	joy	0.845
celebrate	whakanui	joy	0.844
favoriteholiday	NO TRANSLATION	joy	0.844
blessing	manaaki	joy	0.844
wonderfully	miharo	joy	0.844
sweetness	reka	joy	0.833
marvellous	maere	joy	0.833
festive	takaro	joy	0.833
blessed	manaakitia	joy	0.833
paradise	Pararaiha	joy	0.833
celebrations	whakanui	joy	0.833
compliment	NO TRANSLATION	joy	0.831
smiling	ka ataata	joy	0.828
enchanting	te ngahau	joy	0.828
love	aroha	joy	0.828
allsmiles	NO TRANSLATION	joy	0.828
homesweethome	homeweethome	joy	0.826
thankyougod	NO TRANSLATION	joy	0.824
laughter	kata	joy	0.824
marvelous	maere	joy	0.824
goodmood	NO TRANSLATION	joy	0.819
celebratory	whakanui	joy	0.818
sensational	whakahihi	joy	0.818
delightful	pai	joy	0.818
happyheart	koa	joy	0.818
rejoicing	koa	joy	0.818
joys	koa	joy	0.818
goodness	pai	joy	0.818
excited	koa	joy	0.818
excellence	hiranga	joy	0.818
greatful	NO TRANSLATION	joy	0.816
jovial	Tuhinga	joy	0.814
glorious	kororia	joy	0.812
lovemaking	te aroha	joy	0.812
rejoice	koa	joy	0.812
victorious	toa	joy	0.812
excellent	pai	joy	0.812
bonanza	bonanza	joy	0.812
smiley	ataata	joy	0.812
enjoy	koa	joy	0.812
splendid	ataahua	joy	0.812
greatday	NO TRANSLATION	joy	0.812
goodtimes	waimarie	joy	0.811
whatmakesmesmile	NO TRANSLATION	joy	0.811
happyday	hari	joy	0.809
myfavorite	myfavorite	joy	0.804
yeahhhh	NO TRANSLATION	joy	0.803
pleasure	ahuareka	joy	0.803
thankyoulord	NO TRANSLATION	joy	0.803
yayyy	NO TRANSLATION	joy	0.803
gladness	koa	joy	0.803
giggle	whakahau	joy	0.802
yesss	yesss	joy	0.797
happytweet	NO TRANSLATION	joy	0.797
success	angitu	joy	0.797
happier	haurangi	joy	0.797
dancing	kanikani	joy	0.797
lovinlife	Tuhinga o mua	joy	0.797
magnificence	nui	joy	0.797
lovemylife	NO TRANSLATION	joy	0.797
grateful	mauruuru	joy	0.789
splendor	Tuhinga o mua	joy	0.788
amuse	koa	joy	0.788
fun	ngahau	joy	0.788
happy	hari	joy	0.788
enchanted	e hiahia ana	joy	0.781
glorify	whakanui	joy	0.781
glad	koa	joy	0.781
beautiful	ataahua	joy	0.781
solucky	solucky	joy	0.781
giggling	whakaata	joy	0.781
sothankful	NO TRANSLATION	joy	0.781
radiant	whakaata	joy	0.781
heavens	rangi	joy	0.779
perfection	tino pai	joy	0.779
christmassy	Karaitiana	joy	0.779
romance	aroha	joy	0.779
thrilling	te harikoa	joy	0.776
miraculous	maere	joy	0.773
fiesta	fieta	joy	0.773
entertain	ngahau	joy	0.773
congrats	mihi	joy	0.773
cheers	koa	joy	0.773
happyvalentinesday	NO TRANSLATION	joy	0.773
positivity	Tuhinga	joy	0.773
lovable	aroha	joy	0.773
cheered	ka hari	joy	0.773
funday	nama	joy	0.772
enjoying	hauora	joy	0.771
cuddling	whakaheke	joy	0.766
christmasspirit	NO TRANSLATION	joy	0.766
goodfeeling	NO TRANSLATION	joy	0.766
amused	koa	joy	0.766
lifeisgood	lifeisgood	joy	0.766
thebest	Tuhinga	joy	0.766
sosweet	Tuhinga	joy	0.766
smiles	ataata	joy	0.766
delight	koa	joy	0.765
orgasm	Tuhinga	joy	0.765
party	rōpū	joy	0.765
positive	he pai	joy	0.761
cheerfulness	koa	joy	0.758
miracles	nga tohu	joy	0.758
sweetheart	aroha	joy	0.758
enlighten	whakamarama	joy	0.758
christmastime	Kirihimete	joy	0.757
giddy	Tuhinga	joy	0.757
romantic	aroha	joy	0.750
gratify	whakanui	joy	0.750
friendliness	te aroha	joy	0.750
laughs	kata	joy	0.750
greatness	nui	joy	0.750
happyholidays	NO TRANSLATION	joy	0.750
pleasing	pai	joy	0.750
blessings	manaaki	joy	0.750
smile	ataata	joy	0.750
tistheseason	NO TRANSLATION	joy	0.750
frolic	porohita	joy	0.748
jubilee	Pipiri	joy	0.742
enthusiasm	te hihiri	joy	0.742
triumph	Tuhinga o mua	joy	0.742
positiveenergy	NO TRANSLATION	joy	0.742
magical	magical	joy	0.742
goodvibes	NO TRANSLATION	joy	0.742
selflove	NO TRANSLATION	joy	0.742
miracle	merekara	joy	0.742
rewarding	utu	joy	0.742
feelgood	ongogood	joy	0.736
prosperity	te pai	joy	0.735
luxurious	whakahihi	joy	0.734
behappy	NO TRANSLATION	joy	0.734
greatnight	NO TRANSLATION	joy	0.734
vivacious	he kaha	joy	0.734
goodday	pai	joy	0.734
passionate	haurangi	joy	0.734
feelinggood	NO TRANSLATION	joy	0.734
enchant	maatau	joy	0.734
victory	te wikitoria	joy	0.734
admiration	whakanui	joy	0.734
tgif	Tuhinga o mua	joy	0.734
glorification	whakanui	joy	0.733
sing	waiata	joy	0.729
glowing	te uira	joy	0.729
breathtaking	whakahihi	joy	0.728
fulfillment	te whakatutuki	joy	0.728
yessss	yessss	joy	0.728
cheery	koa	joy	0.727
thankful	whakawhetai	joy	0.727
hurrah	ka whakamamae	joy	0.727
christmasbreak	NO TRANSLATION	joy	0.727
santa	Tuhinga	joy	0.727
award	tohu	joy	0.727
atpeace	Tuhinga	joy	0.727
win	toa	joy	0.727
merry	koa	joy	0.727
pleased	pai	joy	0.725
radiance	maramara	joy	0.725
inspiration	whakatairanga	joy	0.725
uplift	whakatairanga	joy	0.723
optimistic	Tuhinga o mua	joy	0.723
heaven	rangi	joy	0.721
lucky	waimarie	joy	0.721
thrill	ngahau	joy	0.721
godisgreat	NO TRANSLATION	joy	0.721
holidays	hararei	joy	0.721
harmony	haumaru	joy	0.719
brighten	kanapa	joy	0.719
lover	aroha	joy	0.719
heartfelt	Tuhinga o mua	joy	0.719
utopian	utopian	joy	0.719
xmas	Tuhinga o mua	joy	0.719
lovely	ataahua	joy	0.719
amusement	hākinakina	joy	0.719
congratulatory	mihi	joy	0.719
praising	te whakamoemiti	joy	0.719
thriving	Tuhinga o mua	joy	0.719
perfect	tino pai	joy	0.719
magic	makutu	joy	0.712
luckiest	kaore i pai	joy	0.712
merrychristmas	NO TRANSLATION	joy	0.712
luxury	pai	joy	0.712
bestfeeling	Tuhinga	joy	0.712
treasures	taonga	joy	0.712
achievement	paetae	joy	0.712
yay	yay	joy	0.712
holiday	hararei	joy	0.712
intimate	mema	joy	0.710
soblessed	NO TRANSLATION	joy	0.706
yaaay	NO TRANSLATION	joy	0.706
chuckle	pupuhi	joy	0.706
rave	mahi	joy	0.706
proud	whakapehapeha	joy	0.704
truelove	pono	joy	0.703
fuckyeah	fuckyeah	joy	0.703
lovelife	NO TRANSLATION	joy	0.703
amazingly	miharo	joy	0.703
goodnews	goodnews	joy	0.703
optimism	Tuhinga o mua	joy	0.703
satisfying	ka makona	joy	0.703
gooood	gooood	joy	0.703
sweetest	reka	joy	0.703
cherish	aroha	joy	0.703
goodlife	pai	joy	0.703
beautification	whakapaipai	joy	0.703
appreciates	ka mihi	joy	0.703
winning	toa	joy	0.703
cuddled	ka peke	joy	0.703
yaay	NO TRANSLATION	joy	0.700
entertained	takarekareka	joy	0.700
excite	whakaihiihi	joy	0.697
newbeginnings	NO TRANSLATION	joy	0.693
praisejesus	NO TRANSLATION	joy	0.691
birthday	rā whānau	joy	0.691
metime	whakaari	joy	0.688
favorite	tino pai	joy	0.688
honored	whakahonore	joy	0.688
content	ihirangi	joy	0.688
godsend	atuaend	joy	0.688
entertaining	takaro	joy	0.688
angelic	anahera	joy	0.688
holidayseason	NO TRANSLATION	joy	0.688
adoration	whakanui	joy	0.688
exquisite	ahuareka	joy	0.688
thankyoujesus	NO TRANSLATION	joy	0.688
greatfriends	NO TRANSLATION	joy	0.688
precious	utu nui	joy	0.682
majestic	nui	joy	0.682
appreciated	i paingia	joy	0.682
luscious	ngawari	joy	0.682
memoriesiwontforget	NO TRANSLATION	joy	0.682
smiled	ka ataata	joy	0.682
bestfriends	hoa pai	joy	0.682
exaltation	te whakanui	joy	0.682
goodhealth	NO TRANSLATION	joy	0.682
brightens	kanapa	joy	0.682
tranquility	te ata noho	joy	0.679
marry	marena	joy	0.676
embrace	awhi	joy	0.676
positively	he pai	joy	0.676
dearest	te aroha	joy	0.672
relaxation	whakarerenga	joy	0.672
accomplished	kua oti	joy	0.672
hug	hug	joy	0.672
weeeee	NO TRANSLATION	joy	0.672
bday	Tuhinga o mua	joy	0.672
grin	huri	joy	0.672
enliven	Tuhinga	joy	0.672
contentment	koa	joy	0.672
hilarious	hilarious	joy	0.672
giggles	whakawai	joy	0.672
bountiful	pounamu	joy	0.667
victor	toa	joy	0.667
adore	aroha	joy	0.667
boisterous	haurangi	joy	0.667
fulfilled	kua tutuki	joy	0.667
fulfill	whakatutuki	joy	0.664
cuddles	pupuhi	joy	0.662
prosperous	he angitu	joy	0.660
romanticism	romanticism	joy	0.656
humor	humoro	joy	0.656
glow	uira	joy	0.656
happynewyear	NO TRANSLATION	joy	0.656
pleasant	ahuareka	joy	0.656
appreciation	mihi	joy	0.656
encouraged	whakatenatena	joy	0.656
satisfy	makona	joy	0.656
serenity	haurangi	joy	0.656
captivate	ka kaha	joy	0.656
besties	pai rawa	joy	0.656
christmaseve	NO TRANSLATION	joy	0.656
innerpeace	NO TRANSLATION	joy	0.656
satisfaction	painga	joy	0.652
treasure	taonga	joy	0.652
engaged	mahi	joy	0.652
praises	whakamoemiti	joy	0.652
abundance	nui	joy	0.652
fortunes	Tuhinga o mua	joy	0.652
relaxing	te waatea	joy	0.652
praised	whakamoemititia	joy	0.652
nothingbetter	NO TRANSLATION	joy	0.647
complement	toha	joy	0.647
affection	aroha	joy	0.647
relieved	kua tohungia	joy	0.647
carnival	te oranga	joy	0.643
divine	Atua	joy	0.641
saintly	Tuhinga	joy	0.641
harmoniously	he pai	joy	0.641
achieve	whakatutuki	joy	0.641
thanksgiving	whakawhetai	joy	0.641
jackpot	jackpot	joy	0.641
priceless	kore utu	joy	0.641
sensuality	wairua	joy	0.641
champion	toa	joy	0.641
wedding	marena	joy	0.641
uplifting	whakatipuranga	joy	0.641
climax	Tuhinga	joy	0.636
yayy	NO TRANSLATION	joy	0.636
peaceful	te rangimarie	joy	0.636
twinkle	whakamaha	joy	0.636
reverie	Tuhinga	joy	0.636
exalt	whakanui	joy	0.636
winner	toa	joy	0.636
felicity	Tuhinga o mua	joy	0.636
cuddle	Tuhinga	joy	0.636
comforting	te whakamarie	joy	0.636
honeymoon	momona	joy	0.636
xoxo	xoxo	joy	0.634
amusing	ngahau	joy	0.625
reward	utu	joy	0.625
fondness	aroha	joy	0.625
hearts	ngakau	joy	0.625
brighter	maama	joy	0.625
sweet	reka	joy	0.625
stargazing	te tipu	joy	0.625
festival	hakari	joy	0.625
snuggling	Tuhinga o mua	joy	0.625
generosity	Tuhinga o mua	joy	0.625
gorgeous	ataahua	joy	0.625
praisegod	NO TRANSLATION	joy	0.625
sex	wahine	joy	0.622
parade	paraka	joy	0.621
applause	whakanui	joy	0.621
genial	Tuhinga	joy	0.621
beauty	ataahua	joy	0.621
kind	ahuareka	joy	0.621
newlife	newlife	joy	0.618
aspiring	e hiahia ana	joy	0.618
fulfilling	whakatutuki	joy	0.618
godbless	NO TRANSLATION	joy	0.616
virtuous	maamaa	joy	0.613
kiss	kihi	joy	0.610
winnings	toa	joy	0.609
praiseworthy	he whakamoemiti	joy	0.609
rainbows	nga pounamu	joy	0.609
generous	manaaki	joy	0.609
enlightenment	whakamarama	joy	0.609
playful	takaro	joy	0.609
christmas	Kirihimete	joy	0.609
super	super	joy	0.609
elegance	Tuhinga	joy	0.609
rekindle	whakahou	joy	0.609
awards	tohu	joy	0.609
adorable	rongonui	joy	0.609
amour	NO TRANSLATION	joy	0.607
independence	Tuhinga o mua	joy	0.607
successful	angitu	joy	0.606
onelove	onelove	joy	0.606
kindness	atawhai	joy	0.606
freely	noa	joy	0.606
surprises	maere	joy	0.606
inspired	i faauruhia	joy	0.606
hilarity	hilarity	joy	0.606
wonder	miharo	joy	0.606
heheh	NO TRANSLATION	joy	0.606
entertainment	whakangahau	joy	0.603
whimsical	whimsical	joy	0.603
passion	aroha	joy	0.603
beautify	whakapaipai	joy	0.601
stressfree	NO TRANSLATION	joy	0.601
sunrise	whiti mai	joy	0.600
godisgood	godisgood	joy	0.597
whoo	Tuhinga o mua	joy	0.594
angel	anahera	joy	0.594
thankgod	whakawhetai	joy	0.594
accomplishment	te whakatutukitanga	joy	0.594
flirt	whakaheke	joy	0.594
goodmusic	pai	joy	0.594
snuggled	pupuhi	joy	0.594
revere	whakawehi	joy	0.594
inspire	whakatairanga	joy	0.594
fanfare	Tuhinga	joy	0.594
peacefully	i runga i te rangimarie	joy	0.594
jesus	Jesus	joy	0.594
goodies	pai	joy	0.594
heroic	heroic	joy	0.591
fortune	taonga	joy	0.591
friendship	hoa	joy	0.591
singing	waiata	joy	0.591
exalted	whakanuia	joy	0.591
summer	raumati	joy	0.591
highest	teitei	joy	0.591
overflowing	nui atu	joy	0.588
contented	ka makona	joy	0.588
woot	Tuhinga	joy	0.588
rollicking	te hurihuri	joy	0.588
hope	tumanako	joy	0.586
accolade	Tuhinga	joy	0.586
cozy	koa	joy	0.583
delicious	reka	joy	0.579
friendly	hoa	joy	0.578
sensuous	Tuhinga	joy	0.578
darling	aroha	joy	0.578
picturesque	pikitia	joy	0.578
raving	Tuhinga o mua	joy	0.578
praise	whakamoemiti	joy	0.578
everlasting	mure ore	joy	0.578
ambition	hiahia	joy	0.578
thelife	te oranga	joy	0.578
sparkle	hiku	joy	0.577
yeahhh	yeahhh	joy	0.576
luckygirl	waimarie	joy	0.576
flattering	Tuhinga o mua	joy	0.576
sensual	wairua	joy	0.576
heroism	heroism	joy	0.576
succeeding	whai angitu	joy	0.576
grace	aroha noa	joy	0.576
peace	te rangimarie	joy	0.576
livelife	livelife	joy	0.574
special	motuhake	joy	0.574
tantalizing	te whakaoti	joy	0.572
pumped	ka poipoia	joy	0.567
worthwhile	he pai	joy	0.562
revels	ngahau	joy	0.562
prevail	ka kaha	joy	0.562
liking	pai	joy	0.562
sunny	matenui	joy	0.562
relax	whakaatea	joy	0.562
surprise	miharo	joy	0.562
hugs	ngongo	joy	0.562
admirable	whakahiahia	joy	0.562
hero	hero	joy	0.562
yey	NO TRANSLATION	joy	0.562
humorous	whakahau	joy	0.562
sweets	potae	joy	0.562
prosper	te angitu	joy	0.562
superstar	rongonui	joy	0.562
favorable	pai	joy	0.561
bless	manaakitia	joy	0.561
tenderness	ngawari	joy	0.561
freedom	Tuhinga o mua	joy	0.561
masterpiece	mea rongonui	joy	0.561
newyear	NO TRANSLATION	joy	0.561
dreams	moemoea	joy	0.559
hopeful	tumanako	joy	0.559
home	home	joy	0.559
cruising	Tuhinga o mua	joy	0.556
gracias	NO TRANSLATION	joy	0.554
faithfulness	pono	joy	0.553
closeness	tata	joy	0.552
eagerness	Tuhinga o mua	joy	0.552
comfy	comfy	joy	0.551
sunshine	marama	joy	0.551
confidence	te maia	joy	0.547
mistletoe	mistletoe	joy	0.547
elite	Tuhinga	joy	0.547
celestial	taarata	joy	0.547
heart	ngakau	joy	0.547
completion	oti	joy	0.547
good	pai	joy	0.547
daughter	tamahine	joy	0.547
gifts	nga takoha	joy	0.547
astonishment	miharo	joy	0.547
bonus	bonus	joy	0.547
goodmorning	whakapaipai	joy	0.547
lifted	ara ake	joy	0.547
zeal	ngakau nui	joy	0.547
illuminate	whakamarama	joy	0.547
gift	taonga	joy	0.547
vacation	hararei	joy	0.547
charmed	ka whakamaharatia	joy	0.546
recreation	hākinakina	joy	0.545
encouragement	whakatenatena	joy	0.545
gush	pupuhi	joy	0.545
sublime	ngohengohe	joy	0.545
dance	kanikani	joy	0.545
god	atua	joy	0.545
free	free	joy	0.544
freshstart	newstart	joy	0.544
savior	kaiwhakaora	joy	0.543
sanctuary	tapu	joy	0.541
grandchildren	mokopuna	joy	0.540
wellness	oranga	joy	0.537
revel	koa	joy	0.534
inspirational	whakatairanga	joy	0.531
savor	kakara	joy	0.531
matrimony	Tuhinga o mua	joy	0.531
money	moni	joy	0.531
rainbow	kopara	joy	0.531
confident	māia	joy	0.531
bridal	marena	joy	0.531
music	waiata	joy	0.531
fab	fab	joy	0.531
serene	maheni	joy	0.531
alive	ora	joy	0.531
holiness	tapu	joy	0.531
vitality	te kaha	joy	0.531
liberation	Tuhinga o mua	joy	0.531
dayoff	NO TRANSLATION	joy	0.531
soothing	ngawari	joy	0.531
soar	tohu	joy	0.531
firstborn	matamua	joy	0.531
elegant	huatau	joy	0.530
mastery	te mana	joy	0.530
illumination	marama	joy	0.530
welcomed	Tuhinga o mua	joy	0.530
warmth	mahana	joy	0.530
blossom	puawai	joy	0.530
glimmer	paku	joy	0.530
faithful	pono	joy	0.529
treat	hamani	joy	0.529
snuggles	putea	joy	0.522
laurels	laurels	joy	0.521
commendable	whaitake	joy	0.519
powerful	kaha	joy	0.516
silly	wairangi	joy	0.516
zest	zest	joy	0.516
presents	taonga	joy	0.516
succeed	angitu	joy	0.516
jingle	poki	joy	0.516
remarkable	mea whakamiharo	joy	0.516
greeted	ka mihihia	joy	0.516
brotherly	teina	joy	0.516
pride	whakapehapeha	joy	0.516
strengthening	whakapakari	joy	0.516
aspire	hiahia	joy	0.516
abundant	nui	joy	0.516
noschool	NO TRANSLATION	joy	0.516
resplendent	whakahihi	joy	0.516
almighty	Kaha Rawa	joy	0.516
fancy	Tuhinga	joy	0.516
zen	zen	joy	0.515
coronation	Tuhinga o mua	joy	0.515
kudos	Tuhinga	joy	0.515
vivid	tino marama	joy	0.515
leisure	waatea	joy	0.515
complete	oti	joy	0.515
cutie	Tuhinga o mua	joy	0.515
newme	newme	joy	0.515
familytime	wā whānau	joy	0.515
animated	whakaari	joy	0.515
spirit	wairua	joy	0.515
thanking	mihi	joy	0.515
kid	tamaiti	joy	0.515
shining	kanapa	joy	0.515
payday	rarangi	joy	0.515
princely	rangatira	joy	0.515
reunited	ka huihui	joy	0.515
therapeutic	rongoa	joy	0.515
comfort	whakamarie	joy	0.515
godly	tapatahi	joy	0.514
marriage	marena	joy	0.514
daymade	NO TRANSLATION	joy	0.514
relationship	hononga	joy	0.514
spouse	hoa	joy	0.507
intimately	i roto i te waa	joy	0.507
accomplish	whakatutuki	joy	0.500
excel	nui atu	joy	0.500
inviting	toha	joy	0.500
meritorious	meritorious	joy	0.500
diamond	taimana	joy	0.500
nature	āhua	joy	0.500
dignity	te mana	joy	0.500
family	whānau	joy	0.500
soulful	whakaharahara	joy	0.500
charitable	atawhai	joy	0.500
encourage	whakatenatena	joy	0.500
friends	hoa	joy	0.500
satisfied	makona	joy	0.500
welcoming	whakanui	joy	0.500
healthy	hauora	joy	0.500
surreal	tira	joy	0.500
refreshed	whakahou	joy	0.500
beach	beach	joy	0.500
motherhood	te whaea	joy	0.500
respect	whakaute	joy	0.500
gem	peera	joy	0.500
erotic	te wairangi	joy	0.500
visionary	matakite	joy	0.500
holyspirit	NO TRANSLATION	joy	0.500
achieved	kua tutuki	joy	0.500
christ	Karaitiana	joy	0.500
memorable	whakamahara	joy	0.500
stressrelief	NO TRANSLATION	joy	0.500
baby	pepe	joy	0.500
purr	purr	joy	0.500
teamjesus	NO TRANSLATION	joy	0.500
veracity	pono	joy	0.500
bloom	puawai	joy	0.500
carefree	kaore	joy	0.500
aura	aura	joy	0.493
health	hauora	joy	0.493
liberty	Tuhinga o mua	joy	0.486
approved	whakaaetia	joy	0.486
yehey	NO TRANSLATION	joy	0.486
oasis	oasis	joy	0.486
rapture	mataora	joy	0.485
engaging	te mahi	joy	0.485
crowning	karauna	joy	0.485
aspiration	wawata	joy	0.485
prestige	tohu	joy	0.485
crescendo	crescendo	joy	0.485
