word	Estonian-et	emotion	emotion-intensity-score
intimately	tihedalt	fear	0.156
needit	NO TRANSLATION	fear	0.156
countdown	tagasimakse aeg	fear	0.156
hearing	ära kuulata	fear	0.156
bases	alused	fear	0.156
medication	ravimeid	fear	0.156
ceasefire	relvarahu	fear	0.156
retirement	pensionile jäämine	fear	0.156
courageous	julge	fear	0.154
overthinker	overtinker	fear	0.153
backtrack	tagasilöök	fear	0.151
dawned	dawned	fear	0.150
censor	tsensor	fear	0.149
bailiff	kohtutäitur	fear	0.147
syllabus	õppekava	fear	0.147
gent	gent	fear	0.141
caricature	karikatuur	fear	0.141
rationality	ratsionaalsus	fear	0.141
cove	jõgi	fear	0.141
newcomer	uustulnuk	fear	0.141
eventuality	võimalust	fear	0.141
imagination	kujutlusvõime	fear	0.141
validity	kehtivus	fear	0.141
waiting	ootab	fear	0.141
delay	viivitus	fear	0.141
shy	häbelik	fear	0.140
alreadyyyyy	juba yyyyy	fear	0.140
symptom	sümptom	fear	0.133
excite	põnevil	fear	0.132
raccoon	pesukaru	fear	0.127
prevent	ennetada	fear	0.125
needtorelax	NO TRANSLATION	fear	0.125
clown	kloun	fear	0.125
ahhh	ahhh	fear	0.125
hawk	kull	fear	0.125
campaigning	kampaaniad	fear	0.125
soready	Soready	fear	0.125
tryout	proovi järgi	fear	0.125
marry	abielluda	fear	0.125
sprite	sprite	fear	0.125
swim	ujuma	fear	0.125
gameday	Gameday	fear	0.125
sag	sag	fear	0.123
pharmacy	apteek	fear	0.123
policeman	politseinik	fear	0.121
lace	pits	fear	0.111
dreamt	unistanud	fear	0.111
holiness	pühadus	fear	0.109
pray	palvetama	fear	0.109
weight	kaal	fear	0.109
incase	juhul kui	fear	0.109
knot	sõlme	fear	0.109
confidence	usaldust	fear	0.109
notoriety	kuulsus	fear	0.109
homework	kodutöö	fear	0.109
destination	sihtkoht	fear	0.109
bigday	tähtis päev	fear	0.109
slender	sihvakas	fear	0.100
undecided	lahendamata	fear	0.098
sympathetic	sümpaatiline	fear	0.097
god	Jumal	fear	0.094
grades	palgaastmed	fear	0.094
loyal	lojaalne	fear	0.094
poise	poise	fear	0.094
treat	ravige	fear	0.094
confident	kindel	fear	0.094
counsellor	nõustaja	fear	0.094
helmet	kiivrit	fear	0.094
case	juhtum	fear	0.094
locate	leidke	fear	0.094
northeast	kirdes	fear	0.088
compassion	kaastunne	fear	0.078
nurture	kasvatada	fear	0.078
graduation	lõpetamine	fear	0.078
graded	sorteeritud	fear	0.075
mum	ema	fear	0.070
infant	laps	fear	0.067
civilians	tsiviilisikud	fear	0.062
soulmate	soulmate	fear	0.062
civilian	tsiviilisik	fear	0.062
cloudiness	pilvisus	fear	0.062
gradschool	NO TRANSLATION	fear	0.062
parade	paraad	fear	0.062
cash	sularahas	fear	0.062
journey	teekond	fear	0.062
guidelines	suunised	fear	0.062
youth	noored	fear	0.062
opera	ooper	fear	0.057
synonymous	sünonüümne	fear	0.056
praying	palvetades	fear	0.047
honest	aus	fear	0.047
intelligence	intelligentsus	fear	0.038
romance	romantikat	fear	0.031
lines	liinid	fear	0.031
volunteer	vabatahtlik	fear	0.031
obey	järgige	fear	0.016
happiest	õnnelikum	joy	0.986
happiness	õnne	joy	0.984
bliss	õndsus	joy	0.971
celebrating	tähistades	joy	0.970
jubilant	jubilantne	joy	0.969
ecstatic	ekstaatiline	joy	0.954
elation	elation	joy	0.944
bestdayever	parim päev üldse	joy	0.938
beaming	säravad	joy	0.938
loveee	loveee	joy	0.932
celebration	pidu	joy	0.929
awesomeness	vinge	joy	0.926
joy	rõõm	joy	0.924
happily	rõõmsalt	joy	0.922
excitement	põnevust	joy	0.922
euphoria	eufooria	joy	0.922
fabulous	vapustav	joy	0.922
joyous	rõõmus	joy	0.922
exuberance	liialdus	joy	0.922
makesmehappy	NO TRANSLATION	joy	0.922
lovee	armastus	joy	0.920
gratitude	tänulikkus	joy	0.914
spectacular	suurepärane	joy	0.912
merriment	lõbutsemine	joy	0.912
happydance	õnneks	joy	0.912
purebliss	NO TRANSLATION	joy	0.909
overjoyed	rõõmus	joy	0.909
triumphant	võidukas	joy	0.907
lovelovelove	NO TRANSLATION	joy	0.906
ecstasy	ecstasy	joy	0.906
cheerful	rõõmsameelne	joy	0.906
cheer	tervitada	joy	0.897
elated	elanud	joy	0.894
lovethis	armastan seda	joy	0.891
laugh	naerma	joy	0.891
jolly	jully	joy	0.891
pleasures	rõõmud	joy	0.891
excitation	ärritus	joy	0.891
peaceofmind	NO TRANSLATION	joy	0.891
delighted	rõõmus	joy	0.891
exhilaration	rõõmuks	joy	0.891
marvelously	imeliselt	joy	0.881
loving	armastav	joy	0.879
joyful	rõõmus	joy	0.879
outstanding	väljapaistev	joy	0.879
blissful	õnnis	joy	0.879
pleasurable	rõõmustav	joy	0.877
iloveher	NO TRANSLATION	joy	0.875
enthusiastic	entusiastlik	joy	0.875
lovinglife	armastusluba	joy	0.875
glee	rõõmu	joy	0.875
happyplace	NO TRANSLATION	joy	0.875
overthemoon	NO TRANSLATION	joy	0.875
yaaaay	NO TRANSLATION	joy	0.875
sohappy	nii õnnelik	joy	0.868
woohoo	woohoo	joy	0.864
laughing	naerdes	joy	0.864
superb	suurepärane	joy	0.864
wonderful	imeline	joy	0.863
brilliant	suurepärane	joy	0.859
tearsofjoy	NO TRANSLATION	joy	0.859
cheering	tervitus	joy	0.859
hooray	vooru	joy	0.859
glory	hiilgus	joy	0.859
celebrated	tähistati	joy	0.859
loved	armastatud	joy	0.859
magnificent	suurepärane	joy	0.859
ilovechristmas	NO TRANSLATION	joy	0.859
yayyyy	NO TRANSLATION	joy	0.859
hallelujah	halleluuja	joy	0.859
exciting	põnev	joy	0.853
heavenly	taevane	joy	0.853
thrilled	põnevil	joy	0.851
mademyday	mademeday	joy	0.848
hohoho	NO TRANSLATION	joy	0.845
celebrate	tähistama	joy	0.844
favoriteholiday	NO TRANSLATION	joy	0.844
blessing	õnnistamine	joy	0.844
wonderfully	imeliselt	joy	0.844
sweetness	magusus	joy	0.833
marvellous	imeilus	joy	0.833
festive	pidulik	joy	0.833
blessed	õnnis	joy	0.833
paradise	paradiis	joy	0.833
celebrations	pidustused	joy	0.833
compliment	NO TRANSLATION	joy	0.831
smiling	naeratades	joy	0.828
enchanting	lummav	joy	0.828
love	armastus	joy	0.828
allsmiles	NO TRANSLATION	joy	0.828
homesweethome	Kodu armas kodu	joy	0.826
thankyougod	NO TRANSLATION	joy	0.824
laughter	naer	joy	0.824
marvelous	imeilus	joy	0.824
goodmood	NO TRANSLATION	joy	0.819
celebratory	pidulik	joy	0.818
sensational	sensatsiooniline	joy	0.818
delightful	õnnelik	joy	0.818
happyheart	õnnelik sulle	joy	0.818
rejoicing	rõõmus	joy	0.818
joys	rõõmud	joy	0.818
goodness	headus	joy	0.818
excited	erutatud	joy	0.818
excellence	tippsaavutused	joy	0.818
greatful	NO TRANSLATION	joy	0.816
jovial	jovial	joy	0.814
glorious	kuulsusrikas	joy	0.812
lovemaking	armastus	joy	0.812
rejoice	rõõmutsege	joy	0.812
victorious	võidukas	joy	0.812
excellent	suurepärane	joy	0.812
bonanza	Bonanza	joy	0.812
smiley	smiley	joy	0.812
enjoy	naudi	joy	0.812
splendid	suurepärane	joy	0.812
greatday	NO TRANSLATION	joy	0.812
goodtimes	head ajad	joy	0.811
whatmakesmesmile	NO TRANSLATION	joy	0.811
happyday	õnnelik päev	joy	0.809
myfavorite	minu lemmik	joy	0.804
yeahhhh	NO TRANSLATION	joy	0.803
pleasure	rõõm	joy	0.803
thankyoulord	NO TRANSLATION	joy	0.803
yayyy	NO TRANSLATION	joy	0.803
gladness	rõõm	joy	0.803
giggle	heitama	joy	0.802
yesss	yeesid	joy	0.797
happytweet	NO TRANSLATION	joy	0.797
success	edu	joy	0.797
happier	õnnelikumad	joy	0.797
dancing	tantsimine	joy	0.797
lovinlife	lovinlife	joy	0.797
magnificence	suurepärasus	joy	0.797
lovemylife	NO TRANSLATION	joy	0.797
grateful	tänulik	joy	0.789
splendor	hiilgus	joy	0.788
amuse	lõbustama	joy	0.788
fun	lõbus	joy	0.788
happy	õnnelik	joy	0.788
enchanted	enchanted	joy	0.781
glorify	austustage	joy	0.781
glad	hea meel	joy	0.781
beautiful	ilus	joy	0.781
solucky	solokk	joy	0.781
giggling	giggling	joy	0.781
sothankful	NO TRANSLATION	joy	0.781
radiant	kiirgusega	joy	0.781
heavens	taevas	joy	0.779
perfection	täiuslikkus	joy	0.779
christmassy	christmassy	joy	0.779
romance	romantikat	joy	0.779
thrilling	haarav	joy	0.776
miraculous	imeline	joy	0.773
fiesta	fiesta	joy	0.773
entertain	lõbustama	joy	0.773
congrats	õnne	joy	0.773
cheers	tervitused	joy	0.773
happyvalentinesday	NO TRANSLATION	joy	0.773
positivity	positiivsus	joy	0.773
lovable	armastav	joy	0.773
cheered	cheered	joy	0.773
funday	funday	joy	0.772
enjoying	nautida	joy	0.771
cuddling	kallistamine	joy	0.766
christmasspirit	NO TRANSLATION	joy	0.766
goodfeeling	NO TRANSLATION	joy	0.766
amused	lõbustas	joy	0.766
lifeisgood	elu on hea	joy	0.766
thebest	parim	joy	0.766
sosweet	nii armas	joy	0.766
smiles	naeratab	joy	0.766
delight	nauding	joy	0.765
orgasm	orgasm	joy	0.765
party	pidu	joy	0.765
positive	positiivne	joy	0.761
cheerfulness	rõõmsus	joy	0.758
miracles	imed	joy	0.758
sweetheart	kullake	joy	0.758
enlighten	valgustama	joy	0.758
christmastime	jõulupüha	joy	0.757
giddy	kummitav	joy	0.757
romantic	romantiline	joy	0.750
gratify	rõõmu	joy	0.750
friendliness	sõbralikkust	joy	0.750
laughs	naerab	joy	0.750
greatness	suurus	joy	0.750
happyholidays	NO TRANSLATION	joy	0.750
pleasing	meeldiv	joy	0.750
blessings	õnnistused	joy	0.750
smile	naeratus	joy	0.750
tistheseason	NO TRANSLATION	joy	0.750
frolic	hulluma	joy	0.748
jubilee	jubilee	joy	0.742
enthusiasm	entusiasm	joy	0.742
triumph	triumf	joy	0.742
positiveenergy	NO TRANSLATION	joy	0.742
magical	maagiline	joy	0.742
goodvibes	NO TRANSLATION	joy	0.742
selflove	NO TRANSLATION	joy	0.742
miracle	ime	joy	0.742
rewarding	rahuldust pakkuv	joy	0.742
feelgood	hästi tundma	joy	0.736
prosperity	heaolu	joy	0.735
luxurious	luksuslik	joy	0.734
behappy	NO TRANSLATION	joy	0.734
greatnight	NO TRANSLATION	joy	0.734
vivacious	vivacious	joy	0.734
goodday	head päeva	joy	0.734
passionate	kirglik	joy	0.734
feelinggood	NO TRANSLATION	joy	0.734
enchant	uhkeldama	joy	0.734
victory	võit	joy	0.734
admiration	imetlus	joy	0.734
tgif	tgif	joy	0.734
glorification	ülistamine	joy	0.733
sing	laulda	joy	0.729
glowing	hõõguv	joy	0.729
breathtaking	hingemattev	joy	0.728
fulfillment	täitmine	joy	0.728
yessss	yessss	joy	0.728
cheery	rõõmsameelne	joy	0.727
thankful	tänulik	joy	0.727
hurrah	hurraja	joy	0.727
christmasbreak	NO TRANSLATION	joy	0.727
santa	santa	joy	0.727
award	auhind	joy	0.727
atpeace	rahus	joy	0.727
win	võita	joy	0.727
merry	rõõmsameelne	joy	0.727
pleased	hea meel	joy	0.725
radiance	sära	joy	0.725
inspiration	inspiratsiooni	joy	0.725
uplift	tõusulaine	joy	0.723
optimistic	optimistlik	joy	0.723
heaven	taevas	joy	0.721
lucky	õnnelik	joy	0.721
thrill	põnevus	joy	0.721
godisgreat	NO TRANSLATION	joy	0.721
holidays	pühad	joy	0.721
harmony	harmoonia	joy	0.719
brighten	heledamaks	joy	0.719
lover	armastaja	joy	0.719
heartfelt	südamlik	joy	0.719
utopian	utoopiline	joy	0.719
xmas	xmas	joy	0.719
lovely	armas	joy	0.719
amusement	lõbustus	joy	0.719
congratulatory	õnnitlused	joy	0.719
praising	kiites	joy	0.719
thriving	edukas	joy	0.719
perfect	täiuslik	joy	0.719
magic	maagia	joy	0.712
luckiest	õnnelikum	joy	0.712
merrychristmas	NO TRANSLATION	joy	0.712
luxury	luksus	joy	0.712
bestfeeling	parim tunne	joy	0.712
treasures	aarded	joy	0.712
achievement	saavutus	joy	0.712
yay	Yay	joy	0.712
holiday	puhkus	joy	0.712
intimate	intiimne	joy	0.710
soblessed	NO TRANSLATION	joy	0.706
yaaay	NO TRANSLATION	joy	0.706
chuckle	naerma	joy	0.706
rave	märatsema	joy	0.706
proud	uhke	joy	0.704
truelove	tõeline armastus	joy	0.703
fuckyeah	fuckeeah	joy	0.703
lovelife	NO TRANSLATION	joy	0.703
amazingly	hämmastavalt	joy	0.703
goodnews	head uudised	joy	0.703
optimism	optimism	joy	0.703
satisfying	rahuldav	joy	0.703
gooood	gooood	joy	0.703
sweetest	magusam	joy	0.703
cherish	hellitada	joy	0.703
goodlife	hea elu	joy	0.703
beautification	beautification	joy	0.703
appreciates	hindab	joy	0.703
winning	võitnud	joy	0.703
cuddled	maitsestatud	joy	0.703
yaay	NO TRANSLATION	joy	0.700
entertained	meelelahutuslik	joy	0.700
excite	põnevil	joy	0.697
newbeginnings	NO TRANSLATION	joy	0.693
praisejesus	NO TRANSLATION	joy	0.691
birthday	sünnipäev	joy	0.691
metime	metime	joy	0.688
favorite	lemmik	joy	0.688
honored	austatud	joy	0.688
content	sisu	joy	0.688
godsend	jumalakartus	joy	0.688
entertaining	lõbus	joy	0.688
angelic	ingelik	joy	0.688
holidayseason	NO TRANSLATION	joy	0.688
adoration	kummardamine	joy	0.688
exquisite	peen	joy	0.688
thankyoujesus	NO TRANSLATION	joy	0.688
greatfriends	NO TRANSLATION	joy	0.688
precious	kallis	joy	0.682
majestic	majesteetlik	joy	0.682
appreciated	hinnatud	joy	0.682
luscious	lõhnakas	joy	0.682
memoriesiwontforget	NO TRANSLATION	joy	0.682
smiled	naeratas	joy	0.682
bestfriends	parimad sõbrad	joy	0.682
exaltation	ülendamine	joy	0.682
goodhealth	NO TRANSLATION	joy	0.682
brightens	brillges	joy	0.682
tranquility	rahu	joy	0.679
marry	abielluda	joy	0.676
embrace	omaks võtma	joy	0.676
positively	positiivselt	joy	0.676
dearest	kallis	joy	0.672
relaxation	lõõgastumine	joy	0.672
accomplished	saavutatud	joy	0.672
hug	kallistama	joy	0.672
weeeee	NO TRANSLATION	joy	0.672
bday	bday	joy	0.672
grin	naerata	joy	0.672
enliven	elavdada	joy	0.672
contentment	rahulolu	joy	0.672
hilarious	lõbus	joy	0.672
giggles	giggles	joy	0.672
bountiful	rikkalik	joy	0.667
victor	võitja	joy	0.667
adore	jumaldan	joy	0.667
boisterous	tormakas	joy	0.667
fulfilled	täidetud	joy	0.667
fulfill	täitma	joy	0.664
cuddles	cuddles	joy	0.662
prosperous	jõukas	joy	0.660
romanticism	romantika	joy	0.656
humor	huumor	joy	0.656
glow	kuma	joy	0.656
happynewyear	NO TRANSLATION	joy	0.656
pleasant	meeldiv	joy	0.656
appreciation	kallinemine	joy	0.656
encouraged	julgustatud	joy	0.656
satisfy	rahuldada	joy	0.656
serenity	rahulikkus	joy	0.656
captivate	haarama	joy	0.656
besties	besties	joy	0.656
christmaseve	NO TRANSLATION	joy	0.656
innerpeace	NO TRANSLATION	joy	0.656
satisfaction	rahulolu	joy	0.652
treasure	aare	joy	0.652
engaged	tööle võetud	joy	0.652
praises	kiidab	joy	0.652
abundance	arvukus	joy	0.652
fortunes	varandused	joy	0.652
relaxing	lõõgastav	joy	0.652
praised	kiitis	joy	0.652
nothingbetter	NO TRANSLATION	joy	0.647
complement	täiendus	joy	0.647
affection	kiindumus	joy	0.647
relieved	kergendust tundev	joy	0.647
carnival	karneval	joy	0.643
divine	jumalik	joy	0.641
saintly	püha	joy	0.641
harmoniously	harmooniliselt	joy	0.641
achieve	saavutama	joy	0.641
thanksgiving	tänan	joy	0.641
jackpot	jackpot	joy	0.641
priceless	hindamatu	joy	0.641
sensuality	sensuaalsus	joy	0.641
champion	meister	joy	0.641
wedding	pulmad	joy	0.641
uplifting	ülendamine	joy	0.641
climax	kulminatsioon	joy	0.636
yayy	NO TRANSLATION	joy	0.636
peaceful	rahumeelne	joy	0.636
twinkle	vilkuma	joy	0.636
reverie	reverie	joy	0.636
exalt	ülendama	joy	0.636
winner	võitja	joy	0.636
felicity	tervitus	joy	0.636
cuddle	jama	joy	0.636
comforting	lohutav	joy	0.636
honeymoon	mesinädalad	joy	0.636
xoxo	xoxo	joy	0.634
amusing	lõbus	joy	0.625
reward	auhind	joy	0.625
fondness	armastus	joy	0.625
hearts	südamed	joy	0.625
brighter	heledam	joy	0.625
sweet	magus	joy	0.625
stargazing	stargazing	joy	0.625
festival	festival	joy	0.625
snuggling	nõrk	joy	0.625
generosity	suuremeelsus	joy	0.625
gorgeous	gorgeous	joy	0.625
praisegod	NO TRANSLATION	joy	0.625
sex	sugu	joy	0.622
parade	paraad	joy	0.621
applause	aplaus	joy	0.621
genial	hingeline	joy	0.621
beauty	ilu	joy	0.621
kind	laadi	joy	0.621
newlife	uus elu	joy	0.618
aspiring	ambitsioonikas	joy	0.618
fulfilling	täidab	joy	0.618
godbless	NO TRANSLATION	joy	0.616
virtuous	vooruslik	joy	0.613
kiss	suudlus	joy	0.610
winnings	võidud	joy	0.609
praiseworthy	kiiduväärt	joy	0.609
rainbows	vikerkaared	joy	0.609
generous	helde	joy	0.609
enlightenment	valgustus	joy	0.609
playful	vallatu	joy	0.609
christmas	jõulud	joy	0.609
super	Super	joy	0.609
elegance	elegantsus	joy	0.609
rekindle	taastumine	joy	0.609
awards	auhinnad	joy	0.609
adorable	jumalik	joy	0.609
amour	NO TRANSLATION	joy	0.607
independence	sõltumatus	joy	0.607
successful	edukas	joy	0.606
onelove	üks armastus	joy	0.606
kindness	headus	joy	0.606
freely	vabalt	joy	0.606
surprises	üllatab	joy	0.606
inspired	inspireeritud	joy	0.606
hilarity	lõbusus	joy	0.606
wonder	imesta	joy	0.606
heheh	NO TRANSLATION	joy	0.606
entertainment	meelelahutus	joy	0.603
whimsical	kummaline	joy	0.603
passion	kirg	joy	0.603
beautify	kaunistama	joy	0.601
stressfree	NO TRANSLATION	joy	0.601
sunrise	päikesetõusu	joy	0.600
godisgood	Jumal on hea	joy	0.597
whoo	kes on	joy	0.594
angel	ingel	joy	0.594
thankgod	Jumal tänatud	joy	0.594
accomplishment	saavutus	joy	0.594
flirt	flirt	joy	0.594
goodmusic	hea muusika	joy	0.594
snuggled	nőrgutati	joy	0.594
revere	austama	joy	0.594
inspire	inspireerima	joy	0.594
fanfare	fanfaar	joy	0.594
peacefully	rahumeelselt	joy	0.594
jesus	jesus	joy	0.594
goodies	maiuspalad	joy	0.594
heroic	kangelaslik	joy	0.591
fortune	õnne	joy	0.591
friendship	sõprus	joy	0.591
singing	laulmine	joy	0.591
exalted	kõrgendatud	joy	0.591
summer	suvi	joy	0.591
highest	kõrgeim	joy	0.591
overflowing	ülevoolav	joy	0.588
contented	rahulolematu	joy	0.588
woot	woot	joy	0.588
rollicking	rollicking	joy	0.588
hope	lootust	joy	0.586
accolade	auhinda	joy	0.586
cozy	hubane	joy	0.583
delicious	maitsev	joy	0.579
friendly	sõbralik	joy	0.578
sensuous	meeleline	joy	0.578
darling	kallis	joy	0.578
picturesque	maaliline	joy	0.578
raving	raev	joy	0.578
praise	kiitust	joy	0.578
everlasting	igavene	joy	0.578
ambition	ambitsioon	joy	0.578
thelife	elu	joy	0.578
sparkle	särama	joy	0.577
yeahhh	jah	joy	0.576
luckygirl	õnnelik tüdruk	joy	0.576
flattering	meelitav	joy	0.576
sensual	sensuaalne	joy	0.576
heroism	kangelaslikkus	joy	0.576
succeeding	edukas	joy	0.576
grace	armu	joy	0.576
peace	rahu	joy	0.576
livelife	ela elu	joy	0.574
special	eriline	joy	0.574
tantalizing	tantalizing	joy	0.572
pumped	pumbatakse	joy	0.567
worthwhile	kasulik	joy	0.562
revels	revels	joy	0.562
prevail	valitsevad	joy	0.562
liking	meeldib	joy	0.562
sunny	päikseline	joy	0.562
relax	lõõgastuda	joy	0.562
surprise	üllatus	joy	0.562
hugs	kallistused	joy	0.562
admirable	imetlusväärne	joy	0.562
hero	kangelane	joy	0.562
yey	NO TRANSLATION	joy	0.562
humorous	humoorikas	joy	0.562
sweets	maiustused	joy	0.562
prosper	õitsema	joy	0.562
superstar	superstaar	joy	0.562
favorable	soodsad	joy	0.561
bless	õnnistagu	joy	0.561
tenderness	hellus	joy	0.561
freedom	vabadus	joy	0.561
masterpiece	meistriteos	joy	0.561
newyear	NO TRANSLATION	joy	0.561
dreams	unenäod	joy	0.559
hopeful	loodetavasti	joy	0.559
home	Kodu	joy	0.559
cruising	reisimine	joy	0.556
gracias	NO TRANSLATION	joy	0.554
faithfulness	ustavus	joy	0.553
closeness	lähedus	joy	0.552
eagerness	innusus	joy	0.552
comfy	mugav	joy	0.551
sunshine	päikesepaiste	joy	0.551
confidence	usaldust	joy	0.547
mistletoe	õlakad	joy	0.547
elite	eliit	joy	0.547
celestial	taevas	joy	0.547
heart	süda	joy	0.547
completion	lõpuleviimine	joy	0.547
good	hea	joy	0.547
daughter	tütar	joy	0.547
gifts	kingitused	joy	0.547
astonishment	hämmastus	joy	0.547
bonus	boonus	joy	0.547
goodmorning	Tere hommikust	joy	0.547
lifted	tõstetud	joy	0.547
zeal	innukus	joy	0.547
illuminate	valgustama	joy	0.547
gift	kingitus	joy	0.547
vacation	puhkus	joy	0.547
charmed	võluv	joy	0.546
recreation	puhkus	joy	0.545
encouragement	julgustamine	joy	0.545
gush	jama	joy	0.545
sublime	suursugune	joy	0.545
dance	tantsu	joy	0.545
god	Jumal	joy	0.545
free	tasuta	joy	0.544
freshstart	värske algusega	joy	0.544
savior	päästja	joy	0.543
sanctuary	pühakoda	joy	0.541
grandchildren	lapselapsed	joy	0.540
wellness	heaolu	joy	0.537
revel	revel	joy	0.534
inspirational	inspireeriv	joy	0.531
savor	lõhnama	joy	0.531
matrimony	abielu	joy	0.531
money	raha	joy	0.531
rainbow	vikerkaar	joy	0.531
confident	kindel	joy	0.531
bridal	pruudi	joy	0.531
music	muusika	joy	0.531
fab	Fab	joy	0.531
serene	rahulik	joy	0.531
alive	elus	joy	0.531
holiness	pühadus	joy	0.531
vitality	elujõudu	joy	0.531
liberation	vabastamine	joy	0.531
dayoff	NO TRANSLATION	joy	0.531
soothing	rahustav	joy	0.531
soar	tõusma	joy	0.531
firstborn	esmasündinu	joy	0.531
elegant	elegantne	joy	0.530
mastery	meisterlikkus	joy	0.530
illumination	valgustus	joy	0.530
welcomed	teretulnud	joy	0.530
warmth	soojust	joy	0.530
blossom	õis	joy	0.530
glimmer	glimmer	joy	0.530
faithful	ustav	joy	0.529
treat	ravige	joy	0.529
snuggles	nõtke	joy	0.522
laurels	lauremid	joy	0.521
commendable	kiiduväärt	joy	0.519
powerful	võimas	joy	0.516
silly	rumal	joy	0.516
zest	zest	joy	0.516
presents	esitleb	joy	0.516
succeed	õnnestub	joy	0.516
jingle	kõlama	joy	0.516
remarkable	tähelepanuväärne	joy	0.516
greeted	tervitati	joy	0.516
brotherly	vendlikult	joy	0.516
pride	uhkus	joy	0.516
strengthening	tugevdamine	joy	0.516
aspire	püüdke	joy	0.516
abundant	rohke	joy	0.516
noschool	NO TRANSLATION	joy	0.516
resplendent	õnnelik	joy	0.516
almighty	kõikvõimas	joy	0.516
fancy	peen	joy	0.516
zen	zen	joy	0.515
coronation	kroonimine	joy	0.515
kudos	kudos	joy	0.515
vivid	elav	joy	0.515
leisure	vaba aja veetmine	joy	0.515
complete	täielik	joy	0.515
cutie	armas	joy	0.515
newme	uusmees	joy	0.515
familytime	pereaeg	joy	0.515
animated	animeeritud	joy	0.515
spirit	vaim	joy	0.515
thanking	tänan	joy	0.515
kid	poiss	joy	0.515
shining	särav	joy	0.515
payday	palgapäev	joy	0.515
princely	vürstlik	joy	0.515
reunited	taasühendatud	joy	0.515
therapeutic	terapeutiline	joy	0.515
comfort	mugavus	joy	0.515
godly	jumalik	joy	0.514
marriage	abielu	joy	0.514
daymade	NO TRANSLATION	joy	0.514
relationship	suhe	joy	0.514
spouse	abikaasa	joy	0.507
intimately	tihedalt	joy	0.507
accomplish	täita	joy	0.500
excel	suurepärane	joy	0.500
inviting	kutsudes	joy	0.500
meritorious	teenekas	joy	0.500
diamond	teemant	joy	0.500
nature	loodus	joy	0.500
dignity	väärikus	joy	0.500
family	perekond	joy	0.500
soulful	hingeline	joy	0.500
charitable	heategevuslik	joy	0.500
encourage	julgustada	joy	0.500
friends	sõbrad	joy	0.500
satisfied	rahuldatud	joy	0.500
welcoming	tervitades	joy	0.500
healthy	tervislik	joy	0.500
surreal	surreaalne	joy	0.500
refreshed	värskendati	joy	0.500
beach	rand	joy	0.500
motherhood	emadus	joy	0.500
respect	austama	joy	0.500
gem	pärl	joy	0.500
erotic	erootiline	joy	0.500
visionary	visionäär	joy	0.500
holyspirit	NO TRANSLATION	joy	0.500
achieved	saavutatud	joy	0.500
christ	kristlane	joy	0.500
memorable	meeldejääv	joy	0.500
stressrelief	NO TRANSLATION	joy	0.500
baby	beebi	joy	0.500
purr	purr	joy	0.500
teamjesus	NO TRANSLATION	joy	0.500
veracity	õigsus	joy	0.500
bloom	õitsema	joy	0.500
carefree	muretu	joy	0.500
aura	aura	joy	0.493
health	tervis	joy	0.493
liberty	vabadus	joy	0.486
approved	heaks kiidetud	joy	0.486
yehey	NO TRANSLATION	joy	0.486
oasis	oaas	joy	0.486
rapture	raputamine	joy	0.485
engaging	kaasahaarav	joy	0.485
crowning	kroonimine	joy	0.485
aspiration	püüdlus	joy	0.485
prestige	prestiiž	joy	0.485
crescendo	crescendo	joy	0.485
gentle	õrn	joy	0.485
liberate	vabastama	joy	0.485
betrothed	vallutatud	joy	0.485
nocomplaints	NO TRANSLATION	joy	0.485
bounty	halastus	joy	0.485
privileged	privilegeeritud	joy	0.485
loyal	lojaalne	joy	0.485
inseparable	lahutamatud	joy	0.485
datenight	NO TRANSLATION	joy	0.484
heyday	õitsengu aeg	joy	0.484
trophy	trofee	joy	0.484
selfworth	NO TRANSLATION	joy	0.484
luck	õnne	joy	0.484
creativity	loovus	joy	0.484
destiny	saatus	joy	0.484
fete	NO TRANSLATION	joy	0.484
transcendence	transtsendentsus	joy	0.484
bouquet	kimp	joy	0.484
chocolate	šokolaad	joy	0.484
aloha	Aloha	joy	0.484
yummy	Nami	joy	0.484
dream	unistus	joy	0.484
desire	soovi	joy	0.484
boyfriend	poiss-sõber	joy	0.480
commemoration	mälestamine	joy	0.479
intelligence	intelligentsus	joy	0.477
readiness	valmisolek	joy	0.473
friend	sõber	joy	0.471
enthusiast	entusiast	joy	0.471
bride	pruut	joy	0.471
lush	lopsakas	joy	0.470
calming	rahustav	joy	0.470
inheritance	pärimine	joy	0.470
kiddo	nalja	joy	0.470
massage	massaaž	joy	0.470
tickle	kummardama	joy	0.470
adventure	seiklus	joy	0.470
nostalgia	nostalgia	joy	0.470
soothe	rahune	joy	0.470
goals	eesmärgid	joy	0.469
luster	läige	joy	0.469
giving	andes	joy	0.469
princess	printsess	joy	0.469
heartily	südamest	joy	0.469
benevolence	heatahtlikkus	joy	0.469
nurture	kasvatada	joy	0.469
bridegroom	peigmees	joy	0.469
eternal	igavene	joy	0.469
pray	palvetama	joy	0.469
getaway	põgenemine	joy	0.469
humanitarian	humanitaarabi	joy	0.469
bonding	sidumine	joy	0.469
rest	puhata	joy	0.469
amicable	sõbralik	joy	0.469
purring	purring	joy	0.469
pretty	ilus	joy	0.469
child	laps	joy	0.466
salutary	tervitatav	joy	0.465
invite	kutsuda	joy	0.457
reminiscing	reminiscing	joy	0.456
beam	tala	joy	0.456
