word	Albanian-sq	emotion	emotion-intensity-score
goodmood	NO TRANSLATION	joy	0.819
celebratory	festive	joy	0.818
sensational	sensacional	joy	0.818
delightful	i lezetshëm	joy	0.818
happyheart	happyheart	joy	0.818
rejoicing	gëzuar	joy	0.818
joys	gëzime	joy	0.818
goodness	mirësi	joy	0.818
excited	i ngacmuar	joy	0.818
excellence	përsosmëri	joy	0.818
greatful	NO TRANSLATION	joy	0.816
jovial	gazmor	joy	0.814
glorious	i lavdishëm	joy	0.812
lovemaking	lovemaking	joy	0.812
rejoice	gëzohem	joy	0.812
victorious	fitimtar	joy	0.812
excellent	i shkëlqyer	joy	0.812
bonanza	burim fitimi	joy	0.812
smiley	smiley	joy	0.812
enjoy	gëzojnë	joy	0.812
splendid	i shkëlqyer	joy	0.812
greatday	NO TRANSLATION	joy	0.812
goodtimes	kohe të mira	joy	0.811
whatmakesmesmile	NO TRANSLATION	joy	0.811
happyday	happyday	joy	0.809
myfavorite	myfavorite	joy	0.804
yeahhhh	NO TRANSLATION	joy	0.803
pleasure	kënaqësi	joy	0.803
thankyoulord	NO TRANSLATION	joy	0.803
yayyy	NO TRANSLATION	joy	0.803
gladness	hare	joy	0.803
giggle	qesh nën hundë	joy	0.802
yesss	Yesss	joy	0.797
happytweet	NO TRANSLATION	joy	0.797
success	sukses	joy	0.797
happier	të lumtur	joy	0.797
dancing	vallëzim	joy	0.797
lovinlife	lovinlife	joy	0.797
magnificence	madhësi	joy	0.797
lovemylife	e dua jeten time	joy	0.797
grateful	mirënjohës	joy	0.789
splendor	bukuri	joy	0.788
amuse	zbavitem	joy	0.788
fun	argëtim	joy	0.788
happy	i lumtur	joy	0.788
enchanted	magjepsur	joy	0.781
glorify	përlëvdojë	joy	0.781
glad	i kënaqur	joy	0.781
beautiful	e bukur	joy	0.781
solucky	kaq me fat	joy	0.781
giggling	giggling	joy	0.781
sothankful	NO TRANSLATION	joy	0.781
radiant	rrezatues	joy	0.781
heavens	qiejt	joy	0.779
perfection	përsosmëri	joy	0.779
christmassy	i Krishtlindjes	joy	0.779
romance	romancë	joy	0.779
thrilling	emocionues	joy	0.776
miraculous	i mrekullueshëm	joy	0.773
fiesta	festë	joy	0.773
entertain	pres	joy	0.773
congrats	Urime	joy	0.773
cheers	Gëzuar	joy	0.773
happyvalentinesday	NO TRANSLATION	joy	0.773
positivity	positivity	joy	0.773
lovable	i dashur	joy	0.773
cheered	brohoritën	joy	0.773
funday	funday	joy	0.772
enjoying	shijuar	joy	0.771
cuddling	cuddling	joy	0.766
christmasspirit	NO TRANSLATION	joy	0.766
goodfeeling	NO TRANSLATION	joy	0.766
amused	i kënaqur	joy	0.766
lifeisgood	jeta eshte e mire	joy	0.766
thebest	më e mira	joy	0.766
sosweet	sa i embel	joy	0.766
smiles	buzëqesh	joy	0.766
delight	kënaqësi	joy	0.765
orgasm	orgazmë	joy	0.765
party	parti	joy	0.765
positive	pozitiv	joy	0.761
cheerfulness	gaz	joy	0.758
miracles	mrekulli	joy	0.758
sweetheart	i dashur	joy	0.758
enlighten	sqaroj	joy	0.758
christmastime	Koha e Krishtlindjeve	joy	0.757
giddy	mendjelehtë	joy	0.757
romantic	romantik	joy	0.750
gratify	kënaq	joy	0.750
friendliness	mirëdashësi	joy	0.750
laughs	qesh	joy	0.750
greatness	madhësi	joy	0.750
happyholidays	NO TRANSLATION	joy	0.750
pleasing	i kënaqshëm	joy	0.750
blessings	bekimet	joy	0.750
smile	buzëqeshje	joy	0.750
tistheseason	NO TRANSLATION	joy	0.750
frolic	i gëzueshëm	joy	0.748
jubilee	jubile	joy	0.742
enthusiasm	entuziazëm	joy	0.742
triumph	triumf	joy	0.742
positiveenergy	NO TRANSLATION	joy	0.742
magical	magjik	joy	0.742
goodvibes	NO TRANSLATION	joy	0.742
selflove	NO TRANSLATION	joy	0.742
miracle	mrekulli	joy	0.742
rewarding	dobishme	joy	0.742
feelgood	FEELGOOD	joy	0.736
prosperity	mirëqenie	joy	0.735
luxurious	luksoz	joy	0.734
behappy	NO TRANSLATION	joy	0.734
greatnight	NO TRANSLATION	joy	0.734
vivacious	i gjallë	joy	0.734
goodday	diten e mire	joy	0.734
passionate	i pasionuar	joy	0.734
feelinggood	NO TRANSLATION	joy	0.734
enchant	kënaq	joy	0.734
victory	fitore	joy	0.734
admiration	admirim	joy	0.734
tgif	Tgif	joy	0.734
glorification	zbukurim	joy	0.733
sing	këndoj	joy	0.729
glowing	me ngjyra të ndezura	joy	0.729
breathtaking	befasues	joy	0.728
fulfillment	përmbushje	joy	0.728
yessss	yessss	joy	0.728
cheery	i gëzueshëm	joy	0.727
thankful	falënderues	joy	0.727
hurrah	urra	joy	0.727
christmasbreak	NO TRANSLATION	joy	0.727
santa	santa	joy	0.727
award	dhënie	joy	0.727
atpeace	ne paqe	joy	0.727
win	fitore	joy	0.727
merry	Gezuar	joy	0.727
pleased	i kënaqur	joy	0.725
radiance	ndriçim	joy	0.725
inspiration	frymëzim	joy	0.725
uplift	ekzaltim	joy	0.723
optimistic	optimist	joy	0.723
heaven	qiell	joy	0.721
lucky	me fat	joy	0.721
thrill	emocion	joy	0.721
godisgreat	NO TRANSLATION	joy	0.721
holidays	pushime	joy	0.721
harmony	harmoni	joy	0.719
brighten	shndrit	joy	0.719
lover	dashnor	joy	0.719
heartfelt	i përzemërt	joy	0.719
utopian	utopik	joy	0.719
xmas	Krishtlindje	joy	0.719
lovely	bukuroshe	joy	0.719
amusement	dëfrim	joy	0.719
congratulatory	urues	joy	0.719
praising	vlerësuar	joy	0.719
thriving	i lulëzuar	joy	0.719
perfect	i përkryer	joy	0.719
magic	magji	joy	0.712
luckiest	fat	joy	0.712
merrychristmas	NO TRANSLATION	joy	0.712
luxury	luks	joy	0.712
bestfeeling	bestfeeling	joy	0.712
treasures	thesare	joy	0.712
achievement	arritje	joy	0.712
yay	yay	joy	0.712
holiday	festë	joy	0.712
intimate	i ngushtë	joy	0.710
soblessed	NO TRANSLATION	joy	0.706
yaaay	NO TRANSLATION	joy	0.706
chuckle	nënqeshje	joy	0.706
rave	furi	joy	0.706
proud	krenar	joy	0.704
truelove	dashuri e vërtetë	joy	0.703
fuckyeah	fuckyeah	joy	0.703
lovelife	NO TRANSLATION	joy	0.703
amazingly	amazingly	joy	0.703
goodnews	Lajme te mira	joy	0.703
optimism	optimizëm	joy	0.703
satisfying	kënaqshme	joy	0.703
gooood	gooood	joy	0.703
sweetest	sweetest	joy	0.703
cherish	ushqej	joy	0.703
goodlife	jete e mire	joy	0.703
beautification	zbukurimi	joy	0.703
appreciates	vlerëson	joy	0.703
winning	fitues	joy	0.703
cuddled	cuddled	joy	0.703
yaay	NO TRANSLATION	joy	0.700
entertained	argëtuan	joy	0.700
excite	nxeh	joy	0.697
newbeginnings	NO TRANSLATION	joy	0.693
praisejesus	NO TRANSLATION	joy	0.691
birthday	ditëlindje	joy	0.691
metime	metime	joy	0.688
favorite	i preferuar	joy	0.688
honored	i nderuar	joy	0.688
content	përmbajtje	joy	0.688
godsend	dhuratë nga perëndia	joy	0.688
entertaining	i këndshëm	joy	0.688
angelic	engjëllor	joy	0.688
holidayseason	NO TRANSLATION	joy	0.688
adoration	adhurim	joy	0.688
exquisite	i hollë	joy	0.688
thankyoujesus	NO TRANSLATION	joy	0.688
greatfriends	NO TRANSLATION	joy	0.688
precious	i çmuar	joy	0.682
majestic	madhështor	joy	0.682
appreciated	vlerësuar	joy	0.682
luscious	i ëmbël	joy	0.682
memoriesiwontforget	NO TRANSLATION	joy	0.682
smiled	buzëqeshi	joy	0.682
bestfriends	bestfriends	joy	0.682
exaltation	ekzaltim	joy	0.682
goodhealth	NO TRANSLATION	joy	0.682
brightens	brightens	joy	0.682
tranquility	qetësi	joy	0.679
marry	martohem	joy	0.676
embrace	përqafoj	joy	0.676
positively	pozitivisht	joy	0.676
dearest	i dashur	joy	0.672
relaxation	çlodhje	joy	0.672
accomplished	realizohet	joy	0.672
hug	përqafim	joy	0.672
weeeee	NO TRANSLATION	joy	0.672
bday	bday	joy	0.672
grin	zbardhje dhëmbësh	joy	0.672
enliven	gjallëroj	joy	0.672
contentment	Kënaqësi	joy	0.672
hilarious	për të qeshur	joy	0.672
giggles	Giggles	joy	0.672
bountiful	bujar	joy	0.667
victor	fitimtar	joy	0.667
adore	adhuroj	joy	0.667
boisterous	i egërsuar	joy	0.667
fulfilled	përmbushur	joy	0.667
fulfill	përmbush	joy	0.664
cuddles	Cuddles	joy	0.662
prosperous	i begatë	joy	0.660
romanticism	Romantizmi	joy	0.656
humor	humor	joy	0.656
glow	shkëlqim	joy	0.656
happynewyear	NO TRANSLATION	joy	0.656
pleasant	i këndshëm	joy	0.656
appreciation	Vleresim	joy	0.656
encouraged	inkurajuar	joy	0.656
satisfy	kënaq	joy	0.656
serenity	qetësi	joy	0.656
captivate	robëroj	joy	0.656
besties	Besties	joy	0.656
christmaseve	NO TRANSLATION	joy	0.656
innerpeace	NO TRANSLATION	joy	0.656
satisfaction	kënaqësi	joy	0.652
treasure	thesar	joy	0.652
engaged	angazhuar	joy	0.652
praises	vlerëson	joy	0.652
abundance	bollëk	joy	0.652
fortunes	fati	joy	0.652
relaxing	zbutës	joy	0.652
praised	vlerësoi	joy	0.652
nothingbetter	NO TRANSLATION	joy	0.647
complement	plotësues	joy	0.647
affection	dashuri	joy	0.647
relieved	lehtësuar	joy	0.647
carnival	karnaval	joy	0.643
divine	hyjnor	joy	0.641
saintly	i shenjtë	joy	0.641
harmoniously	harmonike	joy	0.641
achieve	arrij	joy	0.641
thanksgiving	falënderim	joy	0.641
jackpot	çmim i parë	joy	0.641
priceless	i pavlefshëm	joy	0.641
sensuality	ndjeshmëri	joy	0.641
champion	kampion	joy	0.641
wedding	martesë	joy	0.641
uplifting	uplifting	joy	0.641
climax	kulm	joy	0.636
yayy	NO TRANSLATION	joy	0.636
peaceful	i qetë	joy	0.636
twinkle	ndrit	joy	0.636
reverie	ëndërrim	joy	0.636
exalt	lartësoj	joy	0.636
winner	fitues	joy	0.636
felicity	lumturi	joy	0.636
cuddle	përqafoj	joy	0.636
comforting	inkurajues	joy	0.636
honeymoon	muaj mjalti	joy	0.636
xoxo	xoxo	joy	0.634
amusing	zbavitës	joy	0.625
reward	shperblim	joy	0.625
fondness	dashuri	joy	0.625
hearts	zemrat	joy	0.625
brighter	ndritshme	joy	0.625
sweet	e embel	joy	0.625
stargazing	stargazing	joy	0.625
festival	festival	joy	0.625
snuggling	snuggling	joy	0.625
generosity	bujari	joy	0.625
gorgeous	i mrekullueshëm	joy	0.625
praisegod	NO TRANSLATION	joy	0.625
sex	seks	joy	0.622
parade	paradë	joy	0.621
applause	duartrokitje	joy	0.621
genial	i qeshur	joy	0.621
beauty	bukuri	joy	0.621
kind	lloj	joy	0.621
newlife	jete e re	joy	0.618
aspiring	ambicioz	joy	0.618
fulfilling	përmbushjen	joy	0.618
godbless	NO TRANSLATION	joy	0.616
virtuous	i virtytshëm	joy	0.613
kiss	puthje	joy	0.610
winnings	fitim në letra	joy	0.609
praiseworthy	i lavdërueshëm	joy	0.609
rainbows	rainbows	joy	0.609
generous	bujar	joy	0.609
enlightenment	sqarim	joy	0.609
playful	i gjallë	joy	0.609
christmas	Krishtlindje	joy	0.609
super	super	joy	0.609
elegance	hijeshi	joy	0.609
rekindle	rindezur	joy	0.609
awards	Awards	joy	0.609
adorable	i adhurueshëm	joy	0.609
amour	NO TRANSLATION	joy	0.607
independence	pavarësi	joy	0.607
successful	e suksesshme	joy	0.606
onelove	nje dashuri	joy	0.606
kindness	mirësi	joy	0.606
freely	lirisht	joy	0.606
surprises	surpriza	joy	0.606
inspired	i frymëzuar	joy	0.606
hilarity	kukurisje	joy	0.606
wonder	pyes veten	joy	0.606
heheh	NO TRANSLATION	joy	0.606
entertainment	argëtim	joy	0.603
whimsical	i çuditshëm	joy	0.603
passion	pasion	joy	0.603
beautify	zbukuroj	joy	0.601
stressfree	NO TRANSLATION	joy	0.601
sunrise	agim	joy	0.600
godisgood	Zoti eshte i mire	joy	0.597
whoo	Whoo	joy	0.594
angel	engjëll	joy	0.594
thankgod	faleminderit Zotit	joy	0.594
accomplishment	arritje	joy	0.594
flirt	flirtoj	joy	0.594
goodmusic	goodmusic	joy	0.594
snuggled	shtrirė	joy	0.594
revere	Revere	joy	0.594
inspire	frymëzoj	joy	0.594
fanfare	fanfarë	joy	0.594
peacefully	në paqe	joy	0.594
jesus	Jezu	joy	0.594
goodies	goodies	joy	0.594
heroic	heroik	joy	0.591
fortune	pasuri	joy	0.591
friendship	miqësi	joy	0.591
singing	duke kënduar	joy	0.591
exalted	i zgjuar	joy	0.591
summer	verë	joy	0.591
highest	më i lartë	joy	0.591
overflowing	i tejmbushur	joy	0.588
contented	i kënaqur	joy	0.588
woot	Woot	joy	0.588
rollicking	argëtues	joy	0.588
hope	shpresoj	joy	0.586
accolade	dhënie e titullit të kalorësit	joy	0.586
cozy	komod	joy	0.583
delicious	i shijshëm	joy	0.579
friendly	miqësor	joy	0.578
sensuous	i ndjeshëm	joy	0.578
darling	i dashur	joy	0.578
picturesque	piktoresk	joy	0.578
raving	përçart	joy	0.578
praise	lavdërim	joy	0.578
everlasting	i përjetshëm	joy	0.578
ambition	ambicie	joy	0.578
thelife	Jeta	joy	0.578
sparkle	vetëtin	joy	0.577
yeahhh	yeahhh	joy	0.576
luckygirl	vajzë me fat	joy	0.576
flattering	miklues	joy	0.576
sensual	sensual	joy	0.576
heroism	heroizëm	joy	0.576
succeeding	pasuar	joy	0.576
grace	hir	joy	0.576
peace	paqe	joy	0.576
livelife	Jeto Jeten	joy	0.574
special	special	joy	0.574
tantalizing	tantalizing	joy	0.572
pumped	derdhur	joy	0.567
worthwhile	vlefshëm	joy	0.562
revels	revels	joy	0.562
prevail	mbizotëroj	joy	0.562
liking	simpati	joy	0.562
sunny	me diell	joy	0.562
relax	pushojnë	joy	0.562
surprise	befasi	joy	0.562
hugs	hugs	joy	0.562
admirable	i admirueshëm	joy	0.562
hero	hero	joy	0.562
yey	NO TRANSLATION	joy	0.562
humorous	me humor	joy	0.562
sweets	Ëmbëlsirat	joy	0.562
prosper	përparon	joy	0.562
superstar	superstar	joy	0.562
favorable	i favorshëm	joy	0.561
bless	bekoj	joy	0.561
tenderness	butësi	joy	0.561
freedom	liri	joy	0.561
masterpiece	kryeveper	joy	0.561
newyear	viti i Ri	joy	0.561
dreams	ëndrrat	joy	0.559
hopeful	shpresëdhënës	joy	0.559
home	shtëpi	joy	0.559
cruising	cruising	joy	0.556
gracias	NO TRANSLATION	joy	0.554
faithfulness	besnikëri	joy	0.553
closeness	afërsi	joy	0.552
eagerness	padurim	joy	0.552
comfy	i qetë	joy	0.551
sunshine	kohë e mirë	joy	0.551
confidence	besim	joy	0.547
mistletoe	veshtull	joy	0.547
elite	elitë	joy	0.547
celestial	qiellor	joy	0.547
heart	zemër	joy	0.547
completion	përfundim	joy	0.547
good	mirë	joy	0.547
daughter	bijë	joy	0.547
gifts	Dhuratat	joy	0.547
astonishment	mahnitje	joy	0.547
bonus	shpërblim	joy	0.547
goodmorning	Miremengjes	joy	0.547
lifted	hiqet	joy	0.547
zeal	zell	joy	0.547
illuminate	ndriçoj	joy	0.547
gift	dhuratë	joy	0.547
vacation	pushime	joy	0.547
charmed	i bekuar	joy	0.546
recreation	argëtim	joy	0.545
encouragement	inkurajim	joy	0.545
gush	buron	joy	0.545
sublime	madhështor	joy	0.545
dance	valle	joy	0.545
god	zot	joy	0.545
free	falas	joy	0.544
freshstart	fillim i ri	joy	0.544
savior	shpëtimtar	joy	0.543
sanctuary	shenjtërore	joy	0.541
grandchildren	nipërit	joy	0.540
wellness	Wellness	joy	0.537
revel	argëtohem	joy	0.534
inspirational	frymëzues	joy	0.531
savor	shijoj	joy	0.531
matrimony	martesë	joy	0.531
money	para	joy	0.531
rainbow	ylber	joy	0.531
confident	i sigurt	joy	0.531
bridal	martesor	joy	0.531
music	muzikë	joy	0.531
fab	Fab	joy	0.531
serene	i qetë	joy	0.531
alive	i gjallë	joy	0.531
holiness	Shenjtëri	joy	0.531
vitality	vitalitet	joy	0.531
liberation	çlirim	joy	0.531
dayoff	NO TRANSLATION	joy	0.531
soothing	qetësues	joy	0.531
soar	fluturoj	joy	0.531
firstborn	parëlinduri	joy	0.531
elegant	elegant	joy	0.530
mastery	zotërim	joy	0.530
illumination	ndriçim	joy	0.530
welcomed	mirëpritur	joy	0.530
warmth	ngrohtësi	joy	0.530
blossom	çel	joy	0.530
glimmer	dritëz	joy	0.530
faithful	besnik	joy	0.529
treat	trajtoj	joy	0.529
snuggles	snuggles	joy	0.522
laurels	nderime	joy	0.521
commendable	i rekomandueshëm	joy	0.519
powerful	i fuqishëm	joy	0.516
silly	i trashë	joy	0.516
zest	gjallëri	joy	0.516
presents	paraqet	joy	0.516
succeed	të ketë sukses	joy	0.516
jingle	gërvisht	joy	0.516
remarkable	jashtëzakonshme	joy	0.516
greeted	përshëndeti	joy	0.516
brotherly	vëllazëror	joy	0.516
pride	krenari	joy	0.516
strengthening	forcim	joy	0.516
aspire	aspiroj	joy	0.516
abundant	bollshme	joy	0.516
noschool	NO TRANSLATION	joy	0.516
resplendent	i shkëlqyeshëm	joy	0.516
almighty	i plotfuqishëm	joy	0.516
fancy	i zbukuruar	joy	0.516
zen	zen	joy	0.515
coronation	kurorëzim	joy	0.515
kudos	famë	joy	0.515
vivid	i gjallë	joy	0.515
leisure	kohës së lirë	joy	0.515
complete	i plotë	joy	0.515
cutie	cutie	joy	0.515
newme	newme	joy	0.515
familytime	Koha e familjes	joy	0.515
animated	i gjallë	joy	0.515
spirit	shpirt	joy	0.515
thanking	Duke falënderuar	joy	0.515
kid	fëmijë	joy	0.515
shining	i ndritshëm	joy	0.515
payday	payday	joy	0.515
princely	princëror	joy	0.515
reunited	ribashkuar	joy	0.515
therapeutic	terapeutik	joy	0.515
comfort	rehati	joy	0.515
godly	besimtar	joy	0.514
marriage	martesë	joy	0.514
daymade	NO TRANSLATION	joy	0.514
relationship	marrëdhënie	joy	0.514
spouse	bashkëshort	joy	0.507
intimately	ngushtë	joy	0.507
accomplish	kryej	joy	0.500
excel	shquhem	joy	0.500
inviting	tërheqës	joy	0.500
meritorious	i merituar	joy	0.500
diamond	diamant	joy	0.500
nature	natyrë	joy	0.500
dignity	dinjitet	joy	0.500
family	familje	joy	0.500
soulful	shpirtëror	joy	0.500
charitable	bamirës	joy	0.500
encourage	inkurajoj	joy	0.500
friends	miq	joy	0.500
satisfied	i kënaqur	joy	0.500
welcoming	mirëpritur	joy	0.500
healthy	i shëndetshëm	joy	0.500
surreal	surreal	joy	0.500
refreshed	refreshed	joy	0.500
beach	plazh	joy	0.500
motherhood	amësi	joy	0.500
respect	respekt	joy	0.500
gem	perlë	joy	0.500
erotic	erotik	joy	0.500
visionary	largpamës	joy	0.500
holyspirit	NO TRANSLATION	joy	0.500
achieved	arritur	joy	0.500
christ	Krishti	joy	0.500
memorable	i paharrueshëm	joy	0.500
stressrelief	NO TRANSLATION	joy	0.500
baby	bebe	joy	0.500
purr	kerrmëz	joy	0.500
teamjesus	NO TRANSLATION	joy	0.500
veracity	saktësi	joy	0.500
bloom	lulëzim	joy	0.500
carefree	i lumtur	joy	0.500
aura	atmosferë	joy	0.493
health	shëndetësor	joy	0.493
liberty	liri	joy	0.486
approved	i miratuar	joy	0.486
yehey	NO TRANSLATION	joy	0.486
oasis	oazë	joy	0.486
rapture	ngazëllim	joy	0.485
engaging	tërheqës	joy	0.485
crowning	në formë kurore	joy	0.485
aspiration	aspiratë	joy	0.485
prestige	prestigj	joy	0.485
crescendo	kulm	joy	0.485
gentle	i butë	joy	0.485
liberate	çliroj	joy	0.485
betrothed	fejuar	joy	0.485
nocomplaints	NO TRANSLATION	joy	0.485
bounty	bujari	joy	0.485
privileged	privilegjuar	joy	0.485
loyal	besnik	joy	0.485
inseparable	i pandashëm	joy	0.485
datenight	NO TRANSLATION	joy	0.484
heyday	kulm	joy	0.484
trophy	trofe	joy	0.484
selfworth	NO TRANSLATION	joy	0.484
luck	fat	joy	0.484
creativity	Kreativiteti	joy	0.484
destiny	fat	joy	0.484
fete	NO TRANSLATION	joy	0.484
transcendence	përsosuri	joy	0.484
bouquet	tufë lulesh	joy	0.484
chocolate	cokollate	joy	0.484
aloha	aloha	joy	0.484
yummy	i shijshëm	joy	0.484
dream	ëndërr	joy	0.484
desire	dëshirë	joy	0.484
boyfriend	mik	joy	0.480
commemoration	përkujtim	joy	0.479
intelligence	zbulim	joy	0.477
readiness	gatishmëri	joy	0.473
friend	mik	joy	0.471
enthusiast	entuziast	joy	0.471
bride	nuse	joy	0.471
lush	i shëndetshëm	joy	0.470
calming	qetësues	joy	0.470
inheritance	trashëgim	joy	0.470
kiddo	Kiddo	joy	0.470
massage	masazh	joy	0.470
tickle	gudulis	joy	0.470
adventure	aventurë	joy	0.470
nostalgia	nostalgji	joy	0.470
soothe	zbut	joy	0.470
goals	qëllimet	joy	0.469
luster	famë	joy	0.469
giving	duke i dhënë	joy	0.469
princess	princeshë	joy	0.469
heartily	përzemërsisht	joy	0.469
benevolence	dashamirësi	joy	0.469
nurture	të ngrëna	joy	0.469
bridegroom	dhëndër	joy	0.469
eternal	i përjetshëm	joy	0.469
pray	lutem	joy	0.469
getaway	Largohu	joy	0.469
humanitarian	humanitar	joy	0.469
bonding	lidhjes	joy	0.469
rest	pushim	joy	0.469
amicable	miqësor	joy	0.469
purring	purring	joy	0.469
pretty	goxha	joy	0.469
child	fëmijë	joy	0.466
salutary	i dobishëm	joy	0.465
invite	ftoj	joy	0.457
reminiscing	reminiscing	joy	0.456
beam	rreze	joy	0.456
freshair	NO TRANSLATION	joy	0.455
tropical	tropikal	joy	0.455
aesthetics	estetikë	joy	0.455
friday	e premte	joy	0.455
elevation	lartësi	joy	0.455
sonice	NO TRANSLATION	joy	0.455
ceremony	ceremoni	joy	0.455
mindfulness	Mindfulness	joy	0.455
hee	hee	joy	0.455
kindred	farefisi	joy	0.455
scholarship	bursë	joy	0.455
befriend	ndihmoj	joy	0.455
commemorate	përkujtuar	joy	0.453
allure	joshë	joy	0.453
faith	besim	joy	0.453
forgiveness	falje	joy	0.453
scenery	peizazh	joy	0.453
vindication	përligjje	joy	0.453
waterfall	ujëvarë	joy	0.453
birth	lindje	joy	0.453
noworries	mos u shqeteso	joy	0.453
approve	miratoj	joy	0.453
namaste	NO TRANSLATION	joy	0.453
journey	udhëtim	joy	0.447
meditation	përsiatje	joy	0.446
relaxed	relaksuar	joy	0.442
tranquil	i qetë	joy	0.441
weekend	fundjavë	joy	0.441
present	i pranishëm	joy	0.441
tender	i butë	joy	0.441
nostalgic	nostalgjik	joy	0.439
prayer	lutje	joy	0.439
sharing	ndarjen	joy	0.439
esteem	nderim	joy	0.439
lyrical	lirik	joy	0.439
righteousness	drejtësi	joy	0.439
share	pjesë	joy	0.438
husband	burri	joy	0.438
life	jetë	joy	0.438
sonnet	sonet	joy	0.438
relief	lehtësim	joy	0.438
unbeaten	i parrahur	joy	0.438
newday	ditë e re	joy	0.438
meditate	meditoj	joy	0.438
mighty	i fuqishëm	joy	0.438
eager	i etur	joy	0.438
strength	forcë	joy	0.438
warm	i ngrohtë	joy	0.429
movingforward	NO TRANSLATION	joy	0.429
winterbreak	NO TRANSLATION	joy	0.429
buddy	mik	joy	0.427
oneness	unitet	joy	0.426
unsurpassed	i patejkalueshëm	joy	0.424
ejaculation	derdhje	joy	0.424
unconstrained	i pafrenuar	joy	0.424
thelittlethings	NO TRANSLATION	joy	0.424
medal	medalje	joy	0.424
amen	amin	joy	0.424
candlelight	dritë qiriu	joy	0.424
reverence	nderim	joy	0.424
healthful	i shëndetshëm	joy	0.424
carols	carols	joy	0.424
sledding	udhëtim me sajë	joy	0.422
wealth	pasuri	joy	0.422
graduation	diplomim	joy	0.422
frisky	i gjallë	joy	0.422
energy	energji	joy	0.422
calmness	gjakftohtësi	joy	0.422
beginnings	fillimet	joy	0.422
safe	i sigurt	joy	0.422
musical	muzikor	joy	0.422
symphony	simfoni	joy	0.422
lml	LML	joy	0.422
glitter	shkëlqim	joy	0.422
ease	lehtësi	joy	0.422
helpful	i dobishëm	joy	0.422
soundness	saktësi	joy	0.421
nostress	NO TRANSLATION	joy	0.421
promise	premtim	joy	0.415
reunite	ribashkoj	joy	0.414
salvation	shpëtim	joy	0.412
mother	nënë	joy	0.412
poems	poezi	joy	0.412
inauguration	inaugurim	joy	0.409
immaculate	i papërlyer	joy	0.409
lighten	ndriçohet	joy	0.409
aromatherapy	Aromatherapy	joy	0.409
travel	Udhëtim	joy	0.409
lavender	livando	joy	0.409
purify	të pastrojë	joy	0.409
clown	gaztor	joy	0.409
star	yll	joy	0.406
cash	para	joy	0.406
heal	shërohet	joy	0.406
completing	kompletimin	joy	0.406
companion	shoqërues	joy	0.406
live	jetoj	joy	0.406
flowers	lule	joy	0.406
wishing	dëshirojnë	joy	0.406
charity	bamirësi	joy	0.406
opportune	i përshtatshëm	joy	0.406
income	të ardhura	joy	0.403
soul	shpirt	joy	0.401
munchies	Munchies	joy	0.400
indescribable	i papërshkrueshëm	joy	0.397
progress	progres	joy	0.397
emancipation	emancipim	joy	0.397
christian	i krishterë	joy	0.397
hammock	hamak	joy	0.394
together	së bashku	joy	0.394
equality	barazi	joy	0.394
fullness	plotësi	joy	0.394
picnic	piknik	joy	0.394
calm	i qetë	joy	0.394
childhood	fëmijëri	joy	0.394
rhythmical	ritmike	joy	0.394
movies	kinema	joy	0.393
zealous	i zellshëm	joy	0.393
littlethings	gjera te vogla	joy	0.391
humanity	njerëzim	joy	0.391
starry	xixëllues	joy	0.391
playground	shesh lojërash	joy	0.391
adventures	aventurat	joy	0.391
meaningful	kuptimplotë	joy	0.391
choir	kor	joy	0.391
affluence	begati	joy	0.391
warms	warms	joy	0.391
goofy	budalla	joy	0.391
auspicious	i mbarë	joy	0.391
gesture	gjest	joy	0.387
vow	zotim	joy	0.382
shopping	pazar	joy	0.382
witty	e mprehtë	joy	0.382
communion	bashkësi	joy	0.379
vibes	ndjenjë	joy	0.379
worship	adhurim	joy	0.379
jump	kërcim	joy	0.379
reverend	Reverend	joy	0.377
advance	avancoj	joy	0.375
beaches	plazhet	joy	0.375
youth	të rinjtë	joy	0.375
spirits	alkoolike	joy	0.375
simplicity	thjeshtësi	joy	0.375
full	i plotë	joy	0.375
rising	në rritje	joy	0.375
hymn	himn	joy	0.375
unique	unik	joy	0.375
redeemed	shpenguar	joy	0.375
scenic	skenik	joy	0.375
mirth	gëzim	joy	0.375
courtship	të ardhurit rrotull	joy	0.375
experience	përvojë	joy	0.375
reunion	bashkim	joy	0.375
sonorous	kumbues	joy	0.375
unforgettable	i paharrueshëm	joy	0.375
baptismal	që i përket pagëzimit	joy	0.368
alliance	aleancë	joy	0.368
grant	japë	joy	0.366
conciliation	pajtim	joy	0.364
moonlight	dritë hëne	joy	0.364
sanctification	shenjtërim	joy	0.364
improves	përmirëson	joy	0.364
improve	përmirësoj	joy	0.364
pure	i pastër	joy	0.364
authentic	i vërtetë	joy	0.364
kitten	kotele	joy	0.364
weightloss	NO TRANSLATION	joy	0.362
raspberries	mjedër	joy	0.360
jest	NO TRANSLATION	joy	0.359
fidelity	besnikëri	joy	0.359
feeling	ndjenje	joy	0.359
devotional	i devotshëm	joy	0.359
proficiency	aftësi	joy	0.359
tinsel	xhingël	joy	0.359
revival	ringjallje	joy	0.359
sanctify	shenjtëroj	joy	0.359
listenting	NO TRANSLATION	joy	0.359
independent	i pavarur	joy	0.359
cocoa	kakao	joy	0.353
giver	NO TRANSLATION	joy	0.353
dolphin	delfin	joy	0.348
choral	koral	joy	0.348
