word	Malagasy-mg	emotion	emotion-intensity-score
foreboding	velon-tebiteby	fear	0.516
relapse	lavo indray	fear	0.516
robber	jiolahy	fear	0.516
biopsy	biopsy	fear	0.516
emaciated	Nahia	fear	0.516
incite	mandrisika	fear	0.516
troublesome	manahirana	fear	0.516
busted	busted	fear	0.516
darkness	haizina	fear	0.516
insidious	mampidi-doza	fear	0.516
plight	manjo	fear	0.516
exacerbation	exacerbation	fear	0.516
revulsion	tsy tiako maizina àry	fear	0.516
badfeeling	NO TRANSLATION	fear	0.516
conspirator	conspirator	fear	0.516
depression	fahaketrahana	fear	0.508
confinement	monina	fear	0.507
downfall	faharavan'i	fear	0.500
alcoholism	fisotroan-toaka	fear	0.500
towering	mijoalajoala	fear	0.500
blob	blob	fear	0.500
eeeek	NO TRANSLATION	fear	0.500
instability	fikorontanana	fear	0.500
prohibited	voarara	fear	0.500
brute	tsy manan-tsaina	fear	0.500
suppress	hanafoanana	fear	0.500
infarct	infarct	fear	0.500
snowmageddon	snowmageddon	fear	0.500
hunting	mihaza	fear	0.500
wasp	fanenitra	fear	0.500
cliff	hantsam-bato	fear	0.500
frenetic	frenetic	fear	0.500
squeamish	squeamish	fear	0.500
mistrust	tsy fifampitokisana	fear	0.500
raving	raving	fear	0.500
premeditated	nomaniny mialoha ilay	fear	0.500
intolerant	fandeferana	fear	0.500
subvert	famadihana	fear	0.500
illegal	tsy ara-dalàna	fear	0.500
scalpel	scalpel	fear	0.500
vertigo	Fanina	fear	0.500
madden	Madden	fear	0.500
odious	nampangidy hoditra	fear	0.500
ruined	simba	fear	0.500
constraint	-tery	fear	0.500
suppression	fanafoanana	fear	0.500
defiance	fihantsiana	fear	0.500
prayforme	prayforme	fear	0.500
surrender	fileferana	fear	0.500
sinful	mpanota	fear	0.500
woe	loza	fear	0.491
perjury	vavolombelona mandainga	fear	0.484
worse	ratsy	fear	0.484
syringe	syringe	fear	0.484
canthandleit	NO TRANSLATION	fear	0.484
defamation	ny fanalam-baraka	fear	0.484
cutting	fanapahana	fear	0.484
warrior	mpiady	fear	0.484
restriction	fameperana	fear	0.484
indefensible	tsy azo arovana	fear	0.484
palpitations	palpitations	fear	0.484
retard	hahavaha	fear	0.484
lash	karavasy	fear	0.484
flinch	tafintohina	fear	0.484
lion	liona	fear	0.484
ravine	dohasaha	fear	0.484
cracked	vaky	fear	0.484
shiver	Nangorintsina	fear	0.484
insecurity	tsy fandriampahalemana	fear	0.484
rat	voalavo	fear	0.484
ohno	Ohno	fear	0.484
fiend	fiend	fear	0.484
jumpy	jumpy	fear	0.484
hallucination	hallucination	fear	0.484
poaching	fihazana	fear	0.484
dishonor	fahafaham-baraka	fear	0.484
dismay	fampitahorana	fear	0.484
accusing	niampanga	fear	0.484
ambulance	fiara mpitondra marary	fear	0.484
sonervous	NO TRANSLATION	fear	0.484
divorce	fisaraham-panambadiana	fear	0.484
ravenous	mpihaza	fear	0.484
disgusting	maharikoriko	fear	0.484
rabble	Misy androvolahy	fear	0.484
slam	Slam	fear	0.484
hospital	hopitaly	fear	0.484
coerce	manery	fear	0.484
endemic	tsy fahita hatraiza hatraiza	fear	0.484
prejudiced	manavakavaka	fear	0.484
blackness	fahamaintisan'ny	fear	0.484
armor	fiadiana	fear	0.484
worrying	mampiahiahy	fear	0.484
indictment	fiampangana	fear	0.484
hate	mankahala	fear	0.484
freakish	freakish	fear	0.484
hearse	hearse	fear	0.484
intrusion	fitsabahana	fear	0.484
inspection	fanaraha-maso	fear	0.483
sinner	mpanota	fear	0.483
averse	nisalasala	fear	0.483
missing	tsy hita	fear	0.474
despairing	kivy	fear	0.474
darken	mirehitra	fear	0.471
austere	mila voatsiary	fear	0.470
animosity	fankahalana	fear	0.469
fret	tezitra	fear	0.469
fever	tazo	fear	0.469
illegality	dalàna	fear	0.469
accused	voampanga	fear	0.469
criticize	manakiana	fear	0.469
scrapie	scrapie	fear	0.469
jaws	valanorano	fear	0.469
depressed	ketraka	fear	0.469
armored	mifono vy	fear	0.469
indict	miampanga	fear	0.469
aftermath	taorian'ilay	fear	0.469
precipice	hantsana	fear	0.469
regime	fitondrana	fear	0.469
fierce	masiaka	fear	0.469
breakdown	mitanondrika	fear	0.469
quiver	tsipìkany	fear	0.469
admonition	torohevitra	fear	0.469
foreclose	foreclose	fear	0.469
revoke	manafoana	fear	0.469
superstition	finoanoam-poana	fear	0.469
overwhelmed	be	fear	0.469
subversion	mitady hanongam-panjakana	fear	0.469
idolatry	fanompoan-tsampy	fear	0.469
asteroid	asteroid	fear	0.469
toothache	areti-nify	fear	0.469
inmate	voafonja	fear	0.469
decomposition	lo	fear	0.469
sinking	hilentika	fear	0.469
intrusive	intrusive	fear	0.469
soulless	soulless	fear	0.469
infidelity	fanitsakitsaham-bady	fear	0.469
nervous	natahotra	fear	0.469
thresh	miveleza	fear	0.469
startle	hanaitra	fear	0.469
unhealthy	fahasalamana	fear	0.469
spear	lefona	fear	0.468
nasty	ratsy	fear	0.466
worried	manahy	fear	0.466
puma	Puma	fear	0.465
thirteenth	fahatelo ambin'ny folo	fear	0.465
contraband	Contraband	fear	0.464
insecure	hatoky tena	fear	0.461
disturbance	korontana	fear	0.459
denunciation	fanamelohana	fear	0.456
stigma	henatra	fear	0.455
destitute	mahantra	fear	0.455
powerfully	kery	fear	0.454
penalty	sazy	fear	0.453
derogatory	fanambaniana	fear	0.453
spasm	spasm	fear	0.453
illicit	tsy ara-dalàna	fear	0.453
dinosaur	dinôzôro	fear	0.453
disruption	fikorontanana	fear	0.453
lockup	manidy	fear	0.453
restrain	mifehy	fear	0.453
rifle	basy	fear	0.453
disreputable	tsy mendri-pitokisana	fear	0.453
omgomgomg	NO TRANSLATION	fear	0.453
ohgod	NO TRANSLATION	fear	0.453
warn	mampitandrina	fear	0.453
quandary	quandary	fear	0.453
resisting	manohitra	fear	0.453
rigor	fatratra	fear	0.453
stranger	vahiny	fear	0.453
penal	penal	fear	0.453
grope	Mitsapatsapa manara	fear	0.453
scold	nibedy	fear	0.453
orphan	kamboty	fear	0.453
resign	hametra-pialana	fear	0.453
hydrocephalus	hydrocephalus	fear	0.453
shrill	shrill	fear	0.453
howl	midradradradrà	fear	0.453
unspeakable	tsy hay lazaina	fear	0.453
wail	midradradradrà	fear	0.453
straits	-pahoriana	fear	0.453
indoctrination	indoctrination	fear	0.453
apprehension	ahiahy	fear	0.453
batter	Mamono	fear	0.453
arraignment	arraignment	fear	0.450
urgent	maika	fear	0.450
tramp	Tramp	fear	0.440
stress	stress	fear	0.439
behemoth	behemota	fear	0.439
dominate	hanapaka	fear	0.438
targeting	lasibatra	fear	0.438
broke	namaky	fear	0.438
looming	mananontanona	fear	0.438
tribunal	fitsarana	fear	0.438
debacle	debacle	fear	0.438
forfeiture	déchéance	fear	0.438
dislocated	dislocated	fear	0.438
infirmity	fahalemena	fear	0.438
impermeable	tsy len-drano	fear	0.438
predicament	sarotra	fear	0.438
falter	nihozongozona	fear	0.438
displaced	nafindra	fear	0.438
concealed	miafina	fear	0.438
illegitimate	tsy ara-dalàna	fear	0.438
unprepared	tsy mbola vonona	fear	0.438
scarcity	fahampian	fear	0.438
wince	wince	fear	0.438
mace	Mace	fear	0.438
expel	handroaka	fear	0.438
aghhh	NO TRANSLATION	fear	0.438
obstruct	vato misakana	fear	0.438
coldsweat	NO TRANSLATION	fear	0.438
stripped	nesoriny ny akanjony	fear	0.438
dentists	mpitsabo nify	fear	0.438
irreconcilable	irreconcilable	fear	0.438
bewildered	very hevitra	fear	0.438
indomitable	tsy manaiky lembenana	fear	0.438
rheumatism	rheumatism	fear	0.438
accidental	nahy	fear	0.438
prick	mampahory koa	fear	0.438
entangled	Azon'ny tamberintany	fear	0.438
atrophy	atrophy	fear	0.438
asp	vipera	fear	0.438
perverse	efa nivadika	fear	0.438
cabal	cabal	fear	0.438
yell	mivazavaza	fear	0.438
gasping	gasping	fear	0.438
probation	fisedrana	fear	0.438
accuser	mpiampanga	fear	0.438
insulting	fanompana	fear	0.435
mysterious	zava-miafina	fear	0.435
halting	nampiato	fear	0.435
rebels	mpikomy	fear	0.435
repulsion	hankaloiloy	fear	0.431
glare	Mamirapiratra mankarary maso	fear	0.430
punitive	hanasazy	fear	0.425
sordid	maloto	fear	0.425
stake	tsatòka	fear	0.423
tempest	tafio-drivotra	fear	0.423
ultimatum	safidy	fear	0.422
reticent	hety	fear	0.422
bayonet	bayonet	fear	0.422
depresson	NO TRANSLATION	fear	0.422
suspension	fampiatoana	fear	0.422
lament	mitomania	fear	0.422
burdensome	enta-mavesatra	fear	0.422
bier	NO TRANSLATION	fear	0.422
thumping	thumping	fear	0.422
coyote	coyote	fear	0.422
deleterious	zarizary	fear	0.422
dissident	mpanohitra	fear	0.422
varicella	Nendram-	fear	0.422
wilderness	tany efitra	fear	0.422
delusion	zava-poana	fear	0.422
bigot	bigot	fear	0.422
unsteady	miovaova	fear	0.422
stresses	fahorian-tsaina	fear	0.422
offense	Fandikan-dalàna	fear	0.422
heathen	jentilisa	fear	0.422
prowl	Mihaza	fear	0.422
troll	Troll	fear	0.422
infamous	nalaza ratsy	fear	0.422
disappear	manjavona	fear	0.422
depress	depress	fear	0.422
publicspeaking	NO TRANSLATION	fear	0.422
unnatural	voajanahary	fear	0.422
usurped	nandrombaka	fear	0.422
steal	hangalatra	fear	0.422
anathema	voaozona	fear	0.422
fainting	torana	fear	0.422
alien	vahiny	fear	0.422
extrajudicial	extrajudicial	fear	0.422
stressin	NO TRANSLATION	fear	0.422
hydra	hydra	fear	0.422
adversity	fahoriana	fear	0.418
ineptitude	ineptitude	fear	0.417
outsider	vahiny	fear	0.413
ugliness	haratsian'ny	fear	0.410
vulture	vaotoro	fear	0.410
immoral	fitondran-tena maloto	fear	0.410
scar	fahamaimaizana	fear	0.406
stressful	saina	fear	0.406
screech	mandehandeha amin'ny alina	fear	0.406
wary	Mitandrema	fear	0.406
disgust	rikoriko	fear	0.406
stressing	nanindry mafy	fear	0.406
deport	sesitany	fear	0.406
nausea	maloiloy	fear	0.406
resection	resection	fear	0.406
blackout	fampanginana	fear	0.406
disallowed	nandrara	fear	0.406
insolvent	insolvent	fear	0.406
dismissal	fandroahana	fear	0.406
omnipotence	maha-Mahefa ny	fear	0.406
possession	fananany	fear	0.406
tearful	nitomany	fear	0.406
disorder	fikorontanana	fear	0.406
squall	squall	fear	0.406
dominant	manjaka	fear	0.406
disabled	sembana	fear	0.406
drones	drôna	fear	0.406
recklessness	tsy miraika	fear	0.406
escape	afa-mandositra	fear	0.406
distressed	ory	fear	0.406
claw	claw	fear	0.406
stretcher	filanjana	fear	0.406
ohdear	NO TRANSLATION	fear	0.406
penance	Fivalozana	fear	0.406
weakly	natahotra	fear	0.406
rubble	bato	fear	0.406
whimper	whimper	fear	0.406
ghetto	faritanàna voatokana ho	fear	0.406
socialism	sosialisma	fear	0.405
conspiracy	niray tetika	fear	0.400
toughness	diso mikasika ny Fahasarotana	fear	0.400
defection	nivadihan'ireo	fear	0.398
absence	tsy fisian'ny	fear	0.396
moan	Mitaraina	fear	0.394
crusade	Kroazada	fear	0.392
radon	radon	fear	0.391
lose	very	fear	0.391
exigent	NO TRANSLATION	fear	0.391
dubious	mampiahiahy	fear	0.391
unemployed	tsy an'asa	fear	0.391
reject	mandà	fear	0.391
excitation	excitation	fear	0.391
xanax	xanax	fear	0.391
stifled	tafita	fear	0.391
scarecrow	scarecrow	fear	0.391
concealment	fanafenana	fear	0.391
conquer	mandresy	fear	0.391
discrimination	fanavakavahana	fear	0.391
diagnosis	aretina	fear	0.391
whatdoido	NO TRANSLATION	fear	0.391
snare	fandrika	fear	0.391
separation	fisarahana	fear	0.391
overt	miharihary	fear	0.391
urgency	maika	fear	0.391
musket	musket	fear	0.391
unrest	korontana	fear	0.391
descent	taranaka	fear	0.391
avoiding	fialana	fear	0.391
cyst	kista	fear	0.391
gulp	gulp	fear	0.391
procedure	fitsarana	fear	0.391
submission	manaiky	fear	0.391
hardened	mafy fo	fear	0.391
refutation	refutation	fear	0.391
repellent	ody	fear	0.391
cleave	hifikitra	fear	0.391
suspicion	ahiahy	fear	0.391
poverty	fahantrana	fear	0.391
nervy	NO TRANSLATION	fear	0.391
insolvency	insolvency	fear	0.391
mental	ara-tsaina	fear	0.391
theocratic	teokratika	fear	0.391
spaz	spaz	fear	0.391
brimstone	solifara	fear	0.391
throb	throb	fear	0.388
outcast	noroahina	fear	0.388
orc	orc	fear	0.388
disapprove	mitsipaka	fear	0.380
dontpanic	dontpanic	fear	0.378
plea	fangatahana	fear	0.377
withdrawals	withdrawals	fear	0.377
pressure	tsindry	fear	0.375
grieve	malahelo	fear	0.375
frigate	frigate	fear	0.375
kerosene	solitany	fear	0.375
nauseous	nauseous	fear	0.375
khan	Khan	fear	0.375
expose	hampiharihary	fear	0.375
ocd	ocd	fear	0.375
sneaking	-tsokosoko	fear	0.375
embarrassment	menatra	fear	0.375
bankrupt	bankirompitra	fear	0.375
dissolution	faharavan'ny	fear	0.375
dentistry	Dentistry	fear	0.375
edict	didy	fear	0.375
bunker	efitra ambanin'ny tany	fear	0.375
antsy	antsy,	fear	0.375
chasm	hantsana	fear	0.375
escaped	afa-nandositra	fear	0.375
whirlpool	whirlpool	fear	0.375
interrogate	am-bavany	fear	0.375
psychological	ara-tsaina	fear	0.375
obligor	obligor	fear	0.375
misconception	hevi-diso	fear	0.375
military	miaramila	fear	0.375
suspected	ahiana	fear	0.375
locust	valala	fear	0.375
mentalhealth	NO TRANSLATION	fear	0.375
bad	ratsy	fear	0.375
coldness	coldness	fear	0.375
taunt	fanesoana	fear	0.375
obi	Obi	fear	0.375
flu	gripa	fear	0.375
barricade	barricade	fear	0.375
chimera	chimera	fear	0.375
sultan	Sultan	fear	0.375
repellant	repellant	fear	0.373
unknown	tsy fantatra	fear	0.369
pare	NO TRANSLATION	fear	0.367
jealousy	fahasaro-piaro	fear	0.365
mug	mug	fear	0.359
consternation	consternation	fear	0.359
rebel	mpikomy	fear	0.359
conquest	handresy	fear	0.359
mournful	fisaonana	fear	0.359
concerned	voakasik'izany	fear	0.359
mandamus	mandamus	fear	0.359
onedge	onedge	fear	0.359
recurring	miverimberina	fear	0.359
jaundice	jaundice	fear	0.359
sectarian	sekta	fear	0.359
desert	efitra	fear	0.359
cur	ank	fear	0.359
difficult	sarotra	fear	0.359
stint	fandalovany	fear	0.359
sortie	NO TRANSLATION	fear	0.359
dart	amin'izato lokony	fear	0.359
spike	lalamby	fear	0.359
timid	saro-kenatra	fear	0.359
wasting	mandany	fear	0.359
bottomless	tsy hita noanoa	fear	0.359
warned	Nampitandrina	fear	0.359
protestant	Protestanta	fear	0.359
contempt	fanamavoana	fear	0.359
exam	fanadinana	fear	0.359
depreciation	fihenan-danjan'ny	fear	0.359
anomaly	Anomaly	fear	0.359
rejects	mandà	fear	0.359
pessimism	tena tafahoatra	fear	0.359
revolution	revolisiona	fear	0.359
formidable	goavana	fear	0.359
burke	Burke	fear	0.359
cautionary	fampitandremana	fear	0.359
headaches	aretin'andoha	fear	0.359
bankruptcy	Tsy niraharaha	fear	0.359
government	fitondram-panjakana	fear	0.359
measles	kitrotro	fear	0.359
languishing	Nijaly	fear	0.358
constrain	no manery	fear	0.358
bane	zava-doza	fear	0.356
impeach	impeach	fear	0.354
warden	mpiambina	fear	0.354
adverse	voka	fear	0.352
lawyer	mpisolo vava	fear	0.349
libel	fanalam-baraka	fear	0.348
retrenchment	retrenchment	fear	0.345
imminent	antomotra	fear	0.345
unjustifiable	unjustifiable	fear	0.344
knell	knell	fear	0.344
contentious	tia ady	fear	0.344
opposed	manohitra	fear	0.344
shame	mahamenatra	fear	0.344
avoidance	fisorohana	fear	0.344
resistant	mahatohitra	fear	0.344
discipline	famaizana	fear	0.344
defy	mihantsy	fear	0.344
belittle	tsinontsinona	fear	0.344
fanaticism	tafahoatra	fear	0.344
bearish	bearish	fear	0.344
opium	ôpiôma	fear	0.344
sorrow	ny alahelo	fear	0.344
mri	mri	fear	0.344
shaky	mihozongozona	fear	0.344
hiss	Misitrisitra	fear	0.344
loneliness	fahatsapana ho irery	fear	0.344
swerve	ihemorana	fear	0.344
taboo	fady	fear	0.344
reckless	Sahisahy ratsy	fear	0.344
obstacle	vato misakana	fear	0.344
launches	ny famoahana	fear	0.344
aaaaaaah	aaaaaaah	fear	0.344
verdict	didim-pitsarana	fear	0.344
servile	manandevo	fear	0.344
hesitation	fisalasalana	fear	0.344
evade	hanarahana ny diany	fear	0.344
recession	ara-toekarena	fear	0.344
eel	amalona	fear	0.344
shortage	tsy fahampian'ny	fear	0.344
pest	Pest	fear	0.344
cutter	cutter	fear	0.344
psych	psych	fear	0.344
parachute	elon'aina	fear	0.344
disrespectful	fanajana	fear	0.343
phalanx	phalanx	fear	0.342
creature	zavaboary	fear	0.340
mortgage	antoka	fear	0.331
specter	specter	fear	0.331
enigmatic	enigmatic	fear	0.329
caution	fampitandremana	fear	0.328
police	polisy	fear	0.328
shank	shank	fear	0.328
undesirable	faniry	fear	0.328
shutdown	hidio	fear	0.328
dike	dike	fear	0.328
subordinate	ambany	fear	0.328
gametime	gametime	fear	0.328
remove	esory	fear	0.328
smut	smut	fear	0.328
spillin	NO TRANSLATION	fear	0.328
mishap	mishap	fear	0.328
loom	toa olana	fear	0.328
supremacy	fara tampony	fear	0.328
unlucky	ratsy vintana	fear	0.328
quash	quash	fear	0.328
hives	tranon-tantely	fear	0.328
wimp	wimp	fear	0.328
gladiator	gladiator	fear	0.328
feeling	fihetseham-po	fear	0.328
dominion	fanapahana	fear	0.328
encumbrance	encumbrance	fear	0.328
adrift	adrift	fear	0.328
defendant	voampanga	fear	0.328
outpost	toby	fear	0.328
uhoh	NO TRANSLATION	fear	0.328
senseless	tsy misy antony	fear	0.328
wrongly	diso	fear	0.328
bugaboo	bugaboo	fear	0.328
weirdo	weirdo	fear	0.328
ethereal	Modèle	fear	0.328
scarce	zara raha	fear	0.327
unsettled	mitebiteby	fear	0.327
antisocial	tia miray hina	fear	0.324
astray	lalan-diso	fear	0.320
vigilant	mailo	fear	0.319
socialist	sosialista	fear	0.318
halter	tadin	fear	0.318
pessimist	pessimist	fear	0.317
pacing	pacing	fear	0.316
opponent	mpanohitra	fear	0.312
discontinuity	discontinuity	fear	0.312
conspire	tetika	fear	0.312
trickery	fitaka	fear	0.312
obsessing	obsessing	fear	0.312
seclusion	miantso ny	fear	0.312
whirlwind	tafio-drivotra	fear	0.312
unexpected	tsy nampoizina	fear	0.312
ahhhhhhhh	NO TRANSLATION	fear	0.312
cram	nifanizina	fear	0.312
collusion	tsikombakomba	fear	0.312
muzzle	fehim	fear	0.312
blight	mampikorontana	fear	0.312
foreigner	vahiny	fear	0.312
chargeable	dia nahavaky tratra	fear	0.312
laxative	laxative	fear	0.312
clinical	pitsaboana	fear	0.312
dentist	mpitsabo nify	fear	0.312
therapist	mpitsabo	fear	0.312
deadline	fe-potoana	fear	0.312
bewilderment	very hevitra	fear	0.312
litigate	litigate	fear	0.312
nether	ambany	fear	0.312
thorny	tsilo	fear	0.312
valium	valium	fear	0.312
powerful	mahery	fear	0.312
uneasy	mahazo aina	fear	0.312
unkind	ratsy fanahy	fear	0.312
ordnance	ordnance	fear	0.312
wimpy	wimpy	fear	0.312
overthinking	mieritreritra loatra	fear	0.309
doubts	ahiahy	fear	0.308
seriousness	zava-dehibe	fear	0.305
irrational	tsy mahay mandinika	fear	0.305
erase	hamafa	fear	0.303
teasing	ny hanihany	fear	0.303
razor	hareza	fear	0.303
sweating	tsemboka	fear	0.298
reluctant	Nisalasala	fear	0.297
mage	mage	fear	0.297
crouching	mamitsaka eo	fear	0.297
warning	fampitandremana	fear	0.297
endless	tsy misy farany	fear	0.297
adjudicate	adjudicate	fear	0.297
bale	Bale	fear	0.297
inflation	ny vidim-piainana	fear	0.297
giant	goavam-be	fear	0.297
auditor	auditor	fear	0.297
medical	fitsaboana	fear	0.297
swamp	swamp	fear	0.297
bitch	Bitch	fear	0.297
mislead	hamitaka	fear	0.297
weighty	mavesa-danja	fear	0.297
avoid	tsy	fear	0.297
depreciated	depreciated	fear	0.297
flounder	trondro FLET	fear	0.297
deflation	deflation	fear	0.297
unsurpassed	manan-tsahala	fear	0.297
dashed	Nirohotra	fear	0.297
hide	afeno	fear	0.297
timidity	henatra	fear	0.297
deluge	safo-drano	fear	0.287
disinformation	ny fandisoana vaovao	fear	0.286
court	fitsarana	fear	0.284
aversion	tsy fitiavany maizina	fear	0.283
hurryup	NO TRANSLATION	fear	0.281
unfriendly	ninamana	fear	0.281
remains	sisa tavela	fear	0.281
discourage	hahakivy	fear	0.281
cautious	malina	fear	0.281
oncoming	oncoming	fear	0.281
flying	manidina	fear	0.281
mistaken	diso	fear	0.281
swelling	mamontsina	fear	0.281
dwarfed	tsaina lavitra	fear	0.281
surveillance	fanaraha-maso	fear	0.281
apache	Apache	fear	0.281
rush	zozoro	fear	0.281
yelp	Yelp	fear	0.281
cartridge	cartridge	fear	0.281
fortress	fiarovana mafy	fear	0.281
bigoted	tery saina	fear	0.281
notready	tsy vonona	fear	0.281
challenge	fanamby	fear	0.281
submitting	manaiky	fear	0.281
wan	NO TRANSLATION	fear	0.281
confusion	fifanjevoana	fear	0.281
unruly	maditra	fear	0.281
intense	mafy	fear	0.279
noncompliance	noncompliance	fear	0.276
alerts	fanairana	fear	0.276
planes	fiaramanidina	fear	0.274
displeased	tezitra	fear	0.273
cop	polisy	fear	0.273
unbridled	voafehy	fear	0.271
regiment	rezimanta	fear	0.266
crowds	vahoaka	fear	0.266
sentence	didim-pitsarana	fear	0.266
blindfold	fanapena-maso	fear	0.266
crouch	Crouch	fear	0.266
belt	fehin-kibo	fear	0.266
hooded	nisaron-tava	fear	0.266
uncanny	mifono zava-miafina	fear	0.266
cupping	cupping	fear	0.266
sneak	nanakorontana mangingina	fear	0.266
cloak	lamba	fear	0.266
banger	banger	fear	0.266
affront	tafintohina	fear	0.266
confession	fiaiken-keloka	fear	0.266
blemish	misy kilema	fear	0.266
posse	posse	fear	0.266
auditions	auditions	fear	0.266
forgotten	nanadino	fear	0.266
immerse	hanitrika	fear	0.266
operation	hetsika	fear	0.266
elevation	isam-ponina	fear	0.266
shanghai	Shanghai	fear	0.266
hood	Hood	fear	0.266
problem	olana	fear	0.266
skid	skid	fear	0.266
insomnia	mahita tory	fear	0.266
newjob	NO TRANSLATION	fear	0.266
acrobat	Acrobat	fear	0.266
flurries	Rovo-mahery	fear	0.266
force	force	fear	0.266
spur	maimaika fotsiny	fear	0.262
defense	fiarovana	fear	0.258
mortgagor	mortgagor	fear	0.258
impatiently	NO TRANSLATION	fear	0.250
run	Run	fear	0.250
rascal	rascal	fear	0.250
standstill	standstill	fear	0.250
doubt	Azo antoka	fear	0.250
cataract	cataract	fear	0.250
repent	mibebaka	fear	0.250
unfamiliar	tsy mahazatra	fear	0.250
delusional	mirediredy	fear	0.250
obliging	manery ny	fear	0.250
hag	Hag	fear	0.250
defend	hiaro	fear	0.250
guard	mpiambina	fear	0.250
scapegoat	Azazela	fear	0.250
swampy	heniheny	fear	0.250
react	fihetsiky	fear	0.250
breakingnews	breakingnews	fear	0.250
foul	maloto	fear	0.250
spinster	spinster	fear	0.250
indifference	tsy firaharahiana	fear	0.250
sunk	nilentika	fear	0.250
picket	picket	fear	0.250
insect	bibikely	fear	0.250
rating	Rating	fear	0.250
forewarned	nampitandrina	fear	0.250
indecisive	misalasala	fear	0.250
stealthy	tselika	fear	0.250
jobinterview	NO TRANSLATION	fear	0.250
grounded	hiorina	fear	0.242
badhabit	NO TRANSLATION	fear	0.242
highest	ambony indrindra	fear	0.236
inequality	tsy fitoviana	fear	0.234
rekindle	mamelona indray	fear	0.234
shrink	hihemotra	fear	0.234
scaffold	scaffold	fear	0.234
discontent	tsy fahafaliana	fear	0.234
verge	saika	fear	0.234
psychiatrist	mpitsabo aretin-tsaina	fear	0.234
overdrive	overdrive	fear	0.234
thatmoment	NO TRANSLATION	fear	0.234
intercede	hifona	fear	0.234
pinion	pinion	fear	0.234
finalized	nomanina	fear	0.234
shelters	fialofana	fear	0.234
sleepless	natoriana	fear	0.234
dependence	fiankinan-doha	fear	0.234
chicken	akoho	fear	0.234
instinctive	voajanahary	fear	0.234
buzz	Buzz	fear	0.234
difficulty	fahasarotana	fear	0.234
bee	renitantely	fear	0.234
insomniac	reraka	fear	0.234
aaaah	NO TRANSLATION	fear	0.234
buck	Buck	fear	0.234
rushing	nihazakazaka	fear	0.233
overslept	overslept	fear	0.226
default	toerana misy anao	fear	0.226
confessional	confessional	fear	0.225
impatient	tsy manam-paharetana	fear	0.224
immigrant	mpifindra monina	fear	0.219
heft	heft	fear	0.219
sweat	hatsembohana	fear	0.219
waver	hihozongozona	fear	0.219
fingerscrossed	NO TRANSLATION	fear	0.219
stingy	kahihitra	fear	0.219
thrill	mampangitakitaka	fear	0.219
cane	fambolena fary	fear	0.219
aga	NO TRANSLATION	fear	0.219
whatif	ahoana raha	fear	0.219
tactics	tetikady	fear	0.219
veer	Veer	fear	0.219
unequal	mitovy	fear	0.219
lastminute	minitra farany	fear	0.219
jungle	ala	fear	0.219
bait	jono	fear	0.219
revelations	fanambarana	fear	0.219
blues	BLUES	fear	0.219
overtired	overtired	fear	0.218
prognosis	fizotrany	fear	0.217
alertness	mailo	fear	0.216
hyped	hyped	fear	0.214
somuchtodo	NO TRANSLATION	fear	0.212
toomuchtodo	NO TRANSLATION	fear	0.212
wishmeluck	wishmeluck	fear	0.212
tryouts	tryouts	fear	0.210
clowns	hatsikana	fear	0.207
fluctuation	fluctuation	fear	0.204
restless	misamboaravoara	fear	0.204
examination	fandinihana	fear	0.204
intimacy	firaisana ara-nofo	fear	0.203
phew	mifoka	fear	0.203
quail	papelika	fear	0.203
hurry	haingana	fear	0.203
uphill	manatrika ilay havoana	fear	0.203
mighty	mahery	fear	0.203
birth	teraka	fear	0.203
cross	hiampita	fear	0.203
help	Vonjeo	fear	0.203
overcome	handresy	fear	0.203
recesses	fanambanin'ny	fear	0.203
acceptances	acceptances	fear	0.203
fearless	natahotra	fear	0.200
ware	fantany	fear	0.198
change	fiovana	fear	0.198
withstand	hanohitra	fear	0.197
asap	faran'izay haingana indrindra	fear	0.191
owing	Noho	fear	0.188
gnome	GNOME	fear	0.188
cautiously	tamim-pitandremana	fear	0.188
tract	taratasy mivalona	fear	0.188
deadlines	fe-potoana	fear	0.188
heighten	mampitombo	fear	0.188
attorney	mpisolovava	fear	0.188
bug	bibikely	fear	0.188
knots	fatotra	fear	0.188
fragile	marefo	fear	0.188
rule	fitsipika	fear	0.188
advance	Mandroso	fear	0.188
intrigue	fiokoana	fear	0.188
overcoming	fandresena	fear	0.188
stillness	mangina	fear	0.188
waitinggame	NO TRANSLATION	fear	0.188
watch	mijery	fear	0.188
unorganised	unorganized	fear	0.188
elf	elf	fear	0.185
stillwaiting	NO TRANSLATION	fear	0.184
lonely	manirery	fear	0.183
slippery	malama	fear	0.181
interview	resadresaka	fear	0.180
everyman	Everyman	fear	0.178
speculation	tombantombana	fear	0.176
needtoknow	needtoknow	fear	0.173
assessment	fanombanana	fear	0.172
competition	fifaninanana	fear	0.172
settlor	settlor	fear	0.172
rod	tehina	fear	0.172
checkpoint	toeram-pisavana	fear	0.172
regulatory	fitsipika	fear	0.172
worship	fanompoam-pivavahana	fear	0.172
shell	akorandriaka	fear	0.172
readytogo	vonona handeha	fear	0.172
uncertain	tsy azo antoka	fear	0.172
unsure	antoka	fear	0.172
birch	Birch	fear	0.172
surprise	tsy nampoizina	fear	0.172
humanrights	NO TRANSLATION	fear	0.172
chaff	akofa	fear	0.172
composure	tony	fear	0.172
interviewer	mpanao gazety nametraka fanontaniana	fear	0.172
