word	Chinese (Simplified)-zh-CN	emotion	emotion-intensity-score
frenetic	狂热的	fear	0.500
squeamish	过于拘谨的	fear	0.500
mistrust	不信任	fear	0.500
raving	狂言	fear	0.500
premeditated	预谋的	fear	0.500
intolerant	不可忍耐	fear	0.500
subvert	颠覆	fear	0.500
illegal	非法	fear	0.500
scalpel	解剖刀	fear	0.500
vertigo	眩晕	fear	0.500
madden	发怒	fear	0.500
odious	可恶	fear	0.500
ruined	毁了	fear	0.500
constraint	约束	fear	0.500
suppression	抑制	fear	0.500
defiance	蔑视	fear	0.500
prayforme	为我祈祷	fear	0.500
surrender	投降	fear	0.500
sinful	有罪	fear	0.500
woe	荣辱与共	fear	0.491
perjury	伪证	fear	0.484
worse	更差	fear	0.484
syringe	注射器	fear	0.484
canthandleit	NO TRANSLATION	fear	0.484
defamation	诽谤	fear	0.484
cutting	切割	fear	0.484
warrior	战士	fear	0.484
restriction	限制	fear	0.484
indefensible	站不住脚的	fear	0.484
palpitations	心悸	fear	0.484
retard	减速	fear	0.484
lash	睫毛	fear	0.484
flinch	退缩	fear	0.484
lion	狮子	fear	0.484
ravine	山沟	fear	0.484
cracked	破解	fear	0.484
shiver	发抖	fear	0.484
insecurity	不安全	fear	0.484
rat	鼠	fear	0.484
ohno	不好了	fear	0.484
fiend	恶魔	fear	0.484
jumpy	神经过敏	fear	0.484
hallucination	幻觉	fear	0.484
poaching	偷猎	fear	0.484
dishonor	羞辱	fear	0.484
dismay	沮丧	fear	0.484
accusing	指责	fear	0.484
ambulance	救护车	fear	0.484
sonervous	NO TRANSLATION	fear	0.484
divorce	离婚	fear	0.484
ravenous	饿坏了的	fear	0.484
disgusting	讨厌	fear	0.484
rabble	乌合之众	fear	0.484
slam	猛撞	fear	0.484
hospital	醫院	fear	0.484
coerce	胁迫	fear	0.484
endemic	流行	fear	0.484
prejudiced	偏	fear	0.484
blackness	黑	fear	0.484
armor	盔甲	fear	0.484
worrying	令人担忧	fear	0.484
indictment	起诉书	fear	0.484
hate	讨厌	fear	0.484
freakish	滑稽可笑的	fear	0.484
hearse	柩车	fear	0.484
intrusion	侵扰	fear	0.484
inspection	检查	fear	0.483
sinner	罪人	fear	0.483
averse	规避	fear	0.483
missing	失踪	fear	0.474
despairing	绝望	fear	0.474
darken	变暗	fear	0.471
austere	简朴的	fear	0.470
animosity	敌意	fear	0.469
fret	烦恼	fear	0.469
fever	发热	fear	0.469
illegality	违法	fear	0.469
accused	被告	fear	0.469
criticize	批评	fear	0.469
scrapie	羊瘙痒病	fear	0.469
jaws	颚	fear	0.469
depressed	郁闷	fear	0.469
armored	装甲	fear	0.469
indict	起诉	fear	0.469
aftermath	后果	fear	0.469
precipice	悬崖	fear	0.469
regime	政权	fear	0.469
fierce	激烈	fear	0.469
breakdown	分解	fear	0.469
quiver	颤动	fear	0.469
admonition	警告	fear	0.469
foreclose	取消抵押品赎回权	fear	0.469
revoke	撤消	fear	0.469
superstition	迷信	fear	0.469
overwhelmed	不堪重负	fear	0.469
subversion	颠覆	fear	0.469
idolatry	偶像崇拜	fear	0.469
asteroid	小行星	fear	0.469
toothache	牙疼	fear	0.469
inmate	犯人	fear	0.469
decomposition	分解	fear	0.469
sinking	下沉	fear	0.469
intrusive	侵入	fear	0.469
soulless	没有灵魂	fear	0.469
infidelity	不忠	fear	0.469
nervous	紧张	fear	0.469
thresh	脱粒	fear	0.469
startle	惊吓	fear	0.469
unhealthy	不良	fear	0.469
spear	矛	fear	0.468
nasty	讨厌	fear	0.466
worried	担心	fear	0.466
puma	美洲狮	fear	0.465
thirteenth	第十三	fear	0.465
contraband	禁品	fear	0.464
insecure	不安全	fear	0.461
disturbance	骚乱	fear	0.459
denunciation	解约	fear	0.456
stigma	柱头	fear	0.455
destitute	贫困	fear	0.455
powerfully	有力	fear	0.454
penalty	罚款	fear	0.453
derogatory	贬	fear	0.453
spasm	痉挛	fear	0.453
illicit	非法的	fear	0.453
dinosaur	恐龙	fear	0.453
disruption	瓦解	fear	0.453
lockup	锁起来	fear	0.453
restrain	抑制	fear	0.453
rifle	步枪	fear	0.453
disreputable	不名誉	fear	0.453
omgomgomg	NO TRANSLATION	fear	0.453
ohgod	NO TRANSLATION	fear	0.453
warn	警告	fear	0.453
quandary	困惑	fear	0.453
resisting	抵制	fear	0.453
rigor	严格	fear	0.453
stranger	陌生人	fear	0.453
penal	刑事	fear	0.453
grope	摸索	fear	0.453
scold	骂	fear	0.453
orphan	孤儿	fear	0.453
resign	辞职	fear	0.453
hydrocephalus	脑积水	fear	0.453
shrill	尖锐	fear	0.453
howl	嗥	fear	0.453
unspeakable	无法形容	fear	0.453
wail	哀号	fear	0.453
straits	海峡	fear	0.453
indoctrination	灌输	fear	0.453
apprehension	顾虑	fear	0.453
batter	面糊	fear	0.453
arraignment	提审	fear	0.450
urgent	紧急	fear	0.450
tramp	流浪汉	fear	0.440
stress	强调	fear	0.439
behemoth	河马	fear	0.439
dominate	支配	fear	0.438
targeting	针对	fear	0.438
broke	打破	fear	0.438
looming	若隐若现	fear	0.438
tribunal	法庭	fear	0.438
debacle	崩溃	fear	0.438
forfeiture	没收	fear	0.438
dislocated	脱臼	fear	0.438
infirmity	癃	fear	0.438
impermeable	不透水	fear	0.438
predicament	困境	fear	0.438
falter	衰退	fear	0.438
displaced	流离失所	fear	0.438
concealed	暗	fear	0.438
illegitimate	非法的	fear	0.438
unprepared	措手不及	fear	0.438
scarcity	缺乏	fear	0.438
wince	WINCE	fear	0.438
mace	锤	fear	0.438
expel	驱逐	fear	0.438
aghhh	NO TRANSLATION	fear	0.438
obstruct	阻碍	fear	0.438
coldsweat	NO TRANSLATION	fear	0.438
stripped	剥离	fear	0.438
dentists	牙医	fear	0.438
irreconcilable	不可调和	fear	0.438
bewildered	不知所措	fear	0.438
indomitable	不屈不挠	fear	0.438
rheumatism	风湿症	fear	0.438
accidental	偶然	fear	0.438
prick	刺	fear	0.438
entangled	纠缠	fear	0.438
atrophy	痿	fear	0.438
asp	ASP	fear	0.438
perverse	悖	fear	0.438
cabal	阴谋	fear	0.438
yell	叫喊	fear	0.438
gasping	喘气	fear	0.438
probation	缓刑	fear	0.438
accuser	原告	fear	0.438
insulting	侮辱	fear	0.435
mysterious	神秘	fear	0.435
halting	暂停	fear	0.435
rebels	叛军	fear	0.435
repulsion	推斥	fear	0.431
glare	强光	fear	0.430
punitive	惩罚性	fear	0.425
sordid	污秽	fear	0.425
stake	赌注	fear	0.423
tempest	暴风雨	fear	0.423
ultimatum	最后通牒	fear	0.422
reticent	沉默的	fear	0.422
bayonet	刺刀	fear	0.422
depresson	NO TRANSLATION	fear	0.422
suspension	悬挂	fear	0.422
lament	哀叹	fear	0.422
burdensome	繁重	fear	0.422
bier	NO TRANSLATION	fear	0.422
thumping	怦	fear	0.422
coyote	郊狼	fear	0.422
deleterious	有害	fear	0.422
dissident	持不同政见	fear	0.422
varicella	水痘	fear	0.422
wilderness	荒野	fear	0.422
delusion	妄想	fear	0.422
bigot	独断论者	fear	0.422
unsteady	不稳定	fear	0.422
stresses	应力	fear	0.422
offense	罪行	fear	0.422
heathen	异教徒	fear	0.422
prowl	潜行	fear	0.422
troll	拖钓	fear	0.422
infamous	臭名昭著	fear	0.422
disappear	消失	fear	0.422
depress	压抑	fear	0.422
publicspeaking	NO TRANSLATION	fear	0.422
unnatural	不自然	fear	0.422
usurped	篡夺	fear	0.422
steal	偷	fear	0.422
anathema	诅咒	fear	0.422
fainting	昏晕	fear	0.422
alien	外侨	fear	0.422
extrajudicial	法外处决	fear	0.422
stressin	NO TRANSLATION	fear	0.422
hydra	水螅	fear	0.422
adversity	逆境	fear	0.418
ineptitude	无能	fear	0.417
outsider	局外人	fear	0.413
ugliness	丑陋	fear	0.410
vulture	秃鹫	fear	0.410
immoral	不道德	fear	0.410
scar	瘢痕	fear	0.406
stressful	压力	fear	0.406
screech	尖叫	fear	0.406
wary	警惕	fear	0.406
disgust	厌恶	fear	0.406
stressing	强调	fear	0.406
deport	驱逐出境	fear	0.406
nausea	恶心	fear	0.406
resection	切除	fear	0.406
blackout	灯火管制	fear	0.406
disallowed	不允许	fear	0.406
insolvent	资不抵债	fear	0.406
dismissal	解雇	fear	0.406
omnipotence	全能	fear	0.406
possession	所有权	fear	0.406
tearful	内牛满面	fear	0.406
disorder	紊乱	fear	0.406
squall	飑	fear	0.406
dominant	优势	fear	0.406
disabled	残	fear	0.406
drones	无人驾驶飞机	fear	0.406
recklessness	鲁莽	fear	0.406
escape	逃逸	fear	0.406
distressed	苦恼	fear	0.406
claw	爪	fear	0.406
stretcher	担架	fear	0.406
ohdear	NO TRANSLATION	fear	0.406
penance	苦修	fear	0.406
weakly	弱	fear	0.406
rubble	瓦砾	fear	0.406
whimper	呜咽	fear	0.406
ghetto	贫民区	fear	0.406
socialism	社会主义	fear	0.405
conspiracy	阴谋	fear	0.400
toughness	韧性	fear	0.400
defection	叛逃	fear	0.398
absence	缺席	fear	0.396
moan	呻吟	fear	0.394
crusade	运动	fear	0.392
radon	氡	fear	0.391
lose	失去	fear	0.391
exigent	NO TRANSLATION	fear	0.391
dubious	可疑	fear	0.391
unemployed	失业的	fear	0.391
reject	拒绝	fear	0.391
excitation	励磁	fear	0.391
xanax	阿普唑仑	fear	0.391
stifled	堵	fear	0.391
scarecrow	稻草人	fear	0.391
concealment	隐蔽	fear	0.391
conquer	征服	fear	0.391
discrimination	区别	fear	0.391
diagnosis	诊断	fear	0.391
whatdoido	NO TRANSLATION	fear	0.391
snare	圈套	fear	0.391
separation	分割	fear	0.391
overt	公开	fear	0.391
urgency	急	fear	0.391
musket	滑膛枪	fear	0.391
unrest	动荡	fear	0.391
descent	降落	fear	0.391
avoiding	避免	fear	0.391
cyst	囊肿	fear	0.391
gulp	吞	fear	0.391
procedure	程序	fear	0.391
submission	服从	fear	0.391
hardened	硬化	fear	0.391
refutation	驳议	fear	0.391
repellent	驱蚊	fear	0.391
cleave	劈开	fear	0.391
suspicion	怀疑	fear	0.391
poverty	贫穷	fear	0.391
nervy	NO TRANSLATION	fear	0.391
insolvency	破产	fear	0.391
mental	心理	fear	0.391
theocratic	政教合一	fear	0.391
spaz	怪人	fear	0.391
brimstone	硫磺	fear	0.391
throb	搏动	fear	0.388
outcast	弃儿	fear	0.388
orc	兽人	fear	0.388
disapprove	不赞成	fear	0.380
dontpanic	dontpanic	fear	0.378
plea	恳求	fear	0.377
withdrawals	取款	fear	0.377
pressure	压力	fear	0.375
grieve	悼	fear	0.375
frigate	护卫舰	fear	0.375
kerosene	煤油	fear	0.375
nauseous	恶心	fear	0.375
khan	汗	fear	0.375
expose	暴露	fear	0.375
ocd	强迫症	fear	0.375
sneaking	鬼鬼祟祟	fear	0.375
embarrassment	困窘	fear	0.375
bankrupt	破产者	fear	0.375
dissolution	解散	fear	0.375
dentistry	牙科	fear	0.375
edict	法令	fear	0.375
bunker	掩体	fear	0.375
antsy	坐立不安	fear	0.375
chasm	裂口	fear	0.375
escaped	逃脱	fear	0.375
whirlpool	涡流	fear	0.375
interrogate	审问	fear	0.375
psychological	心理	fear	0.375
obligor	债务人	fear	0.375
misconception	误解	fear	0.375
military	军事	fear	0.375
suspected	嫌疑	fear	0.375
locust	刺槐	fear	0.375
mentalhealth	NO TRANSLATION	fear	0.375
bad	坏	fear	0.375
coldness	寒冷	fear	0.375
taunt	嘲讽	fear	0.375
obi	OBI	fear	0.375
flu	流感	fear	0.375
barricade	壅	fear	0.375
chimera	嵌合体	fear	0.375
sultan	苏丹	fear	0.375
repellant	防护剂	fear	0.373
unknown	未知	fear	0.369
pare	NO TRANSLATION	fear	0.367
jealousy	妒忌	fear	0.365
mug	杯	fear	0.359
consternation	惊愕	fear	0.359
rebel	反叛	fear	0.359
conquest	征服	fear	0.359
mournful	悲哀	fear	0.359
concerned	关心	fear	0.359
mandamus	训令	fear	0.359
onedge	边缘	fear	0.359
recurring	经常性	fear	0.359
jaundice	黄疸	fear	0.359
sectarian	宗派	fear	0.359
desert	沙漠	fear	0.359
cur	CUR	fear	0.359
difficult	难	fear	0.359
stint	限制	fear	0.359
sortie	NO TRANSLATION	fear	0.359
dart	镖	fear	0.359
spike	穗	fear	0.359
timid	胆小	fear	0.359
wasting	浪费	fear	0.359
bottomless	万丈	fear	0.359
warned	警告	fear	0.359
protestant	新教	fear	0.359
contempt	鄙视	fear	0.359
exam	考试	fear	0.359
depreciation	折旧	fear	0.359
anomaly	不规则	fear	0.359
rejects	拒绝	fear	0.359
pessimism	悲观主义	fear	0.359
revolution	革命	fear	0.359
formidable	强大	fear	0.359
burke	伯克	fear	0.359
cautionary	警示	fear	0.359
headaches	头痛	fear	0.359
bankruptcy	破产	fear	0.359
government	政府	fear	0.359
measles	麻疹	fear	0.359
languishing	含情脉脉	fear	0.358
constrain	压抑	fear	0.358
bane	诛戮	fear	0.356
impeach	劾	fear	0.354
warden	看守	fear	0.354
adverse	不利的	fear	0.352
lawyer	律师	fear	0.349
libel	诽谤	fear	0.348
retrenchment	裁员	fear	0.345
imminent	即将来临	fear	0.345
unjustifiable	无理	fear	0.344
knell	丧钟	fear	0.344
contentious	争议	fear	0.344
opposed	反对	fear	0.344
shame	耻辱	fear	0.344
avoidance	躲避	fear	0.344
resistant	耐	fear	0.344
discipline	学科	fear	0.344
defy	违抗	fear	0.344
belittle	贬低	fear	0.344
fanaticism	狂热	fear	0.344
bearish	看空	fear	0.344
opium	鸦片	fear	0.344
sorrow	悲哀	fear	0.344
mri	MRI	fear	0.344
shaky	摇摇欲坠	fear	0.344
hiss	嘶	fear	0.344
loneliness	孤单	fear	0.344
swerve	转弯	fear	0.344
taboo	忌讳	fear	0.344
reckless	鲁莽	fear	0.344
obstacle	障碍	fear	0.344
launches	发布会	fear	0.344
aaaaaaah	aaaaaaah	fear	0.344
verdict	判决书	fear	0.344
servile	低三下四	fear	0.344
hesitation	犹豫	fear	0.344
evade	逃避	fear	0.344
recession	不景气	fear	0.344
eel	鳗鱼	fear	0.344
shortage	短缺	fear	0.344
pest	虫害	fear	0.344
cutter	切割机	fear	0.344
psych	迷幻	fear	0.344
parachute	降落伞	fear	0.344
disrespectful	不恭	fear	0.343
phalanx	方阵	fear	0.342
creature	生物	fear	0.340
mortgage	抵押	fear	0.331
specter	幽灵	fear	0.331
enigmatic	神秘	fear	0.329
caution	警告	fear	0.328
police	警察	fear	0.328
shank	刀柄	fear	0.328
undesirable	不可取	fear	0.328
shutdown	关掉	fear	0.328
dike	堤	fear	0.328
subordinate	下属	fear	0.328
gametime	游戏时间	fear	0.328
remove	去掉	fear	0.328
smut	黑穗病	fear	0.328
spillin	NO TRANSLATION	fear	0.328
mishap	不测	fear	0.328
loom	织布机	fear	0.328
supremacy	霸权	fear	0.328
unlucky	不幸的	fear	0.328
quash	撤销	fear	0.328
hives	麻疹	fear	0.328
wimp	窝囊废	fear	0.328
gladiator	角斗士	fear	0.328
feeling	感觉	fear	0.328
dominion	主权	fear	0.328
encumbrance	累赘	fear	0.328
adrift	漂浮	fear	0.328
defendant	被告	fear	0.328
outpost	前哨	fear	0.328
uhoh	NO TRANSLATION	fear	0.328
senseless	无意义	fear	0.328
wrongly	错	fear	0.328
bugaboo	吓人的东西	fear	0.328
weirdo	怪物	fear	0.328
ethereal	空灵	fear	0.328
scarce	稀缺	fear	0.327
unsettled	憧	fear	0.327
antisocial	反社会的	fear	0.324
astray	走错	fear	0.320
vigilant	警惕	fear	0.319
socialist	社会主义的	fear	0.318
halter	羁	fear	0.318
pessimist	悲观主义者	fear	0.317
pacing	起搏	fear	0.316
opponent	对手	fear	0.312
discontinuity	中断	fear	0.312
conspire	合谋	fear	0.312
trickery	诡计	fear	0.312
obsessing	沉迷	fear	0.312
seclusion	隔离	fear	0.312
whirlwind	旋风	fear	0.312
unexpected	意外	fear	0.312
ahhhhhhhh	NO TRANSLATION	fear	0.312
cram	填满	fear	0.312
collusion	共谋	fear	0.312
muzzle	枪口	fear	0.312
blight	枯萎病	fear	0.312
foreigner	外国人	fear	0.312
chargeable	收费	fear	0.312
laxative	泻药	fear	0.312
clinical	临床	fear	0.312
dentist	牙医	fear	0.312
therapist	治疗师	fear	0.312
deadline	截止日期	fear	0.312
bewilderment	困惑	fear	0.312
litigate	诉讼	fear	0.312
nether	幽冥	fear	0.312
thorny	多刺的	fear	0.312
valium	安定	fear	0.312
powerful	强大	fear	0.312
uneasy	不安	fear	0.312
unkind	刻薄	fear	0.312
ordnance	军械	fear	0.312
wimpy	懦弱	fear	0.312
overthinking	想太多	fear	0.309
doubts	疑惑	fear	0.308
seriousness	严肃	fear	0.305
irrational	不合理的	fear	0.305
erase	抹去	fear	0.303
teasing	戏弄	fear	0.303
razor	剃刀	fear	0.303
sweating	出汗	fear	0.298
reluctant	不情愿	fear	0.297
mage	魔术师	fear	0.297
crouching	蹲伏	fear	0.297
warning	警告	fear	0.297
endless	无穷	fear	0.297
adjudicate	裁定	fear	0.297
bale	包	fear	0.297
inflation	通货膨胀	fear	0.297
giant	巨人	fear	0.297
auditor	核数师	fear	0.297
medical	医	fear	0.297
swamp	沼泽	fear	0.297
bitch	婊子	fear	0.297
mislead	误导	fear	0.297
weighty	重	fear	0.297
avoid	避免	fear	0.297
depreciated	贬值	fear	0.297
flounder	比目鱼	fear	0.297
deflation	放气	fear	0.297
unsurpassed	卓绝	fear	0.297
dashed	虚线	fear	0.297
hide	隐藏	fear	0.297
timidity	胆怯	fear	0.297
deluge	洪水	fear	0.287
disinformation	造谣	fear	0.286
court	法庭	fear	0.284
aversion	厌恶	fear	0.283
hurryup	NO TRANSLATION	fear	0.281
unfriendly	不友好	fear	0.281
remains	遗迹	fear	0.281
discourage	不鼓励	fear	0.281
cautious	谨慎	fear	0.281
oncoming	迎面而来的	fear	0.281
flying	飞行	fear	0.281
mistaken	错误	fear	0.281
swelling	肿胀	fear	0.281
dwarfed	所绘	fear	0.281
surveillance	监控	fear	0.281
apache	阿帕奇	fear	0.281
rush	赶	fear	0.281
yelp	喊叫	fear	0.281
cartridge	盒式磁带	fear	0.281
fortress	堡垒	fear	0.281
bigoted	拘泥	fear	0.281
notready	没有准备好	fear	0.281
challenge	挑战	fear	0.281
submitting	提交	fear	0.281
wan	NO TRANSLATION	fear	0.281
confusion	混乱	fear	0.281
unruly	不羁	fear	0.281
intense	激烈	fear	0.279
noncompliance	违规	fear	0.276
alerts	警报	fear	0.276
planes	飞机	fear	0.274
displeased	不快	fear	0.273
cop	警察	fear	0.273
unbridled	恣意	fear	0.271
regiment	团	fear	0.266
crowds	人群	fear	0.266
sentence	句子	fear	0.266
blindfold	盲目的	fear	0.266
crouch	蹲伏	fear	0.266
belt	带	fear	0.266
hooded	连帽	fear	0.266
uncanny	神秘的	fear	0.266
cupping	拔罐	fear	0.266
sneak	潜行	fear	0.266
cloak	披风	fear	0.266
banger	香肠	fear	0.266
affront	冒犯	fear	0.266
confession	自白书	fear	0.266
blemish	缺陷	fear	0.266
posse	波塞	fear	0.266
auditions	试镜	fear	0.266
forgotten	忘记了	fear	0.266
immerse	沉浸	fear	0.266
operation	手术	fear	0.266
elevation	海拔	fear	0.266
shanghai	上海	fear	0.266
hood	引擎罩	fear	0.266
problem	问题	fear	0.266
skid	刹车	fear	0.266
insomnia	失眠	fear	0.266
newjob	NO TRANSLATION	fear	0.266
acrobat	杂技演员	fear	0.266
flurries	飘雪	fear	0.266
force	力	fear	0.266
spur	骨刺	fear	0.262
defense	防御	fear	0.258
mortgagor	抵押人	fear	0.258
impatiently	NO TRANSLATION	fear	0.250
run	跑	fear	0.250
rascal	坏蛋	fear	0.250
standstill	停顿	fear	0.250
doubt	怀疑	fear	0.250
cataract	白内障	fear	0.250
repent	悔改	fear	0.250
unfamiliar	陌生	fear	0.250
delusional	妄想	fear	0.250
obliging	随和	fear	0.250
hag	魔女	fear	0.250
defend	保卫	fear	0.250
guard	守卫	fear	0.250
scapegoat	替罪羊	fear	0.250
swampy	沼泽的	fear	0.250
react	应对	fear	0.250
breakingnews	爆炸新闻	fear	0.250
foul	犯规	fear	0.250
spinster	独身主义者	fear	0.250
indifference	漠不关心	fear	0.250
sunk	沉没	fear	0.250
picket	纠察	fear	0.250
insect	昆虫	fear	0.250
rating	评分	fear	0.250
forewarned	凡事预	fear	0.250
indecisive	优柔寡断	fear	0.250
stealthy	鬼鬼祟祟	fear	0.250
jobinterview	NO TRANSLATION	fear	0.250
grounded	接地	fear	0.242
badhabit	NO TRANSLATION	fear	0.242
highest	最高	fear	0.236
inequality	不等式	fear	0.234
rekindle	重燃	fear	0.234
shrink	收缩	fear	0.234
scaffold	脚手架	fear	0.234
discontent	牢骚	fear	0.234
verge	边缘	fear	0.234
psychiatrist	心理医生	fear	0.234
overdrive	疲劳过度	fear	0.234
thatmoment	NO TRANSLATION	fear	0.234
intercede	说情	fear	0.234
pinion	小齿轮	fear	0.234
finalized	敲定	fear	0.234
shelters	候车亭	fear	0.234
sleepless	无眠	fear	0.234
dependence	依赖	fear	0.234
chicken	鸡	fear	0.234
instinctive	直觉的	fear	0.234
buzz	蜂鸣器	fear	0.234
difficulty	困难	fear	0.234
bee	蜜蜂	fear	0.234
insomniac	失眠	fear	0.234
aaaah	NO TRANSLATION	fear	0.234
buck	降压	fear	0.234
rushing	冲	fear	0.233
overslept	睡过头	fear	0.226
default	默认	fear	0.226
confessional	自白	fear	0.225
impatient	不耐烦	fear	0.224
immigrant	移民	fear	0.219
heft	分量	fear	0.219
sweat	汗	fear	0.219
waver	动摇	fear	0.219
fingerscrossed	NO TRANSLATION	fear	0.219
stingy	小气	fear	0.219
thrill	颤抖	fear	0.219
cane	甘蔗	fear	0.219
aga	NO TRANSLATION	fear	0.219
whatif	如果	fear	0.219
tactics	策略	fear	0.219
veer	德维尔	fear	0.219
unequal	不等	fear	0.219
lastminute	最后一分钟	fear	0.219
jungle	丛林	fear	0.219
bait	饵	fear	0.219
revelations	启示	fear	0.219
blues	蓝调	fear	0.219
overtired	过度疲劳	fear	0.218
prognosis	预测	fear	0.217
alertness	警觉	fear	0.216
hyped	大肆宣传	fear	0.214
somuchtodo	NO TRANSLATION	fear	0.212
toomuchtodo	NO TRANSLATION	fear	0.212
wishmeluck	祝我好运	fear	0.212
tryouts	选拔赛	fear	0.210
clowns	小丑	fear	0.207
fluctuation	波动	fear	0.204
restless	不安	fear	0.204
examination	检查	fear	0.204
intimacy	亲密关系	fear	0.203
phew	表示不快	fear	0.203
quail	鹌鹑	fear	0.203
hurry	匆忙	fear	0.203
uphill	上坡	fear	0.203
mighty	威武	fear	0.203
birth	分娩	fear	0.203
cross	交叉	fear	0.203
help	帮帮我	fear	0.203
overcome	克服	fear	0.203
recesses	凹槽	fear	0.203
acceptances	承兑汇票	fear	0.203
fearless	不怕	fear	0.200
ware	器具	fear	0.198
change	更改	fear	0.198
withstand	经受	fear	0.197
asap	尽快	fear	0.191
owing	亏欠的	fear	0.188
gnome	地精	fear	0.188
cautiously	谨慎	fear	0.188
tract	管道	fear	0.188
deadlines	最后期限	fear	0.188
heighten	增高	fear	0.188
attorney	律师	fear	0.188
bug	窃听器	fear	0.188
knots	结	fear	0.188
fragile	脆弱	fear	0.188
rule	规则	fear	0.188
advance	提前	fear	0.188
intrigue	诡计	fear	0.188
overcoming	克服	fear	0.188
stillness	寂静	fear	0.188
waitinggame	NO TRANSLATION	fear	0.188
watch	看	fear	0.188
unorganised	无组织的	fear	0.188
elf	小精灵	fear	0.185
stillwaiting	stillwaiting	fear	0.184
lonely	孤独	fear	0.183
slippery	滑	fear	0.181
interview	访问	fear	0.180
everyman	每个人	fear	0.178
speculation	推测	fear	0.176
needtoknow	需要知道	fear	0.173
assessment	评定	fear	0.172
competition	竞争	fear	0.172
settlor	委托人	fear	0.172
rod	竿	fear	0.172
checkpoint	检查站	fear	0.172
regulatory	监管	fear	0.172
worship	崇拜	fear	0.172
shell	贝壳	fear	0.172
readytogo	准备好出发	fear	0.172
uncertain	不确定	fear	0.172
unsure	不确定	fear	0.172
birch	桦木	fear	0.172
surprise	惊	fear	0.172
humanrights	NO TRANSLATION	fear	0.172
chaff	糠	fear	0.172
composure	自若	fear	0.172
interviewer	面试官	fear	0.172
less	减	fear	0.167
coy	怕羞	fear	0.162
iris	鸢尾花	fear	0.160
audition	面试	fear	0.156
sly	狡猾	fear	0.156
legalized	合法化	fear	0.156
intimately	密切	fear	0.156
needit	NO TRANSLATION	fear	0.156
countdown	倒数	fear	0.156
hearing	听力	fear	0.156
bases	基地	fear	0.156
medication	药物治疗	fear	0.156
ceasefire	停火	fear	0.156
retirement	退休	fear	0.156
courageous	勇敢	fear	0.154
overthinker	overthinker	fear	0.153
backtrack	原路返回	fear	0.151
dawned	破晓	fear	0.150
censor	审查	fear	0.149
bailiff	法警	fear	0.147
syllabus	教学大纲	fear	0.147
gent	绅士	fear	0.141
caricature	漫画	fear	0.141
rationality	理性	fear	0.141
cove	拱	fear	0.141
newcomer	新人	fear	0.141
eventuality	可能性	fear	0.141
imagination	想像力	fear	0.141
validity	合法性	fear	0.141
waiting	等候	fear	0.141
delay	延迟	fear	0.141
shy	害羞	fear	0.140
alreadyyyyy	NO TRANSLATION	fear	0.140
symptom	症状	fear	0.133
excite	激发	fear	0.132
raccoon	狸	fear	0.127
prevent	避免	fear	0.125
needtorelax	NO TRANSLATION	fear	0.125
clown	小丑	fear	0.125
ahhh	唉唉	fear	0.125
hawk	鹰	fear	0.125
campaigning	竞选	fear	0.125
soready	soready	fear	0.125
tryout	试用	fear	0.125
marry	结婚	fear	0.125
sprite	精灵	fear	0.125
swim	游泳	fear	0.125
gameday	比赛日	fear	0.125
sag	下垂	fear	0.123
pharmacy	药店	fear	0.123
policeman	警察	fear	0.121
lace	花边	fear	0.111
dreamt	梦见	fear	0.111
holiness	圣洁	fear	0.109
pray	祈祷	fear	0.109
weight	重量	fear	0.109
incase	以防万一	fear	0.109
knot	结	fear	0.109
confidence	置信度	fear	0.109
notoriety	臭名	fear	0.109
homework	家庭作业	fear	0.109
destination	目的地	fear	0.109
bigday	重要的日子	fear	0.109
slender	苗条	fear	0.100
undecided	未定	fear	0.098
sympathetic	有同情心	fear	0.097
god	神	fear	0.094
grades	等级	fear	0.094
loyal	忠诚	fear	0.094
poise	平衡	fear	0.094
treat	对待	fear	0.094
confident	信心	fear	0.094
counsellor	顾问	fear	0.094
helmet	头盔	fear	0.094
case	案件	fear	0.094
locate	定位	fear	0.094
northeast	东北	fear	0.088
compassion	同情	fear	0.078
nurture	培育	fear	0.078
graduation	毕业	fear	0.078
graded	分级	fear	0.075
mum	沉默	fear	0.070
infant	婴儿	fear	0.067
civilians	老百姓	fear	0.062
soulmate	心心相印	fear	0.062
civilian	平民	fear	0.062
cloudiness	云量	fear	0.062
gradschool	NO TRANSLATION	fear	0.062
parade	游行	fear	0.062
cash	现金	fear	0.062
journey	旅程	fear	0.062
guidelines	方针	fear	0.062
youth	青年	fear	0.062
opera	歌剧	fear	0.057
synonymous	代名词	fear	0.056
praying	祈祷	fear	0.047
honest	诚实	fear	0.047
intelligence	情报	fear	0.038
romance	浪漫	fear	0.031
lines	线	fear	0.031
volunteer	志愿者	fear	0.031
obey	遵守	fear	0.016
happiest	最幸福	joy	0.986
happiness	幸福	joy	0.984
bliss	福	joy	0.971
celebrating	庆祝	joy	0.970
jubilant	喜庆	joy	0.969
ecstatic	欣喜若狂	joy	0.954
elation	高昂	joy	0.944
bestdayever	最好的一天	joy	0.938
beaming	聚束	joy	0.938
loveee	loveee	joy	0.932
celebration	庆典	joy	0.929
awesomeness	迷死	joy	0.926
joy	喜悦	joy	0.924
happily	高高兴兴	joy	0.922
excitement	激动	joy	0.922
euphoria	欣快症	joy	0.922
fabulous	极好	joy	0.922
